Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1781547835.847750,1781547835.946905,TCP,192.168.70.150,49416,192.168.70.129,8081,,L,,0.0,0.0
,2,1781547835.848381,1781547835.946888,TCP,192.168.70.129,8081,192.168.70.150,49416,,L,,0.0,0.0
2,3,1781547836.951829,1781547837.049164,TCP,192.168.70.150,49418,192.168.70.129,8081,,L,,0.0,0.0
,4,1781547836.952184,1781547837.049148,TCP,192.168.70.129,8081,192.168.70.150,49418,,L,,0.0,0.0
3,5,1781547837.446809,1781547979.657562,TCP,192.168.70.150,35912,192.168.70.129,502,,L,,0.0,0.0
,6,1781547837.447132,1781547979.657543,TCP,192.168.70.129,502,192.168.70.150,35912,,L,,0.0,0.0
4,7,1781547838.054277,1781547838.155325,TCP,192.168.70.150,33816,192.168.70.129,8081,,L,,0.0,0.0
,8,1781547838.054535,1781547838.155308,TCP,192.168.70.129,8081,192.168.70.150,33816,,L,,0.0,0.0
5,9,1781547839.160831,1781547839.256216,TCP,192.168.70.150,33826,192.168.70.129,8081,,L,,0.0,0.0
,10,1781547839.161183,1781547839.256200,TCP,192.168.70.129,8081,192.168.70.150,33826,,L,,0.0,0.0
6,11,1781547840.260838,1781547840.363140,TCP,192.168.70.150,33838,192.168.70.129,8081,,L,,0.0,0.0
,12,1781547840.261165,1781547840.363123,TCP,192.168.70.129,8081,192.168.70.150,33838,,L,,0.0,0.0
7,13,1781547840.889190,1781547974.010491,TCP,192.168.70.129,49306,84.17.62.6,443,,L,,0.0,0.0
,14,1781547840.889194,1781547974.010496,TCP,84.17.62.6,443,192.168.70.129,49306,,L,,0.0,0.0
8,15,1781547841.368255,1781547841.471226,TCP,192.168.70.150,33844,192.168.70.129,8081,,L,,0.0,0.0
,16,1781547841.368717,1781547841.471200,TCP,192.168.70.129,8081,192.168.70.150,33844,,L,,0.0,0.0
9,17,1781547842.476649,1781547842.566714,TCP,192.168.70.150,33848,192.168.70.129,8081,,L,,0.0,0.0
,18,1781547842.477480,1781547842.566698,TCP,192.168.70.129,8081,192.168.70.150,33848,,L,,0.0,0.0
10,19,1781547843.572750,1781547843.669572,TCP,192.168.70.150,33856,192.168.70.129,8081,,L,,0.0,0.0
,20,1781547843.573123,1781547843.669556,TCP,192.168.70.129,8081,192.168.70.150,33856,,L,,0.0,0.0
11,21,1781547843.874664,1781547971.875788,UDP,192.168.70.129,46421,209.250.254.15,21116,,L,,0.0,0.0
,22,1781547843.998800,1781547971.999463,UDP,209.250.254.15,21116,192.168.70.129,46421,,L,,0.0,0.0
12,23,1781547844.675435,1781547844.773420,TCP,192.168.70.150,33872,192.168.70.129,8081,,L,,0.0,0.0
,24,1781547844.675841,1781547844.773401,TCP,192.168.70.129,8081,192.168.70.150,33872,,L,,0.0,0.0
13,25,1781547845.780256,1781547845.876274,TCP,192.168.70.150,33876,192.168.70.129,8081,,L,,0.0,0.0
,26,1781547845.780572,1781547845.876259,TCP,192.168.70.129,8081,192.168.70.150,33876,,L,,0.0,0.0
14,27,1781547846.882256,1781547846.979510,TCP,192.168.70.150,33892,192.168.70.129,8081,,L,,0.0,0.0
,28,1781547846.882585,1781547846.979495,TCP,192.168.70.129,8081,192.168.70.150,33892,,L,,0.0,0.0
15,29,1781547847.984830,1781547848.086171,TCP,192.168.70.150,33900,192.168.70.129,8081,,L,,0.0,0.0
,30,1781547847.985245,1781547848.086154,TCP,192.168.70.129,8081,192.168.70.150,33900,,L,,0.0,0.0
16,31,1781547849.090984,1781547849.189972,TCP,192.168.70.150,39698,192.168.70.129,8081,,L,,0.0,0.0
,32,1781547849.091337,1781547849.189956,TCP,192.168.70.129,8081,192.168.70.150,39698,,L,,0.0,0.0
17,33,1781547850.195815,1781547850.292605,TCP,192.168.70.150,39700,192.168.70.129,8081,,L,,0.0,0.0
,34,1781547850.196100,1781547850.292587,TCP,192.168.70.129,8081,192.168.70.150,39700,,L,,0.0,0.0
18,35,1781547851.297107,1781547851.394406,TCP,192.168.70.150,39708,192.168.70.129,8081,,L,,0.0,0.0
,36,1781547851.298005,1781547851.394388,TCP,192.168.70.129,8081,192.168.70.150,39708,,L,,0.0,0.0
19,37,1781547852.399452,1781547852.498181,TCP,192.168.70.150,39724,192.168.70.129,8081,,L,,0.0,0.0
,38,1781547852.399761,1781547852.498165,TCP,192.168.70.129,8081,192.168.70.150,39724,,L,,0.0,0.0
20,39,1781547853.503171,1781547853.603598,TCP,192.168.70.150,39734,192.168.70.129,8081,,L,,0.0,0.0
,40,1781547853.503440,1781547853.603574,TCP,192.168.70.129,8081,192.168.70.150,39734,,L,,0.0,0.0
21,41,1781547854.608421,1781547854.707312,TCP,192.168.70.150,39736,192.168.70.129,8081,,L,,0.0,0.0
,42,1781547854.608825,1781547854.707271,TCP,192.168.70.129,8081,192.168.70.150,39736,,L,,0.0,0.0
22,43,1781547855.712163,1781547855.810160,TCP,192.168.70.150,39752,192.168.70.129,8081,,L,,0.0,0.0
,44,1781547855.712483,1781547855.810058,TCP,192.168.70.129,8081,192.168.70.150,39752,,L,,0.0,0.0
23,45,1781547856.829214,1781547856.912443,TCP,192.168.70.150,39754,192.168.70.129,8081,,L,,0.0,0.0
,46,1781547856.829459,1781547856.912426,TCP,192.168.70.129,8081,192.168.70.150,39754,,L,,0.0,0.0
24,47,1781547857.917819,1781547858.016337,TCP,192.168.70.150,39760,192.168.70.129,8081,,L,,0.0,0.0
,48,1781547857.918178,1781547858.016320,TCP,192.168.70.129,8081,192.168.70.150,39760,,L,,0.0,0.0
25,49,1781547859.021713,1781547859.117130,TCP,192.168.70.150,56724,192.168.70.129,8081,,L,,0.0,0.0
,50,1781547859.022002,1781547859.117113,TCP,192.168.70.129,8081,192.168.70.150,56724,,L,,0.0,0.0
26,51,1781547860.121977,1781547860.135529,TCP,192.168.70.150,56732,192.168.70.129,8081,,L,,0.0,0.0
,52,1781547860.122312,1781547860.135513,TCP,192.168.70.129,8081,192.168.70.150,56732,,L,,0.0,0.0
27,53,1781547861.142012,1781547861.239523,TCP,192.168.70.150,56748,192.168.70.129,8081,,L,,0.0,0.0
,54,1781547861.142509,1781547861.239506,TCP,192.168.70.129,8081,192.168.70.150,56748,,L,,0.0,0.0
28,55,1781547862.245265,1781547862.344707,TCP,192.168.70.150,56756,192.168.70.129,8081,,L,,0.0,0.0
,56,1781547862.245502,1781547862.344688,TCP,192.168.70.129,8081,192.168.70.150,56756,,L,,0.0,0.0
29,57,1781547863.348781,1781547863.446625,TCP,192.168.70.150,56768,192.168.70.129,8081,,L,,0.0,0.0
,58,1781547863.349100,1781547863.446608,TCP,192.168.70.129,8081,192.168.70.150,56768,,L,,0.0,0.0
30,59,1781547864.452756,1781547864.550198,TCP,192.168.70.150,56770,192.168.70.129,8081,,L,,0.0,0.0
,60,1781547864.453092,1781547864.550183,TCP,192.168.70.129,8081,192.168.70.150,56770,,L,,0.0,0.0
31,61,1781547865.558113,1781547865.654087,TCP,192.168.70.150,56776,192.168.70.129,8081,,L,,0.0,0.0
,62,1781547865.558479,1781547865.654070,TCP,192.168.70.129,8081,192.168.70.150,56776,,L,,0.0,0.0
32,63,1781547866.659386,1781547866.756678,TCP,192.168.70.150,56792,192.168.70.129,8081,,L,,0.0,0.0
,64,1781547866.659700,1781547866.756662,TCP,192.168.70.129,8081,192.168.70.150,56792,,L,,0.0,0.0
33,65,1781547867.762683,1781547867.861248,TCP,192.168.70.150,56804,192.168.70.129,8081,,L,,0.0,0.0
,66,1781547867.764228,1781547867.861231,TCP,192.168.70.129,8081,192.168.70.150,56804,,L,,0.0,0.0
34,67,1781547868.866950,1781547868.962095,TCP,192.168.70.150,35474,192.168.70.129,8081,,L,,0.0,0.0
,68,1781547868.868557,1781547868.962078,TCP,192.168.70.129,8081,192.168.70.150,35474,,L,,0.0,0.0
35,69,1781547869.967734,1781547870.065492,TCP,192.168.70.150,35484,192.168.70.129,8081,,L,,0.0,0.0
,70,1781547869.968316,1781547870.065475,TCP,192.168.70.129,8081,192.168.70.150,35484,,L,,0.0,0.0
36,71,1781547871.070911,1781547871.168780,TCP,192.168.70.150,35496,192.168.70.129,8081,,L,,0.0,0.0
,72,1781547871.071507,1781547871.168748,TCP,192.168.70.129,8081,192.168.70.150,35496,,L,,0.0,0.0
37,73,1781547872.174452,1781547872.271571,TCP,192.168.70.150,35512,192.168.70.129,8081,,L,,0.0,0.0
,74,1781547872.174764,1781547872.271554,TCP,192.168.70.129,8081,192.168.70.150,35512,,L,,0.0,0.0
38,75,1781547873.279242,1781547873.374122,TCP,192.168.70.150,35524,192.168.70.129,8081,,L,,0.0,0.0
,76,1781547873.279674,1781547873.374106,TCP,192.168.70.129,8081,192.168.70.150,35524,,L,,0.0,0.0
39,77,1781547874.380152,1781547874.478174,TCP,192.168.70.150,35538,192.168.70.129,8081,,L,,0.0,0.0
,78,1781547874.380593,1781547874.478158,TCP,192.168.70.129,8081,192.168.70.150,35538,,L,,0.0,0.0
40,79,1781547875.481697,1781547875.578180,TCP,192.168.70.150,35540,192.168.70.129,8081,,L,,0.0,0.0
,80,1781547875.482200,1781547875.578162,TCP,192.168.70.129,8081,192.168.70.150,35540,,L,,0.0,0.0
41,81,1781547876.584656,1781547876.683941,TCP,192.168.70.150,35550,192.168.70.129,8081,,L,,0.0,0.0
,82,1781547876.585229,1781547876.683905,TCP,192.168.70.129,8081,192.168.70.150,35550,,L,,0.0,0.0
