Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1713695189.450122,1713695286.191151,TCP,192.168.1.15,63409,192.168.1.20,102,,L,,0.0,0.0
,2,1713695189.450315,1713695285.970885,TCP,192.168.1.20,102,192.168.1.15,63409,,L,,0.0,0.0
2,3,1713695189.466384,1713695285.418241,TCP,192.168.1.15,63408,192.168.1.20,102,,L,,0.0,0.0
,4,1713695189.466649,1713695285.552922,TCP,192.168.1.20,102,192.168.1.15,63408,,L,,0.0,0.0
3,5,1713695191.023398,1713695238.078625,TCP,192.168.1.15,59633,192.168.1.20,4840,,P,T0802,4.0,1.0
,6,1713695191.023642,1713695238.078591,TCP,192.168.1.20,4840,192.168.1.15,59633,,L,,0.0,0.0
4,7,1713695191.080323,1713695283.838474,TCP,192.168.1.15,59634,192.168.1.20,4840,,P,T0802,4.0,1.0
,8,1713695191.080510,1713695284.029977,TCP,192.168.1.20,4840,192.168.1.15,59634,,L,,0.0,0.0
5,9,1713695191.277088,1713695248.000587,TCP,192.168.1.20,4840,192.168.1.15,59628,,P,T0802,4.0,1.0
,10,1713695191.277122,1713695248.000625,TCP,192.168.1.15,59628,192.168.1.20,4840,,L,,0.0,0.0
6,11,1713695203.726157,1713695268.553641,TCP,192.168.1.20,4840,192.168.1.15,59625,,P,T0802,4.0,1.0
,12,1713695203.726189,1713695268.553681,TCP,192.168.1.15,59625,192.168.1.20,4840,,L,,0.0,0.0
7,13,1713695213.468508,1713695216.499586,UDP,192.168.1.15,57525,239.255.255.250,1900,,L,,0.0,0.0
8,14,1713695224.373670,1713695258.894512,UDP,192.168.1.15,137,192.168.1.255,137,,L,,0.0,0.0
9,15,1713695275.970234,1713695278.989094,UDP,192.168.1.15,52913,239.255.255.250,1900,,L,,0.0,0.0
