Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1781550889.420580,1781550889.518610,TCP,192.168.70.150,57802,192.168.70.129,8081,,L,,0.0,0.0
,2,1781550889.421910,1781550889.518591,TCP,192.168.70.129,8081,192.168.70.150,57802,,L,,0.0,0.0
2,3,1781550890.524393,1781550890.622704,TCP,192.168.70.150,57808,192.168.70.129,8081,,L,,0.0,0.0
,4,1781550890.524777,1781550890.622685,TCP,192.168.70.129,8081,192.168.70.150,57808,,L,,0.0,0.0
3,5,1781550891.628223,1781550891.732090,TCP,192.168.70.150,57812,192.168.70.129,8081,,L,,0.0,0.0
,6,1781550891.628755,1781550891.732029,TCP,192.168.70.129,8081,192.168.70.150,57812,,L,,0.0,0.0
4,7,1781550892.738554,1781550892.834955,TCP,192.168.70.150,57822,192.168.70.129,8081,,L,,0.0,0.0
,8,1781550892.739113,1781550892.834919,TCP,192.168.70.129,8081,192.168.70.150,57822,,L,,0.0,0.0
5,9,1781550893.844501,1781550893.936155,TCP,192.168.70.150,57828,192.168.70.129,8081,,L,,0.0,0.0
,10,1781550893.844891,1781550893.936136,TCP,192.168.70.129,8081,192.168.70.150,57828,,L,,0.0,0.0
6,11,1781550894.947104,1781550895.042060,TCP,192.168.70.150,57844,192.168.70.129,8081,,L,,0.0,0.0
,12,1781550894.947583,1781550895.042035,TCP,192.168.70.129,8081,192.168.70.150,57844,,L,,0.0,0.0
7,13,1781550895.017113,1781550925.736946,TCP,192.168.70.129,49306,84.17.62.6,443,,L,,0.0,0.0
,14,1781550895.017119,1781550925.736957,TCP,84.17.62.6,443,192.168.70.129,49306,,L,,0.0,0.0
8,15,1781550896.048475,1781550896.145734,TCP,192.168.70.150,57856,192.168.70.129,8081,,L,,0.0,0.0
,16,1781550896.048853,1781550896.145716,TCP,192.168.70.129,8081,192.168.70.150,57856,,L,,0.0,0.0
9,17,1781550897.151906,1781550897.250794,TCP,192.168.70.150,57868,192.168.70.129,8081,,L,,0.0,0.0
,18,1781550897.152268,1781550897.250775,TCP,192.168.70.129,8081,192.168.70.150,57868,,L,,0.0,0.0
10,19,1781550898.259153,1781550898.353170,TCP,192.168.70.150,44068,192.168.70.129,8081,,L,,0.0,0.0
,20,1781550898.259607,1781550898.353145,TCP,192.168.70.129,8081,192.168.70.150,44068,,L,,0.0,0.0
11,21,1781550899.360672,1781550899.456347,TCP,192.168.70.150,44070,192.168.70.129,8081,,L,,0.0,0.0
,22,1781550899.361269,1781550899.456279,TCP,192.168.70.129,8081,192.168.70.150,44070,,L,,0.0,0.0
12,23,1781550900.462243,1781550900.561999,TCP,192.168.70.150,44084,192.168.70.129,8081,,L,,0.0,0.0
,24,1781550900.462605,1781550900.561977,TCP,192.168.70.129,8081,192.168.70.150,44084,,L,,0.0,0.0
13,25,1781550901.572957,1781550901.663584,TCP,192.168.70.150,44096,192.168.70.129,8081,,L,,0.0,0.0
,26,1781550901.574256,1781550901.663563,TCP,192.168.70.129,8081,192.168.70.150,44096,,L,,0.0,0.0
14,27,1781550901.634317,1781550917.633747,UDP,192.168.70.129,57809,209.250.254.15,21116,,L,,0.0,0.0
,28,1781550901.920016,1781550917.749104,UDP,209.250.254.15,21116,192.168.70.129,57809,,L,,0.0,0.0
15,29,1781550902.670795,1781550902.766170,TCP,192.168.70.150,44100,192.168.70.129,8081,,L,,0.0,0.0
,30,1781550902.671414,1781550902.766152,TCP,192.168.70.129,8081,192.168.70.150,44100,,L,,0.0,0.0
16,31,1781550903.772052,1781550903.871025,TCP,192.168.70.150,44112,192.168.70.129,8081,,L,,0.0,0.0
,32,1781550903.772519,1781550903.870964,TCP,192.168.70.129,8081,192.168.70.150,44112,,L,,0.0,0.0
17,33,1781550904.877240,1781550904.972499,TCP,192.168.70.150,44122,192.168.70.129,8081,,L,,0.0,0.0
,34,1781550904.878101,1781550904.972480,TCP,192.168.70.129,8081,192.168.70.150,44122,,L,,0.0,0.0
18,35,1781550905.980353,1781550906.075678,TCP,192.168.70.150,44132,192.168.70.129,8081,,L,,0.0,0.0
,36,1781550905.980670,1781550906.075661,TCP,192.168.70.129,8081,192.168.70.150,44132,,L,,0.0,0.0
19,37,1781550907.082883,1781550907.183145,TCP,192.168.70.150,44134,192.168.70.129,8081,,L,,0.0,0.0
,38,1781550907.083427,1781550907.183125,TCP,192.168.70.129,8081,192.168.70.150,44134,,L,,0.0,0.0
20,39,1781550908.190078,1781550908.286380,TCP,192.168.70.150,46418,192.168.70.129,8081,,L,,0.0,0.0
,40,1781550908.190451,1781550908.286360,TCP,192.168.70.129,8081,192.168.70.150,46418,,L,,0.0,0.0
21,41,1781550908.292930,1781550929.415551,TCP,192.168.70.150,37894,192.168.70.129,502,,P,T0804,1.0,1.0
,42,1781550908.293364,1781550929.415529,TCP,192.168.70.129,502,192.168.70.150,37894,,L,,0.0,0.0
22,43,1781550909.291045,1781550909.393645,TCP,192.168.70.150,46422,192.168.70.129,8081,,L,,0.0,0.0
,44,1781550909.291919,1781550909.393627,TCP,192.168.70.129,8081,192.168.70.150,46422,,L,,0.0,0.0
23,45,1781550910.401042,1781550910.501576,TCP,192.168.70.150,46430,192.168.70.129,8081,,L,,0.0,0.0
,46,1781550910.401860,1781550910.501557,TCP,192.168.70.129,8081,192.168.70.150,46430,,L,,0.0,0.0
24,47,1781550911.508133,1781550911.605723,TCP,192.168.70.150,46434,192.168.70.129,8081,,L,,0.0,0.0
,48,1781550911.508661,1781550911.605694,TCP,192.168.70.129,8081,192.168.70.150,46434,,L,,0.0,0.0
25,49,1781550912.612423,1781550912.708859,TCP,192.168.70.150,46440,192.168.70.129,8081,,L,,0.0,0.0
,50,1781550912.612808,1781550912.708813,TCP,192.168.70.129,8081,192.168.70.150,46440,,L,,0.0,0.0
26,51,1781550913.715236,1781550913.812722,TCP,192.168.70.150,46452,192.168.70.129,8081,,L,,0.0,0.0
,52,1781550913.715604,1781550913.812703,TCP,192.168.70.129,8081,192.168.70.150,46452,,L,,0.0,0.0
27,53,1781550914.817493,1781550914.914489,TCP,192.168.70.150,46460,192.168.70.129,8081,,L,,0.0,0.0
,54,1781550914.817960,1781550914.914470,TCP,192.168.70.129,8081,192.168.70.150,46460,,L,,0.0,0.0
28,55,1781550915.921616,1781550916.019766,TCP,192.168.70.150,46476,192.168.70.129,8081,,L,,0.0,0.0
,56,1781550915.922451,1781550916.019747,TCP,192.168.70.129,8081,192.168.70.150,46476,,L,,0.0,0.0
29,57,1781550917.026830,1781550917.127147,TCP,192.168.70.150,46490,192.168.70.129,8081,,L,,0.0,0.0
,58,1781550917.027410,1781550917.127127,TCP,192.168.70.129,8081,192.168.70.150,46490,,L,,0.0,0.0
30,59,1781550918.130713,1781550918.225319,TCP,192.168.70.150,56200,192.168.70.129,8081,,L,,0.0,0.0
,60,1781550918.132098,1781550918.225300,TCP,192.168.70.129,8081,192.168.70.150,56200,,L,,0.0,0.0
31,61,1781550919.236347,1781550919.333950,TCP,192.168.70.150,56212,192.168.70.129,8081,,L,,0.0,0.0
,62,1781550919.236618,1781550919.333917,TCP,192.168.70.129,8081,192.168.70.150,56212,,L,,0.0,0.0
32,63,1781550920.341160,1781550920.437045,TCP,192.168.70.150,56214,192.168.70.129,8081,,L,,0.0,0.0
,64,1781550920.341881,1781550920.437025,TCP,192.168.70.129,8081,192.168.70.150,56214,,L,,0.0,0.0
33,65,1781550921.442467,1781550921.539351,TCP,192.168.70.150,56220,192.168.70.129,8081,,L,,0.0,0.0
,66,1781550921.442984,1781550921.539330,TCP,192.168.70.129,8081,192.168.70.150,56220,,L,,0.0,0.0
34,67,1781550922.549251,1781550922.644529,TCP,192.168.70.150,56234,192.168.70.129,8081,,L,,0.0,0.0
,68,1781550922.549948,1781550922.644501,TCP,192.168.70.129,8081,192.168.70.150,56234,,L,,0.0,0.0
35,69,1781550923.651349,1781550923.746969,TCP,192.168.70.150,56238,192.168.70.129,8081,,L,,0.0,0.0
,70,1781550923.652114,1781550923.746946,TCP,192.168.70.129,8081,192.168.70.150,56238,,L,,0.0,0.0
36,71,1781550924.755228,1781550924.851283,TCP,192.168.70.150,56254,192.168.70.129,8081,,L,,0.0,0.0
,72,1781550924.756037,1781550924.851256,TCP,192.168.70.129,8081,192.168.70.150,56254,,L,,0.0,0.0
37,73,1781550925.856550,1781550925.955486,TCP,192.168.70.150,56262,192.168.70.129,8081,,L,,0.0,0.0
,74,1781550925.857476,1781550925.955469,TCP,192.168.70.129,8081,192.168.70.150,56262,,L,,0.0,0.0
38,75,1781550926.962626,1781550927.060257,TCP,192.168.70.150,56266,192.168.70.129,8081,,L,,0.0,0.0
,76,1781550926.963244,1781550927.060234,TCP,192.168.70.129,8081,192.168.70.150,56266,,L,,0.0,0.0
39,77,1781550928.066927,1781550928.165893,TCP,192.168.70.150,47038,192.168.70.129,8081,,L,,0.0,0.0
,78,1781550928.067512,1781550928.165761,TCP,192.168.70.129,8081,192.168.70.150,47038,,L,,0.0,0.0
40,79,1781550929.172198,1781550929.265065,TCP,192.168.70.150,47050,192.168.70.129,8081,,L,,0.0,0.0
,80,1781550929.173548,1781550929.265047,TCP,192.168.70.129,8081,192.168.70.150,47050,,L,,0.0,0.0
