Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1781552235.848453,1781552298.963615,TCP,192.168.70.150,46950,192.168.70.129,502,,L,,0.0,0.0
,2,1781552235.848976,1781552298.963597,TCP,192.168.70.129,502,192.168.70.150,46950,,L,,0.0,0.0
2,3,1781552236.577362,1781552236.675132,TCP,192.168.70.150,32890,192.168.70.129,8081,,L,,0.0,0.0
,4,1781552236.577682,1781552236.675117,TCP,192.168.70.129,8081,192.168.70.150,32890,,L,,0.0,0.0
3,5,1781552237.681123,1781552237.778447,TCP,192.168.70.150,32902,192.168.70.129,8081,,L,,0.0,0.0
,6,1781552237.681832,1781552237.778431,TCP,192.168.70.129,8081,192.168.70.150,32902,,L,,0.0,0.0
4,7,1781552237.953993,1781552289.157681,TCP,192.168.70.129,49306,84.17.62.6,443,,L,,0.0,0.0
,8,1781552237.953998,1781552289.157685,TCP,84.17.62.6,443,192.168.70.129,49306,,L,,0.0,0.0
5,9,1781552238.785028,1781552238.883553,TCP,192.168.70.150,36548,192.168.70.129,8081,,L,,0.0,0.0
,10,1781552238.785364,1781552238.883538,TCP,192.168.70.129,8081,192.168.70.150,36548,,L,,0.0,0.0
6,11,1781552239.888107,1781552239.986586,TCP,192.168.70.150,36562,192.168.70.129,8081,,L,,0.0,0.0
,12,1781552239.888443,1781552239.986565,TCP,192.168.70.129,8081,192.168.70.150,36562,,L,,0.0,0.0
7,13,1781552240.992755,1781552241.089824,TCP,192.168.70.150,36568,192.168.70.129,8081,,L,,0.0,0.0
,14,1781552240.993109,1781552241.089788,TCP,192.168.70.129,8081,192.168.70.150,36568,,L,,0.0,0.0
8,15,1781552242.094526,1781552242.199156,TCP,192.168.70.150,36582,192.168.70.129,8081,,L,,0.0,0.0
,16,1781552242.094968,1781552242.199141,TCP,192.168.70.129,8081,192.168.70.150,36582,,L,,0.0,0.0
9,17,1781552243.204573,1781552243.300917,TCP,192.168.70.150,36592,192.168.70.129,8081,,L,,0.0,0.0
,18,1781552243.204877,1781552243.300902,TCP,192.168.70.129,8081,192.168.70.150,36592,,L,,0.0,0.0
10,19,1781552244.307656,1781552244.403320,TCP,192.168.70.150,36604,192.168.70.129,8081,,L,,0.0,0.0
,20,1781552244.308152,1781552244.403305,TCP,192.168.70.129,8081,192.168.70.150,36604,,L,,0.0,0.0
11,21,1781552245.410313,1781552245.508500,TCP,192.168.70.150,36620,192.168.70.129,8081,,L,,0.0,0.0
,22,1781552245.410793,1781552245.508482,TCP,192.168.70.129,8081,192.168.70.150,36620,,L,,0.0,0.0
12,23,1781552245.595452,1781552293.596537,UDP,192.168.70.129,57809,209.250.254.15,21116,,L,,0.0,0.0
,24,1781552245.688254,1781552293.796520,UDP,209.250.254.15,21116,192.168.70.129,57809,,L,,0.0,0.0
13,25,1781552246.514568,1781552246.613591,TCP,192.168.70.150,36626,192.168.70.129,8081,,L,,0.0,0.0
,26,1781552246.514995,1781552246.613571,TCP,192.168.70.129,8081,192.168.70.150,36626,,L,,0.0,0.0
14,27,1781552247.618776,1781552247.720350,TCP,192.168.70.150,36640,192.168.70.129,8081,,L,,0.0,0.0
,28,1781552247.619638,1781552247.720314,TCP,192.168.70.129,8081,192.168.70.150,36640,,L,,0.0,0.0
15,29,1781552248.726869,1781552248.820420,TCP,192.168.70.150,56684,192.168.70.129,8081,,L,,0.0,0.0
,30,1781552248.727632,1781552248.820403,TCP,192.168.70.129,8081,192.168.70.150,56684,,L,,0.0,0.0
16,31,1781552249.825710,1781552249.925553,TCP,192.168.70.150,56686,192.168.70.129,8081,,L,,0.0,0.0
,32,1781552249.826233,1781552249.925536,TCP,192.168.70.129,8081,192.168.70.150,56686,,L,,0.0,0.0
17,33,1781552250.929728,1781552251.026267,TCP,192.168.70.150,56700,192.168.70.129,8081,,L,,0.0,0.0
,34,1781552250.929991,1781552251.026252,TCP,192.168.70.129,8081,192.168.70.150,56700,,L,,0.0,0.0
18,35,1781552252.031493,1781552252.131217,TCP,192.168.70.150,56704,192.168.70.129,8081,,L,,0.0,0.0
,36,1781552252.031729,1781552252.131200,TCP,192.168.70.129,8081,192.168.70.150,56704,,L,,0.0,0.0
19,37,1781552253.138153,1781552253.233414,TCP,192.168.70.150,56714,192.168.70.129,8081,,L,,0.0,0.0
,38,1781552253.138492,1781552253.233398,TCP,192.168.70.129,8081,192.168.70.150,56714,,L,,0.0,0.0
20,39,1781552254.237764,1781552254.336382,TCP,192.168.70.150,56718,192.168.70.129,8081,,L,,0.0,0.0
,40,1781552254.238220,1781552254.336365,TCP,192.168.70.129,8081,192.168.70.150,56718,,L,,0.0,0.0
21,41,1781552255.339722,1781552255.435907,TCP,192.168.70.150,56732,192.168.70.129,8081,,L,,0.0,0.0
,42,1781552255.340241,1781552255.435891,TCP,192.168.70.129,8081,192.168.70.150,56732,,L,,0.0,0.0
22,43,1781552256.441513,1781552256.537761,TCP,192.168.70.150,56744,192.168.70.129,8081,,L,,0.0,0.0
,44,1781552256.442351,1781552256.537746,TCP,192.168.70.129,8081,192.168.70.150,56744,,L,,0.0,0.0
23,45,1781552257.542722,1781552257.640245,TCP,192.168.70.150,56746,192.168.70.129,8081,,L,,0.0,0.0
,46,1781552257.542941,1781552257.640229,TCP,192.168.70.129,8081,192.168.70.150,56746,,L,,0.0,0.0
24,47,1781552258.645532,1781552258.743218,TCP,192.168.70.150,59232,192.168.70.129,8081,,L,,0.0,0.0
,48,1781552258.645925,1781552258.743201,TCP,192.168.70.129,8081,192.168.70.150,59232,,L,,0.0,0.0
25,49,1781552259.748106,1781552259.846238,TCP,192.168.70.150,59244,192.168.70.129,8081,,L,,0.0,0.0
,50,1781552259.748526,1781552259.846222,TCP,192.168.70.129,8081,192.168.70.150,59244,,L,,0.0,0.0
26,51,1781552260.850478,1781552260.948262,TCP,192.168.70.150,59250,192.168.70.129,8081,,L,,0.0,0.0
,52,1781552260.850871,1781552260.948246,TCP,192.168.70.129,8081,192.168.70.150,59250,,L,,0.0,0.0
27,53,1781552261.953371,1781552262.051629,TCP,192.168.70.150,59258,192.168.70.129,8081,,L,,0.0,0.0
,54,1781552261.953747,1781552262.051613,TCP,192.168.70.129,8081,192.168.70.150,59258,,L,,0.0,0.0
28,55,1781552263.057475,1781552263.157401,TCP,192.168.70.150,59272,192.168.70.129,8081,,L,,0.0,0.0
,56,1781552263.057869,1781552263.157386,TCP,192.168.70.129,8081,192.168.70.150,59272,,L,,0.0,0.0
29,57,1781552264.164492,1781552264.262535,TCP,192.168.70.150,59280,192.168.70.129,8081,,L,,0.0,0.0
,58,1781552264.164919,1781552264.262520,TCP,192.168.70.129,8081,192.168.70.150,59280,,L,,0.0,0.0
30,59,1781552264.196770,1781552295.220458,TCP,192.168.70.150,41580,192.168.70.129,502,,P,T0805,1.0,1.0
,60,1781552264.197186,1781552295.221292,TCP,192.168.70.129,502,192.168.70.150,41580,,L,,0.0,0.0
31,61,1781552264.197326,1781552295.223139,TCP,192.168.70.150,41594,192.168.70.129,502,,P,T0805,1.0,1.0
,62,1781552264.197555,1781552295.223117,TCP,192.168.70.129,502,192.168.70.150,41594,,L,,0.0,0.0
32,63,1781552264.197767,1781552295.224451,TCP,192.168.70.150,41602,192.168.70.129,502,,P,T0805,1.0,1.0
,64,1781552264.198183,1781552295.224433,TCP,192.168.70.129,502,192.168.70.150,41602,,L,,0.0,0.0
33,65,1781552264.198498,1781552295.221237,TCP,192.168.70.150,41610,192.168.70.129,502,,P,T0805,1.0,1.0
,66,1781552264.198795,1781552295.221169,TCP,192.168.70.129,502,192.168.70.150,41610,,L,,0.0,0.0
34,67,1781552264.199015,1781552295.223243,TCP,192.168.70.150,41624,192.168.70.129,502,,P,T0805,1.0,1.0
,68,1781552264.199144,1781552295.223230,TCP,192.168.70.129,502,192.168.70.150,41624,,L,,0.0,0.0
35,69,1781552264.199287,1781552295.223163,TCP,192.168.70.150,41626,192.168.70.129,502,,P,T0805,1.0,1.0
,70,1781552264.199413,1781552295.223121,TCP,192.168.70.129,502,192.168.70.150,41626,,L,,0.0,0.0
36,71,1781552264.199572,1781552295.220653,TCP,192.168.70.150,41634,192.168.70.129,502,,P,T0805,1.0,1.0
,72,1781552265.218376,1781552295.221165,TCP,192.168.70.129,502,192.168.70.150,41634,,L,,0.0,0.0
37,73,1781552265.218725,1781552295.221327,TCP,192.168.70.150,41648,192.168.70.129,502,,P,T0805,1.0,1.0
,74,1781552265.219287,1781552295.221297,TCP,192.168.70.129,502,192.168.70.150,41648,,L,,0.0,0.0
38,75,1781552265.219531,1781552295.221393,TCP,192.168.70.150,41660,192.168.70.129,502,,P,T0805,1.0,1.0
,76,1781552265.219689,1781552295.221379,TCP,192.168.70.129,502,192.168.70.150,41660,,L,,0.0,0.0
39,77,1781552265.219826,1781552295.222455,TCP,192.168.70.150,41664,192.168.70.129,502,,P,T0805,1.0,1.0
,78,1781552265.220059,1781552295.222435,TCP,192.168.70.129,502,192.168.70.150,41664,,L,,0.0,0.0
40,79,1781552265.268471,1781552265.365144,TCP,192.168.70.150,59284,192.168.70.129,8081,,L,,0.0,0.0
,80,1781552265.268708,1781552265.365128,TCP,192.168.70.129,8081,192.168.70.150,59284,,L,,0.0,0.0
41,81,1781552266.371282,1781552266.472889,TCP,192.168.70.150,59296,192.168.70.129,8081,,L,,0.0,0.0
,82,1781552266.371996,1781552266.472872,TCP,192.168.70.129,8081,192.168.70.150,59296,,L,,0.0,0.0
42,83,1781552267.479427,1781552267.574873,TCP,192.168.70.150,59300,192.168.70.129,8081,,L,,0.0,0.0
,84,1781552267.479849,1781552267.574856,TCP,192.168.70.129,8081,192.168.70.150,59300,,L,,0.0,0.0
43,85,1781552268.579347,1781552268.678578,TCP,192.168.70.150,33848,192.168.70.129,8081,,L,,0.0,0.0
,86,1781552268.579659,1781552268.678560,TCP,192.168.70.129,8081,192.168.70.150,33848,,L,,0.0,0.0
44,87,1781552269.684503,1781552269.781499,TCP,192.168.70.150,33852,192.168.70.129,8081,,L,,0.0,0.0
,88,1781552269.684905,1781552269.781484,TCP,192.168.70.129,8081,192.168.70.150,33852,,L,,0.0,0.0
45,89,1781552270.787226,1781552270.885125,TCP,192.168.70.150,33858,192.168.70.129,8081,,L,,0.0,0.0
,90,1781552270.787532,1781552270.885110,TCP,192.168.70.129,8081,192.168.70.150,33858,,L,,0.0,0.0
46,91,1781552271.890730,1781552271.987880,TCP,192.168.70.150,33860,192.168.70.129,8081,,L,,0.0,0.0
,92,1781552271.893108,1781552271.987863,TCP,192.168.70.129,8081,192.168.70.150,33860,,L,,0.0,0.0
47,93,1781552272.993588,1781552273.090402,TCP,192.168.70.150,33872,192.168.70.129,8081,,L,,0.0,0.0
,94,1781552272.994081,1781552273.090386,TCP,192.168.70.129,8081,192.168.70.150,33872,,L,,0.0,0.0
48,95,1781552273.055836,1781552273.294551,2,192.168.70.1,,224.0.0.22,,,L,,0.0,0.0
49,96,1781552273.105988,1781552273.516293,UDP,192.168.70.1,51120,224.0.0.252,5355,,L,,0.0,0.0
50,97,1781552274.095895,1781552274.193129,TCP,192.168.70.150,33874,192.168.70.129,8081,,L,,0.0,0.0
,98,1781552274.096276,1781552274.193114,TCP,192.168.70.129,8081,192.168.70.150,33874,,L,,0.0,0.0
51,99,1781552275.198232,1781552275.298560,TCP,192.168.70.150,33882,192.168.70.129,8081,,L,,0.0,0.0
,100,1781552275.198722,1781552275.298543,TCP,192.168.70.129,8081,192.168.70.150,33882,,L,,0.0,0.0
52,101,1781552276.302327,1781552276.402745,TCP,192.168.70.150,33892,192.168.70.129,8081,,L,,0.0,0.0
,102,1781552276.302700,1781552276.402725,TCP,192.168.70.129,8081,192.168.70.150,33892,,L,,0.0,0.0
53,103,1781552277.407006,1781552277.503593,TCP,192.168.70.150,33904,192.168.70.129,8081,,L,,0.0,0.0
,104,1781552277.407315,1781552277.503577,TCP,192.168.70.129,8081,192.168.70.150,33904,,L,,0.0,0.0
54,105,1781552278.508288,1781552278.607224,TCP,192.168.70.150,49688,192.168.70.129,8081,,L,,0.0,0.0
,106,1781552278.509033,1781552278.607203,TCP,192.168.70.129,8081,192.168.70.150,49688,,L,,0.0,0.0
55,107,1781552279.612410,1781552279.716886,TCP,192.168.70.150,49692,192.168.70.129,8081,,L,,0.0,0.0
,108,1781552279.612768,1781552279.716869,TCP,192.168.70.129,8081,192.168.70.150,49692,,L,,0.0,0.0
56,109,1781552280.720696,1781552280.727512,TCP,192.168.70.150,49698,192.168.70.129,8081,,L,,0.0,0.0
,110,1781552280.721058,1781552280.727462,TCP,192.168.70.129,8081,192.168.70.150,49698,,L,,0.0,0.0
57,111,1781552281.734185,1781552281.834097,TCP,192.168.70.150,49702,192.168.70.129,8081,,L,,0.0,0.0
,112,1781552281.734673,1781552281.834054,TCP,192.168.70.129,8081,192.168.70.150,49702,,L,,0.0,0.0
58,113,1781552282.840141,1781552282.933759,TCP,192.168.70.150,49718,192.168.70.129,8081,,L,,0.0,0.0
,114,1781552282.840408,1781552282.933744,TCP,192.168.70.129,8081,192.168.70.150,49718,,L,,0.0,0.0
59,115,1781552283.939116,1781552284.040296,TCP,192.168.70.150,49722,192.168.70.129,8081,,L,,0.0,0.0
,116,1781552283.939499,1781552284.040281,TCP,192.168.70.129,8081,192.168.70.150,49722,,L,,0.0,0.0
60,117,1781552285.045495,1781552285.144011,TCP,192.168.70.150,49724,192.168.70.129,8081,,L,,0.0,0.0
,118,1781552285.046063,1781552285.143991,TCP,192.168.70.129,8081,192.168.70.150,49724,,L,,0.0,0.0
61,119,1781552286.148111,1781552286.248696,TCP,192.168.70.150,49732,192.168.70.129,8081,,L,,0.0,0.0
,120,1781552286.148447,1781552286.248678,TCP,192.168.70.129,8081,192.168.70.150,49732,,L,,0.0,0.0
62,121,1781552287.252480,1781552287.347941,TCP,192.168.70.150,49734,192.168.70.129,8081,,L,,0.0,0.0
,122,1781552287.252872,1781552287.347926,TCP,192.168.70.129,8081,192.168.70.150,49734,,L,,0.0,0.0
63,123,1781552288.353590,1781552288.453852,TCP,192.168.70.150,57668,192.168.70.129,8081,,L,,0.0,0.0
,124,1781552288.353936,1781552288.453836,TCP,192.168.70.129,8081,192.168.70.150,57668,,L,,0.0,0.0
64,125,1781552289.458833,1781552289.587253,TCP,192.168.70.150,57674,192.168.70.129,8081,,L,,0.0,0.0
,126,1781552289.460213,1781552289.587237,TCP,192.168.70.129,8081,192.168.70.150,57674,,L,,0.0,0.0
65,127,1781552290.592377,1781552290.689797,TCP,192.168.70.150,57682,192.168.70.129,8081,,L,,0.0,0.0
,128,1781552290.592661,1781552290.689782,TCP,192.168.70.129,8081,192.168.70.150,57682,,L,,0.0,0.0
66,129,1781552291.698477,1781552291.794279,TCP,192.168.70.150,57688,192.168.70.129,8081,,L,,0.0,0.0
,130,1781552291.698828,1781552291.794263,TCP,192.168.70.129,8081,192.168.70.150,57688,,L,,0.0,0.0
67,131,1781552292.799273,1781552292.896589,TCP,192.168.70.150,57698,192.168.70.129,8081,,L,,0.0,0.0
,132,1781552292.799669,1781552292.896572,TCP,192.168.70.129,8081,192.168.70.150,57698,,L,,0.0,0.0
68,133,1781552293.901671,1781552293.999373,TCP,192.168.70.150,57708,192.168.70.129,8081,,L,,0.0,0.0
,134,1781552293.902422,1781552293.999357,TCP,192.168.70.129,8081,192.168.70.150,57708,,L,,0.0,0.0
69,135,1781552295.005211,1781552295.103285,TCP,192.168.70.150,57712,192.168.70.129,8081,,L,,0.0,0.0
,136,1781552295.005554,1781552295.103269,TCP,192.168.70.129,8081,192.168.70.150,57712,,L,,0.0,0.0
70,137,1781552296.108170,1781552296.209540,TCP,192.168.70.150,57722,192.168.70.129,8081,,L,,0.0,0.0
,138,1781552296.108746,1781552296.209494,TCP,192.168.70.129,8081,192.168.70.150,57722,,L,,0.0,0.0
71,139,1781552297.217455,1781552297.311053,TCP,192.168.70.150,57724,192.168.70.129,8081,,L,,0.0,0.0
,140,1781552297.217868,1781552297.311037,TCP,192.168.70.129,8081,192.168.70.150,57724,,L,,0.0,0.0
72,141,1781552298.315614,1781552298.411994,TCP,192.168.70.150,38590,192.168.70.129,8081,,L,,0.0,0.0
,142,1781552298.315921,1781552298.411977,TCP,192.168.70.129,8081,192.168.70.150,38590,,L,,0.0,0.0
