Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1097501938.503079,1097502062.040142,TCP,10.0.0.8,2789,10.0.0.3,20000,,P,T0814,1.0,8.0
,2,1097501938.503280,1097502061.912093,TCP,10.0.0.3,20000,10.0.0.8,2789,,L,,0.0,0.0
2,3,1097502623.045756,1097502648.678187,TCP,10.0.0.8,2803,10.0.0.3,20000,,P,T0814,1.0,8.0
,4,1097502623.045930,1097502648.677871,TCP,10.0.0.3,20000,10.0.0.8,2803,,L,,0.0,0.0
3,5,1097504102.255746,1097504224.083555,TCP,10.0.0.8,2828,10.0.0.3,20000,,P,T0814,1.0,8.0
,6,1097504102.255913,1097504223.905294,TCP,10.0.0.3,20000,10.0.0.8,2828,,L,,0.0,0.0
4,7,1097505644.006837,1097506028.601058,TCP,10.0.0.9,1080,10.0.0.3,20000,,P,T0814,1.0,8.0
,8,1097505644.007009,1097506028.446245,TCP,10.0.0.3,20000,10.0.0.9,1080,,L,,0.0,0.0
5,9,1097507785.883614,1097507856.257809,TCP,10.0.0.8,1086,10.0.0.3,20000,,P,T0814,1.0,8.0
,10,1097507785.883753,1097507856.091024,TCP,10.0.0.3,20000,10.0.0.8,1086,,L,,0.0,0.0
6,11,1097510947.092701,1097510959.359091,TCP,10.0.0.8,1159,10.0.0.3,20000,,P,T0814,1.0,8.0
,12,1097510947.092859,1097510959.487180,TCP,10.0.0.3,20000,10.0.0.8,1159,,L,,0.0,0.0
7,13,1097512255.234470,1097512267.645965,TCP,10.0.0.8,1184,10.0.0.3,20000,,P,T0814,1.0,8.0
,14,1097512255.234627,1097512267.537969,TCP,10.0.0.3,20000,10.0.0.8,1184,,L,,0.0,0.0
8,15,1097513177.295531,1097513185.107737,TCP,10.0.0.9,1084,10.0.0.3,20000,,P,T0814,1.0,8.0
,16,1097513177.295730,1097513185.107430,TCP,10.0.0.3,20000,10.0.0.9,1084,,L,,0.0,0.0
