Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1526911284.734241,1526911286.185170,TCP,172.27.224.251,55535,172.27.224.250,502,,P,T0814,1.0,1.0
,2,1526911284.744444,1526911286.194319,TCP,172.27.224.250,502,172.27.224.251,55535,,L,,0.0,0.0
2,3,1526911287.624254,1526911289.085634,TCP,172.27.224.251,55536,172.27.224.250,502,,P,T0814,1.0,1.0
,4,1526911287.634503,1526911289.094351,TCP,172.27.224.250,502,172.27.224.251,55536,,L,,0.0,0.0
3,5,1526911290.524288,1526911291.985267,TCP,172.27.224.251,55537,172.27.224.250,502,,P,T0814,1.0,1.0
,6,1526911290.534532,1526911291.994418,TCP,172.27.224.250,502,172.27.224.251,55537,,L,,0.0,0.0
4,7,1526911293.424367,1526911294.875700,TCP,172.27.224.251,55538,172.27.224.250,502,,P,T0814,1.0,1.0
,8,1526911293.434591,1526911294.884438,TCP,172.27.224.250,502,172.27.224.251,55538,,L,,0.0,0.0
5,9,1526911296.314386,1526911297.775846,TCP,172.27.224.251,55539,172.27.224.250,502,,P,T0814,1.0,1.0
,10,1526911296.324628,1526911297.784508,TCP,172.27.224.250,502,172.27.224.251,55539,,L,,0.0,0.0
6,11,1526911299.214435,1526911300.675455,TCP,172.27.224.251,55540,172.27.224.250,502,,P,T0814,1.0,1.0
,12,1526911299.224640,1526911300.684484,TCP,172.27.224.250,502,172.27.224.251,55540,,L,,0.0,0.0
7,13,1526911302.114429,1526911303.575478,TCP,172.27.224.251,55541,172.27.224.250,502,,P,T0814,1.0,1.0
,14,1526911302.124673,1526911303.584539,TCP,172.27.224.250,502,172.27.224.251,55541,,L,,0.0,0.0
8,15,1526911305.014482,1526911306.475855,TCP,172.27.224.251,55542,172.27.224.250,502,,P,T0814,1.0,1.0
,16,1526911305.024754,1526911306.484586,TCP,172.27.224.250,502,172.27.224.251,55542,,L,,0.0,0.0
9,17,1526911307.914511,1526911309.365881,TCP,172.27.224.251,55543,172.27.224.250,502,,P,T0814,1.0,1.0
,18,1526911307.924758,1526911309.374650,TCP,172.27.224.250,502,172.27.224.251,55543,,L,,0.0,0.0
10,19,1526911310.804579,1526911312.265509,TCP,172.27.224.251,55544,172.27.224.250,502,,P,T0814,1.0,1.0
,20,1526911310.814781,1526911312.274659,TCP,172.27.224.250,502,172.27.224.251,55544,,L,,0.0,0.0
11,21,1526911313.704590,1526911315.166035,TCP,172.27.224.251,55545,172.27.224.250,502,,P,T0814,1.0,1.0
,22,1526911313.714838,1526911315.174675,TCP,172.27.224.250,502,172.27.224.251,55545,,L,,0.0,0.0
12,23,1526911316.604675,1526911318.067001,TCP,172.27.224.251,55546,172.27.224.250,502,,P,T0814,1.0,1.0
,24,1526911316.614931,1526911318.074737,TCP,172.27.224.250,502,172.27.224.251,55546,,L,,0.0,0.0
13,25,1526911319.504653,1526911320.966045,TCP,172.27.224.251,55547,172.27.224.250,502,,P,T0814,1.0,1.0
,26,1526911319.514959,1526911320.974767,TCP,172.27.224.250,502,172.27.224.251,55547,,L,,0.0,0.0
14,27,1526911322.404709,1526911323.855646,TCP,172.27.224.251,55548,172.27.224.250,502,,P,T0814,1.0,1.0
,28,1526911322.414987,1526911323.864811,TCP,172.27.224.250,502,172.27.224.251,55548,,L,,0.0,0.0
15,29,1526911325.294754,1526911326.756109,TCP,172.27.224.251,55549,172.27.224.250,502,,P,T0814,1.0,1.0
,30,1526911325.304980,1526911326.764835,TCP,172.27.224.250,502,172.27.224.251,55549,,L,,0.0,0.0
16,31,1526911328.194780,1526911329.655780,TCP,172.27.224.251,55550,172.27.224.250,502,,P,T0814,1.0,1.0
,32,1526911328.205031,1526911329.664887,TCP,172.27.224.250,502,172.27.224.251,55550,,L,,0.0,0.0
17,33,1526911331.094816,1526911332.556205,TCP,172.27.224.251,55551,172.27.224.250,502,,P,T0814,1.0,1.0
,34,1526911331.105106,1526911332.564919,TCP,172.27.224.250,502,172.27.224.251,55551,,L,,0.0,0.0
18,35,1526911333.994862,1526911335.455822,TCP,172.27.224.251,55552,172.27.224.250,502,,P,T0814,1.0,1.0
,36,1526911334.005100,1526911335.464951,TCP,172.27.224.250,502,172.27.224.251,55552,,L,,0.0,0.0
19,37,1526911336.894889,1526911338.345914,TCP,172.27.224.251,55553,172.27.224.250,502,,P,T0814,1.0,1.0
,38,1526911336.905136,1526911338.354989,TCP,172.27.224.250,502,172.27.224.251,55553,,L,,0.0,0.0
20,39,1526911339.784935,1526911341.245900,TCP,172.27.224.251,55554,172.27.224.250,502,,P,T0814,1.0,1.0
,40,1526911339.795196,1526911341.255038,TCP,172.27.224.250,502,172.27.224.251,55554,,L,,0.0,0.0
21,41,1526911342.684972,1526911344.146004,TCP,172.27.224.251,55555,172.27.224.250,502,,P,T0814,1.0,1.0
,42,1526911342.695205,1526911344.155064,TCP,172.27.224.250,502,172.27.224.251,55555,,L,,0.0,0.0
22,43,1526911345.585006,1526911347.046012,TCP,172.27.224.251,55556,172.27.224.250,502,,P,T0814,1.0,1.0
,44,1526911345.595237,1526911347.055138,TCP,172.27.224.250,502,172.27.224.251,55556,,L,,0.0,0.0
23,45,1526911348.485059,1526911349.946448,TCP,172.27.224.251,55557,172.27.224.250,502,,P,T0814,1.0,1.0
,46,1526911348.495283,1526911349.955149,TCP,172.27.224.250,502,172.27.224.251,55557,,L,,0.0,0.0
24,47,1526911351.385076,1526911352.846096,TCP,172.27.224.251,55558,172.27.224.250,502,,P,T0814,1.0,1.0
,48,1526911351.395343,1526911352.855180,TCP,172.27.224.250,502,172.27.224.251,55558,,L,,0.0,0.0
25,49,1526911354.285135,1526911355.746148,TCP,172.27.224.251,55559,172.27.224.250,502,,P,T0814,1.0,1.0
,50,1526911354.295356,1526911355.755202,TCP,172.27.224.250,502,172.27.224.251,55559,,L,,0.0,0.0
26,51,1526911357.185144,1526911358.636623,TCP,172.27.224.251,55560,172.27.224.250,502,,P,T0814,1.0,1.0
,52,1526911357.195395,1526911358.645238,TCP,172.27.224.250,502,172.27.224.251,55560,,L,,0.0,0.0
27,53,1526911360.075191,1526911361.536207,TCP,172.27.224.251,55561,172.27.224.250,502,,P,T0814,1.0,1.0
,54,1526911360.085477,1526911361.545304,TCP,172.27.224.250,502,172.27.224.251,55561,,L,,0.0,0.0
28,55,1526911362.975227,1526911364.436295,TCP,172.27.224.251,55562,172.27.224.250,502,,P,T0814,1.0,1.0
,56,1526911362.985477,1526911364.445353,TCP,172.27.224.250,502,172.27.224.251,55562,,L,,0.0,0.0
29,57,1526911365.875293,1526911367.336644,TCP,172.27.224.251,55563,172.27.224.250,502,,P,T0814,1.0,1.0
,58,1526911365.885510,1526911367.345361,TCP,172.27.224.250,502,172.27.224.251,55563,,L,,0.0,0.0
30,59,1526911368.775301,1526911370.236312,TCP,172.27.224.251,55564,172.27.224.250,502,,P,T0814,1.0,1.0
,60,1526911368.785573,1526911370.245407,TCP,172.27.224.250,502,172.27.224.251,55564,,L,,0.0,0.0
31,61,1526911371.675346,1526911373.136699,TCP,172.27.224.251,55565,172.27.224.250,502,,P,T0814,1.0,1.0
,62,1526911371.685588,1526911373.145426,TCP,172.27.224.250,502,172.27.224.251,55565,,L,,0.0,0.0
32,63,1526911374.575366,1526911376.036911,TCP,172.27.224.251,55566,172.27.224.250,502,,P,T0814,1.0,1.0
,64,1526911374.585611,1526911376.045530,TCP,172.27.224.250,502,172.27.224.251,55566,,L,,0.0,0.0
33,65,1526911377.475405,1526911378.936381,TCP,172.27.224.251,55567,172.27.224.250,502,,P,T0814,1.0,1.0
,66,1526911377.485677,1526911378.945521,TCP,172.27.224.250,502,172.27.224.251,55567,,L,,0.0,0.0
34,67,1526911380.375451,1526911381.836422,TCP,172.27.224.251,55568,172.27.224.250,502,,P,T0814,1.0,1.0
,68,1526911380.385693,1526911381.845554,TCP,172.27.224.250,502,172.27.224.251,55568,,L,,0.0,0.0
35,69,1526911383.275525,1526911384.726882,TCP,172.27.224.251,55569,172.27.224.250,502,,P,T0814,1.0,1.0
,70,1526911383.285762,1526911384.735590,TCP,172.27.224.250,502,172.27.224.251,55569,,L,,0.0,0.0
36,71,1526911386.165529,1526911387.626494,TCP,172.27.224.251,55570,172.27.224.250,502,,P,T0814,1.0,1.0
,72,1526911386.175811,1526911387.635625,TCP,172.27.224.250,502,172.27.224.251,55570,,L,,0.0,0.0
37,73,1526911389.065556,1526911390.526533,TCP,172.27.224.251,55571,172.27.224.250,502,,P,T0814,1.0,1.0
