Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1651515674.967272,1651515674.972415,TCP,192.168.0.142,36809,192.168.0.64,44818,,P,T0814,1.0,1.0
,2,1651515674.967464,1651515674.972768,TCP,192.168.0.64,44818,192.168.0.142,36809,,L,,0.0,0.0
2,3,1651515674.969869,1651515676.470484,UDP,192.168.56.1,137,192.168.0.142,137,,L,,0.0,0.0
3,4,1651515674.969896,1651515676.470520,"1,17","192.168.0.142,192.168.56.1",137,"192.168.56.1,192.168.0.142",137,,L,,0.0,0.0
4,5,1651515674.969994,1651515676.470484,UDP,192.168.1.190,137,192.168.0.142,137,,L,,0.0,0.0
5,6,1651515674.970001,1651515676.470516,"1,17","192.168.0.142,192.168.1.190",137,"192.168.1.190,192.168.0.142",137,,L,,0.0,0.0
6,7,1651515674.970110,1651515676.470484,UDP,192.168.174.1,137,192.168.0.142,137,,L,,0.0,0.0
7,8,1651515674.970116,1651515676.470512,"1,17","192.168.0.142,192.168.174.1",137,"192.168.174.1,192.168.0.142",137,,L,,0.0,0.0
8,9,1651515674.970265,1651515676.470484,UDP,192.168.232.1,137,192.168.0.142,137,,L,,0.0,0.0
9,10,1651515674.970271,1651515676.470501,"1,17","192.168.0.142,192.168.232.1",137,"192.168.232.1,192.168.0.142",137,,L,,0.0,0.0
