Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1618841506.646305,1618841506.865118,TCP,84.3.251.101,2732,84.3.251.18,502,,P,T0814,1.0,1.0
,2,1618841506.658408,1618841506.691863,TCP,84.3.251.18,502,84.3.251.101,2732,,L,,0.0,0.0
2,3,1618841506.647003,1618841506.890269,TCP,84.3.251.101,2733,84.3.251.18,502,,P,T0814,1.0,1.0
,4,1618841506.658707,1618841506.695691,TCP,84.3.251.18,502,84.3.251.101,2733,,L,,0.0,0.0
3,5,1618841506.647529,1618841507.453489,TCP,84.3.251.101,2734,84.3.251.18,502,,P,T0814,1.0,1.0
,6,1618841506.668134,1618841506.768066,TCP,84.3.251.18,502,84.3.251.101,2734,,L,,0.0,0.0
4,7,1618841506.648212,1618841507.495930,TCP,84.3.251.101,2735,84.3.251.18,502,,P,T0814,1.0,1.0
,8,1618841506.668402,1618841506.771992,TCP,84.3.251.18,502,84.3.251.101,2735,,L,,0.0,0.0
5,9,1618841506.648728,1618841507.525827,TCP,84.3.251.101,2736,84.3.251.18,502,,P,T0814,1.0,1.0
,10,1618841506.668834,1618841506.775625,TCP,84.3.251.18,502,84.3.251.101,2736,,L,,0.0,0.0
6,11,1618841506.649091,1618841507.599507,TCP,84.3.251.101,2737,84.3.251.18,502,,P,T0814,1.0,1.0
,12,1618841506.678136,1618841506.786322,TCP,84.3.251.18,502,84.3.251.101,2737,,L,,0.0,0.0
7,13,1618841506.649914,1618841507.673304,TCP,84.3.251.101,2738,84.3.251.18,502,,P,T0814,1.0,1.0
,14,1618841506.678407,1618841506.794096,TCP,84.3.251.18,502,84.3.251.101,2738,,L,,0.0,0.0
8,15,1618841506.650400,1618841507.698536,TCP,84.3.251.101,2739,84.3.251.18,502,,P,T0814,1.0,1.0
,16,1618841506.678827,1618841506.797718,TCP,84.3.251.18,502,84.3.251.101,2739,,L,,0.0,0.0
9,17,1618841506.650920,1618841508.073981,TCP,84.3.251.101,2740,84.3.251.18,502,,P,T0814,1.0,1.0
,18,1618841506.688102,1618841506.842406,TCP,84.3.251.18,502,84.3.251.101,2740,,L,,0.0,0.0
10,19,1618841506.651519,1618841508.113769,TCP,84.3.251.101,2741,84.3.251.18,502,,P,T0814,1.0,1.0
,20,1618841506.688472,1618841506.846325,TCP,84.3.251.18,502,84.3.251.101,2741,,L,,0.0,0.0
11,21,1618841506.652124,1618841508.664119,TCP,84.3.251.101,2742,84.3.251.18,502,,P,T0814,1.0,1.0
