Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1526924092.837487,1526924094.298880,TCP,172.27.224.251,50196,172.27.224.250,502,,P,T0814,1.0,1.0
,2,1526924092.847723,1526924094.307595,TCP,172.27.224.250,502,172.27.224.251,50196,,L,,0.0,0.0
2,3,1526924095.737540,1526924097.198500,TCP,172.27.224.251,50197,172.27.224.250,502,,P,T0814,1.0,1.0
,4,1526924095.747752,1526924097.207631,TCP,172.27.224.250,502,172.27.224.251,50197,,L,,0.0,0.0
3,5,1526924098.637566,1526924100.099964,TCP,172.27.224.251,50198,172.27.224.250,502,,P,T0814,1.0,1.0
,6,1526924098.647847,1526924100.107644,TCP,172.27.224.250,502,172.27.224.251,50198,,L,,0.0,0.0
4,7,1526924101.537586,1526924102.998637,TCP,172.27.224.251,50199,172.27.224.250,502,,P,T0814,1.0,1.0
,8,1526924101.547828,1526924103.007687,TCP,172.27.224.250,502,172.27.224.251,50199,,L,,0.0,0.0
5,9,1526924104.437625,1526924105.899149,TCP,172.27.224.251,50200,172.27.224.250,502,,P,T0814,1.0,1.0
,10,1526924104.447879,1526924105.907785,TCP,172.27.224.250,502,172.27.224.251,50200,,L,,0.0,0.0
6,11,1526924107.337728,1526924108.788651,TCP,172.27.224.251,50201,172.27.224.250,502,,P,T0814,1.0,1.0
,12,1526924107.347947,1526924108.797775,TCP,172.27.224.250,502,172.27.224.251,50201,,L,,0.0,0.0
7,13,1526924110.227702,1526924111.688668,TCP,172.27.224.251,50202,172.27.224.250,502,,P,T0814,1.0,1.0
,14,1526924110.237950,1526924111.697796,TCP,172.27.224.250,502,172.27.224.251,50202,,L,,0.0,0.0
8,15,1526924113.127731,1526924114.588730,TCP,172.27.224.251,50203,172.27.224.250,502,,P,T0814,1.0,1.0
,16,1526924113.137978,1526924114.597856,TCP,172.27.224.250,502,172.27.224.251,50203,,L,,0.0,0.0
9,17,1526924116.027832,1526924117.489181,TCP,172.27.224.251,50204,172.27.224.250,502,,P,T0814,1.0,1.0
,18,1526924116.038016,1526924117.497873,TCP,172.27.224.250,502,172.27.224.251,50204,,L,,0.0,0.0
10,19,1526924118.927824,1526924120.388791,TCP,172.27.224.251,50205,172.27.224.250,502,,P,T0814,1.0,1.0
,20,1526924118.938050,1526924120.397906,TCP,172.27.224.250,502,172.27.224.251,50205,,L,,0.0,0.0
11,21,1526924121.827849,1526924123.288847,TCP,172.27.224.251,50206,172.27.224.250,502,,P,T0814,1.0,1.0
,22,1526924121.838095,1526924123.297929,TCP,172.27.224.250,502,172.27.224.251,50206,,L,,0.0,0.0
12,23,1526924124.727880,1526924126.188950,TCP,172.27.224.251,50207,172.27.224.250,502,,P,T0814,1.0,1.0
,24,1526924124.738127,1526924126.197991,TCP,172.27.224.250,502,172.27.224.251,50207,,L,,0.0,0.0
13,25,1526924127.627928,1526924129.088910,TCP,172.27.224.251,50208,172.27.224.250,502,,P,T0814,1.0,1.0
,26,1526924127.638195,1526924129.098031,TCP,172.27.224.250,502,172.27.224.251,50208,,L,,0.0,0.0
14,27,1526924130.527965,1526924131.988930,TCP,172.27.224.251,50209,172.27.224.250,502,,P,T0814,1.0,1.0
,28,1526924130.538206,1526924131.998058,TCP,172.27.224.250,502,172.27.224.251,50209,,L,,0.0,0.0
15,29,1526924133.428000,1526924134.878988,TCP,172.27.224.251,50210,172.27.224.250,502,,P,T0814,1.0,1.0
,30,1526924133.438249,1526924134.888101,TCP,172.27.224.250,502,172.27.224.251,50210,,L,,0.0,0.0
16,31,1526924136.318065,1526924137.779058,TCP,172.27.224.251,50211,172.27.224.250,502,,P,T0814,1.0,1.0
,32,1526924136.328317,1526924137.788131,TCP,172.27.224.250,502,172.27.224.251,50211,,L,,0.0,0.0
17,33,1526924139.218075,1526924140.679452,TCP,172.27.224.251,50212,172.27.224.250,502,,P,T0814,1.0,1.0
,34,1526924139.228320,1526924140.688175,TCP,172.27.224.250,502,172.27.224.251,50212,,L,,0.0,0.0
18,35,1526924142.118103,1526924143.579152,TCP,172.27.224.251,50213,172.27.224.250,502,,P,T0814,1.0,1.0
,36,1526924142.128353,1526924143.588205,TCP,172.27.224.250,502,172.27.224.251,50213,,L,,0.0,0.0
19,37,1526924145.018145,1526924146.479119,TCP,172.27.224.251,50214,172.27.224.250,502,,P,T0814,1.0,1.0
,38,1526924145.028373,1526924146.488246,TCP,172.27.224.250,502,172.27.224.251,50214,,L,,0.0,0.0
20,39,1526924147.365211,1526927597.408952,TCP,172.27.224.250,502,172.27.224.251,49438,,P,T0814,1.0,1.0
,40,1526924147.365224,1526927597.408958,TCP,172.27.224.251,49438,172.27.224.250,502,,L,,0.0,0.0
21,41,1526924147.918175,1526924149.379556,TCP,172.27.224.251,50215,172.27.224.250,502,,P,T0814,1.0,1.0
,42,1526924147.928423,1526924149.388279,TCP,172.27.224.250,502,172.27.224.251,50215,,L,,0.0,0.0
22,43,1526924150.818218,1526924152.279588,TCP,172.27.224.251,50216,172.27.224.250,502,,P,T0814,1.0,1.0
,44,1526924150.828459,1526924152.288332,TCP,172.27.224.250,502,172.27.224.251,50216,,L,,0.0,0.0
23,45,1526924153.718270,1526924155.179308,TCP,172.27.224.251,50217,172.27.224.250,502,,P,T0814,1.0,1.0
,46,1526924153.728490,1526924155.188371,TCP,172.27.224.250,502,172.27.224.251,50217,,L,,0.0,0.0
24,47,1526924156.618326,1526924158.079322,TCP,172.27.224.251,50218,172.27.224.250,502,,P,T0814,1.0,1.0
,48,1526924156.628563,1526924158.088391,TCP,172.27.224.250,502,172.27.224.251,50218,,L,,0.0,0.0
25,49,1526924159.518326,1526924160.969744,TCP,172.27.224.251,50219,172.27.224.250,502,,P,T0814,1.0,1.0
,50,1526924159.528570,1526924160.978437,TCP,172.27.224.250,502,172.27.224.251,50219,,L,,0.0,0.0
26,51,1526924162.408372,1526924163.869399,TCP,172.27.224.251,50220,172.27.224.250,502,,P,T0814,1.0,1.0
,52,1526924162.418636,1526924163.878474,TCP,172.27.224.250,502,172.27.224.251,50220,,L,,0.0,0.0
27,53,1526924165.308404,1526924166.769381,TCP,172.27.224.251,50221,172.27.224.250,502,,P,T0814,1.0,1.0
,54,1526924165.318644,1526924166.778525,TCP,172.27.224.250,502,172.27.224.251,50221,,L,,0.0,0.0
28,55,1526924168.208443,1526924169.669429,TCP,172.27.224.251,50222,172.27.224.250,502,,P,T0814,1.0,1.0
,56,1526924168.218687,1526924169.678578,TCP,172.27.224.250,502,172.27.224.251,50222,,L,,0.0,0.0
29,57,1526924171.108479,1526924172.569454,TCP,172.27.224.251,50223,172.27.224.250,502,,P,T0814,1.0,1.0
,58,1526924171.118702,1526924172.578580,TCP,172.27.224.250,502,172.27.224.251,50223,,L,,0.0,0.0
