Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1651516167.770258,1651516167.773633,TCP,192.168.0.142,41249,192.168.0.64,44818,,P,T0816,1.0,1.0
,2,1651516167.770515,1651516167.773623,TCP,192.168.0.64,44818,192.168.0.142,41249,,L,,0.0,0.0
2,3,1651516167.772289,1651516170.774173,UDP,192.168.56.1,137,192.168.0.142,137,,L,,0.0,0.0
3,4,1651516167.772302,1651516170.774192,"1,17","192.168.0.142,192.168.56.1",137,"192.168.56.1,192.168.0.142",137,,L,,0.0,0.0
4,5,1651516167.772446,1651516170.774173,UDP,192.168.1.190,137,192.168.0.142,137,,L,,0.0,0.0
5,6,1651516167.772455,1651516170.774204,"1,17","192.168.0.142,192.168.1.190",137,"192.168.1.190,192.168.0.142",137,,L,,0.0,0.0
6,7,1651516167.772446,1651516170.774173,UDP,192.168.174.1,137,192.168.0.142,137,,L,,0.0,0.0
7,8,1651516167.772468,1651516170.774210,"1,17","192.168.0.142,192.168.174.1",137,"192.168.174.1,192.168.0.142",137,,L,,0.0,0.0
8,9,1651516167.772547,1651516170.774173,UDP,192.168.232.1,137,192.168.0.142,137,,L,,0.0,0.0
9,10,1651516167.772552,1651516170.774216,"1,17","192.168.0.142,192.168.232.1",137,"192.168.232.1,192.168.0.142",137,,L,,0.0,0.0
