Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1499721708.066273,1499721708.269509,TCP,10.7.10.103,49158,0.0.0.0,80,,L,,0.0,0.0
,2,1499721708.072572,1499721708.169589,TCP,0.0.0.0,80,10.7.10.103,49158,,L,,0.0,0.0
2,3,1499721709.507114,1499721834.875094,TCP,10.7.10.103,49187,80.77.82.41,80,,L,,0.0,0.0
,4,1499721709.594428,1499721834.875152,TCP,80.77.82.41,80,10.7.10.103,49187,,L,,0.0,0.0
3,5,1499721709.960375,1499721834.874576,TCP,10.7.10.103,49193,188.225.36.208,80,,P,T0817,1.0,1.0
,6,1499721710.169084,1499721834.874582,TCP,188.225.36.208,80,10.7.10.103,49193,,L,,0.0,0.0
4,7,1499721711.067469,1499721774.075602,TCP,10.7.10.103,49195,188.225.36.208,80,,P,T0817,1.0,1.0
,8,1499721711.274445,1499721713.395677,TCP,188.225.36.208,80,10.7.10.103,49195,,L,,0.0,0.0
5,9,1499721715.774161,1499721718.045299,TCP,10.7.10.103,49196,188.225.36.208,80,,P,T0817,1.0,1.0
,10,1499721715.980880,1499721717.471216,TCP,188.225.36.208,80,10.7.10.103,49196,,L,,0.0,0.0
6,11,1499721768.257040,1499721769.015995,TCP,10.7.10.103,49202,198.55.107.156,80,,P,T0817,1.0,1.0
,12,1499721768.375321,1499721768.982654,TCP,198.55.107.156,80,10.7.10.103,49202,,L,,0.0,0.0
7,13,1499721768.257722,1499721769.123599,TCP,10.7.10.103,49203,198.55.107.156,80,,P,T0817,1.0,1.0
,14,1499721768.379761,1499721769.100339,TCP,198.55.107.156,80,10.7.10.103,49203,,L,,0.0,0.0
8,15,1499721811.300391,1499721932.902189,TCP,10.7.10.103,49204,198.55.107.156,80,,P,T0817,1.0,1.0
,16,1499721811.421358,1499721932.902195,TCP,198.55.107.156,80,10.7.10.103,49204,,L,,0.0,0.0
9,17,1499721812.477287,1499721932.986339,TCP,10.7.10.103,49205,216.239.38.21,80,,L,,0.0,0.0
,18,1499721812.567195,1499721932.981867,TCP,216.239.38.21,80,10.7.10.103,49205,,L,,0.0,0.0
10,19,1499721816.325761,1499721825.328561,TCP,10.7.10.103,49208,212.112.245.170,443,,L,,0.0,0.0
,20,1499721891.516544,1499721891.516544,TCP,212.112.245.170,443,10.7.10.103,49208,,L,,0.0,0.0
11,21,1499721837.339406,1499722018.287501,TCP,10.7.10.103,49209,193.23.244.244,443,,L,,0.0,0.0
,22,1499721837.514412,1499722018.287488,TCP,193.23.244.244,443,10.7.10.103,49209,,L,,0.0,0.0
