Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,0.000000,0.000000,UDP,104.130.52.9,47808,10.200.1.15,47808,,P,T0822,1.0,1.0
2,2,0.000000,0.000000,UDP,10.200.1.127,58589,10.200.1.15,47808,,L,,0.0,0.0
3,3,0.000000,0.000000,UDP,10.200.1.127,58590,10.200.1.15,47808,,L,,0.0,0.0
4,4,0.000000,0.000000,UDP,10.200.1.127,47808,10.200.1.15,47808,,L,,0.0,0.0
,5,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.127,47808,,L,,0.0,0.0
5,6,0.000000,0.000000,UDP,10.200.1.127,48098,10.200.1.15,47808,,L,,0.0,0.0
6,7,0.000000,0.000000,UDP,10.200.1.127,48099,10.200.1.15,47808,,L,,0.0,0.0
7,8,0.000000,0.000000,UDP,10.200.1.127,56727,10.200.1.15,47808,,L,,0.0,0.0
8,9,0.000000,0.000000,UDP,10.200.1.127,56728,10.200.1.15,47808,,L,,0.0,0.0
9,10,0.000000,0.000000,UDP,10.200.1.127,45988,10.200.1.15,47808,,L,,0.0,0.0
10,11,0.000000,0.000000,UDP,10.200.1.127,45989,10.200.1.15,47808,,L,,0.0,0.0
11,12,0.000000,0.000000,UDP,10.200.1.174,40424,10.200.1.15,47808,,L,,0.0,0.0
12,13,0.000000,0.000000,UDP,10.200.1.174,40425,10.200.1.15,47808,,L,,0.0,0.0
13,14,0.000000,0.000000,UDP,10.200.1.174,47808,10.200.1.15,47808,,L,,0.0,0.0
,15,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.174,47808,,L,,0.0,0.0
14,16,0.000000,0.000000,UDP,10.200.1.174,33934,10.200.1.15,47808,,L,,0.0,0.0
15,17,0.000000,0.000000,UDP,10.200.1.174,33935,10.200.1.15,47808,,L,,0.0,0.0
16,18,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.255,47808,,L,,0.0,0.0
17,19,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.232,47808,,L,,0.0,0.0
,20,0.000000,0.000000,UDP,10.200.1.232,47808,10.200.1.15,47808,,L,,0.0,0.0
18,21,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.233,47809,,L,,0.0,0.0
,22,0.000000,0.000000,UDP,10.200.1.233,47809,10.200.1.15,47808,,L,,0.0,0.0
19,23,0.000000,0.000000,"1,17","10.200.1.233,10.200.1.15",47808,"10.200.1.15,10.200.1.233",47809,,L,,0.0,0.0
20,24,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.127,47809,,L,,0.0,0.0
,25,0.000000,0.000000,UDP,10.200.1.127,47809,10.200.1.15,47808,,L,,0.0,0.0
21,26,0.000000,0.000000,UDP,10.200.1.233,36242,10.200.1.15,47808,,L,,0.0,0.0
22,27,0.000000,0.000000,UDP,10.200.1.233,36243,10.200.1.15,47808,,L,,0.0,0.0
23,28,0.000000,0.000000,UDP,10.200.1.233,47808,10.200.1.15,47808,,L,,0.0,0.0
,29,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.233,47808,,L,,0.0,0.0
24,30,0.000000,0.000000,"1,17","10.200.1.127,10.200.1.15",47808,"10.200.1.15,10.200.1.127",47809,,L,,0.0,0.0
25,31,0.000000,0.000000,UDP,10.200.1.124,47808,10.200.1.15,47808,,L,,0.0,0.0
,32,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.124,47808,,L,,0.0,0.0
26,33,0.000000,0.000000,UDP,10.200.1.166,47808,10.200.1.15,47808,,L,,0.0,0.0
,34,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.166,47808,,L,,0.0,0.0
27,35,0.000000,0.000000,UDP,10.200.1.58,47808,10.200.1.15,47808,,L,,0.0,0.0
,36,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.58,47808,,L,,0.0,0.0
28,37,0.000000,0.000000,UDP,10.200.1.54,47808,10.200.1.15,47808,,L,,0.0,0.0
,38,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.54,47808,,L,,0.0,0.0
29,39,0.000000,0.000000,UDP,10.200.1.127,55419,10.200.1.15,47808,,L,,0.0,0.0
30,40,0.000000,0.000000,UDP,10.200.1.127,39579,10.200.1.15,47808,,L,,0.0,0.0
31,41,0.000000,0.000000,UDP,10.200.1.127,39580,10.200.1.15,47808,,L,,0.0,0.0
32,42,0.000000,0.000000,UDP,10.200.1.127,47563,10.200.1.15,47808,,L,,0.0,0.0
33,43,0.000000,0.000000,UDP,10.200.1.127,47564,10.200.1.15,47808,,L,,0.0,0.0
34,44,0.000000,0.000000,UDP,10.200.1.174,63905,10.200.1.15,47808,,L,,0.0,0.0
35,45,0.000000,0.000000,UDP,10.200.1.174,63906,10.200.1.15,47808,,L,,0.0,0.0
36,46,0.000000,0.000000,UDP,10.200.1.174,42442,10.200.1.15,47808,,L,,0.0,0.0
37,47,0.000000,0.000000,UDP,10.200.1.174,42443,10.200.1.15,47808,,L,,0.0,0.0
38,48,0.000000,0.000000,UDP,10.200.1.181,54987,10.200.1.15,47808,,L,,0.0,0.0
39,49,0.000000,0.000000,UDP,10.200.1.181,54988,10.200.1.15,47808,,L,,0.0,0.0
40,50,0.000000,0.000000,UDP,10.200.1.181,47808,10.200.1.15,47808,,L,,0.0,0.0
,51,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.181,47808,,L,,0.0,0.0
41,52,0.000000,0.000000,UDP,10.200.1.174,57033,10.200.1.15,47808,,L,,0.0,0.0
42,53,0.000000,0.000000,UDP,10.200.1.174,57034,10.200.1.15,47808,,L,,0.0,0.0
43,54,0.000000,0.000000,UDP,10.200.1.169,47808,10.200.1.15,47808,,L,,0.0,0.0
,55,0.000000,0.000000,UDP,10.200.1.15,47808,10.200.1.169,47808,,L,,0.0,0.0
44,56,0.000000,0.000000,UDP,10.200.1.174,56977,10.200.1.15,47808,,L,,0.0,0.0
45,57,0.000000,0.000000,UDP,10.200.1.174,56978,10.200.1.15,47808,,L,,0.0,0.0
46,58,0.000000,0.000000,UDP,10.200.1.174,62007,10.200.1.15,47808,,L,,0.0,0.0
47,59,0.000000,0.000000,UDP,10.200.1.174,62008,10.200.1.15,47808,,L,,0.0,0.0
48,60,0.000000,0.000000,UDP,10.200.1.181,50025,10.200.1.15,47808,,L,,0.0,0.0
49,61,0.000000,0.000000,UDP,10.200.1.181,50026,10.200.1.15,47808,,L,,0.0,0.0
50,62,0.000000,0.000000,UDP,10.200.1.110,49984,10.200.1.15,47808,,L,,0.0,0.0
