Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1421154095.133213,1421154269.092641,TCP,10.200.1.18,2430,10.50.1.54,44818,,P,T0822,1.0,1.0
,2,1421154095.142985,1421154269.072702,TCP,10.50.1.54,44818,10.200.1.18,2430,,L,,0.0,0.0
2,3,1421154095.192986,1421154228.913530,UDP,10.200.1.18,138,10.200.1.252,138,,L,,0.0,0.0
3,4,1421154095.211592,1421154228.916316,UDP,10.200.1.252,137,10.200.1.18,137,,L,,0.0,0.0
,5,1421154095.212462,1421154228.917031,UDP,10.200.1.18,137,10.200.1.252,137,,L,,0.0,0.0
4,6,1421154096.161462,1421154098.166293,TCP,10.200.1.162,36232,10.200.1.18,139,,L,,0.0,0.0
,7,1421154096.162027,1421154096.162027,TCP,10.200.1.18,139,10.200.1.162,36232,,L,,0.0,0.0
5,8,1421154096.161495,1421154096.161495,TCP,10.200.1.162,36180,10.200.1.18,64680,,L,,0.0,0.0
6,9,1421154098.485599,1421154098.485599,TCP,10.200.1.162,36179,10.200.1.18,1999,,L,,0.0,0.0
7,10,1421154098.485680,1421154098.485680,TCP,10.200.1.162,36178,10.200.1.18,1130,,L,,0.0,0.0
8,11,1421154099.445664,1421154261.807023,UDP,10.200.1.18,1025,8.8.8.8,53,,L,,0.0,0.0
9,12,1421154099.460857,1421154261.824140,TCP,10.200.1.18,1054,54.175.48.202,80,,L,,0.0,0.0
,13,1421154099.462667,1421154261.851698,TCP,54.175.48.202,80,10.200.1.18,1054,,L,,0.0,0.0
10,14,1421154099.463076,1421154261.824705,TCP,10.200.1.18,1055,54.175.48.202,80,,L,,0.0,0.0
11,15,1421154105.510617,1421154105.510617,TCP,10.200.1.162,36179,10.200.1.18,1130,,L,,0.0,0.0
12,16,1421154105.528683,1421154105.528683,TCP,10.200.1.162,36180,10.200.1.18,1130,,L,,0.0,0.0
13,17,1421154106.074333,1421154106.074333,TCP,10.200.1.162,36178,10.200.1.18,8383,,L,,0.0,0.0
14,18,1421154106.075912,1421154106.075912,TCP,10.200.1.162,36178,10.200.1.18,2260,,L,,0.0,0.0
15,19,1421154106.076333,1421154106.076333,TCP,10.200.1.162,36178,10.200.1.18,8654,,L,,0.0,0.0
16,20,1421154106.097194,1421154106.097194,TCP,10.200.1.162,36178,10.200.1.18,1192,,L,,0.0,0.0
17,21,1421154106.097203,1421154106.158832,TCP,10.200.1.162,36233,10.200.1.18,139,,L,,0.0,0.0
,22,1421154106.097771,1421154106.097771,TCP,10.200.1.18,139,10.200.1.162,36233,,L,,0.0,0.0
18,23,1421154106.478155,1421154106.478155,UDP,10.200.1.18,137,10.200.1.184,65205,,L,,0.0,0.0
