Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1713983794.151795,1713983794.151795,UDP,192.168.1.134,65528,192.168.1.135,9600,,P,T0836,1.0,10.0
2,2,1713983809.199355,1713983809.199355,UDP,192.168.1.134,50617,192.168.1.135,9600,,P,T0836,1.0,10.0
3,3,1713983819.950283,1713983819.950283,UDP,192.168.1.134,56429,192.168.1.135,9600,,P,T0836,1.0,10.0
4,4,1713983833.586061,1713983833.586061,UDP,192.168.1.134,56692,192.168.1.135,9600,,P,T0836,1.0,10.0
5,5,1713983874.310874,1713983874.310874,UDP,192.168.1.134,49178,192.168.1.135,9600,,P,T0836,1.0,10.0
6,6,1713983947.275627,1713983947.275627,UDP,192.168.1.134,63134,192.168.1.135,9600,,P,T0836,1.0,10.0
7,7,1713984215.460002,1713984215.460002,UDP,192.168.1.134,62888,192.168.1.135,9600,,P,T0836,1.0,10.0
8,8,1713984954.439029,1713984954.439029,UDP,192.168.1.134,61263,192.168.1.135,9600,,P,T0836,1.0,10.0
9,9,1713984986.431210,1713984986.431210,UDP,192.168.1.134,53176,192.168.1.135,9600,,P,T0836,1.0,10.0
10,10,1713985214.291621,1713985214.291621,UDP,192.168.1.134,59386,192.168.1.135,9600,,P,T0836,1.0,10.0
