Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1093521678.945447,1093521678.945983,TCP,10.0.0.57,2387,10.0.0.3,502,,L,,0.0,0.0
,2,1093521678.945569,1093521678.945940,TCP,10.0.0.3,502,10.0.0.57,2387,,L,,0.0,0.0
2,3,1093521681.696827,1093522067.391775,TCP,10.0.0.57,2578,10.0.0.3,502,,L,,0.0,0.0
,4,1093521681.696993,1093522067.391716,TCP,10.0.0.3,502,10.0.0.57,2578,,L,,0.0,0.0
3,5,1093521953.490353,1093521976.747072,TCP,10.0.0.57,2579,10.0.0.8,502,,L,,0.0,0.0
,6,1093521953.490559,1093521976.746984,TCP,10.0.0.8,502,10.0.0.57,2579,,L,,0.0,0.0
4,7,1093522326.102435,1093522503.198170,TCP,10.0.0.9,3082,10.0.0.3,502,,P,T0838,1.0,1.0
,8,1093522326.102567,1093522503.197969,TCP,10.0.0.3,502,10.0.0.9,3082,,L,,0.0,0.0
5,9,1093522946.554059,1093523023.115939,TCP,10.0.0.57,2585,10.0.0.8,502,,L,,0.0,0.0
,10,1093522946.554266,1093523023.116262,TCP,10.0.0.8,502,10.0.0.57,2585,,L,,0.0,0.0
6,11,1093523065.562221,1093523220.676663,TCP,10.0.0.8,502,10.0.0.57,4446,,L,,0.0,0.0
,12,1093523065.562291,1093523220.676458,TCP,10.0.0.57,4446,10.0.0.8,502,,L,,0.0,0.0
7,13,1153491879.610371,1153491974.091153,TCP,192.168.66.235,2582,166.161.16.230,502,,L,,0.0,0.0
,14,1153491892.182643,1153491974.078420,TCP,166.161.16.230,502,192.168.66.235,2582,,L,,0.0,0.0
8,15,1342774499.588269,1342776600.399620,TCP,10.1.1.234,51411,10.10.5.85,502,,L,,0.0,0.0
,16,1342774499.588411,1342776600.399016,TCP,10.10.5.85,502,10.1.1.234,51411,,L,,0.0,0.0
