Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1780162551.276319,1780162551.281326,TCP,127.0.0.1,38598,127.0.0.1,8081,,L,,0.0,0.0
,2,1780162551.276355,1780162551.281292,TCP,127.0.0.1,8081,127.0.0.1,38598,,L,,0.0,0.0
2,3,1780162551.283848,1780162551.287957,TCP,127.0.0.1,38602,127.0.0.1,8081,,L,,0.0,0.0
,4,1780162551.283882,1780162551.287891,TCP,127.0.0.1,8081,127.0.0.1,38602,,L,,0.0,0.0
3,5,1780162552.295737,1780162552.299542,TCP,127.0.0.1,38618,127.0.0.1,8081,,L,,0.0,0.0
,6,1780162552.295774,1780162552.299511,TCP,127.0.0.1,8081,127.0.0.1,38618,,L,,0.0,0.0
4,7,1780162552.304312,1780162552.309130,TCP,127.0.0.1,38626,127.0.0.1,8081,,L,,0.0,0.0
,8,1780162552.304348,1780162552.309086,TCP,127.0.0.1,8081,127.0.0.1,38626,,L,,0.0,0.0
5,9,1780162553.315886,1780162553.322267,TCP,127.0.0.1,38640,127.0.0.1,8081,,L,,0.0,0.0
,10,1780162553.315982,1780162553.322234,TCP,127.0.0.1,8081,127.0.0.1,38640,,L,,0.0,0.0
6,11,1780162553.330975,1780162553.335408,TCP,127.0.0.1,38642,127.0.0.1,8081,,L,,0.0,0.0
,12,1780162553.331012,1780162553.335369,TCP,127.0.0.1,8081,127.0.0.1,38642,,L,,0.0,0.0
7,13,1780162554.342979,1780162554.349463,TCP,127.0.0.1,38648,127.0.0.1,8081,,L,,0.0,0.0
,14,1780162554.343016,1780162554.349425,TCP,127.0.0.1,8081,127.0.0.1,38648,,L,,0.0,0.0
8,15,1780162554.353080,1780162554.357660,TCP,127.0.0.1,38652,127.0.0.1,8081,,L,,0.0,0.0
,16,1780162554.353122,1780162554.357628,TCP,127.0.0.1,8081,127.0.0.1,38652,,L,,0.0,0.0
9,17,1780162555.365448,1780162555.371097,TCP,127.0.0.1,38654,127.0.0.1,8081,,L,,0.0,0.0
,18,1780162555.365486,1780162555.371062,TCP,127.0.0.1,8081,127.0.0.1,38654,,L,,0.0,0.0
10,19,1780162555.373689,1780162555.380178,TCP,127.0.0.1,38656,127.0.0.1,8081,,L,,0.0,0.0
,20,1780162555.373736,1780162555.380142,TCP,127.0.0.1,8081,127.0.0.1,38656,,L,,0.0,0.0
11,21,1780162556.388545,1780162556.393532,TCP,127.0.0.1,38658,127.0.0.1,8081,,L,,0.0,0.0
,22,1780162556.388627,1780162556.393499,TCP,127.0.0.1,8081,127.0.0.1,38658,,L,,0.0,0.0
12,23,1780162556.399209,1780162556.402461,TCP,127.0.0.1,38672,127.0.0.1,8081,,L,,0.0,0.0
,24,1780162556.399243,1780162556.402429,TCP,127.0.0.1,8081,127.0.0.1,38672,,L,,0.0,0.0
13,25,1780162557.408151,1780162557.413031,TCP,127.0.0.1,57808,127.0.0.1,8081,,L,,0.0,0.0
,26,1780162557.408187,1780162557.412997,TCP,127.0.0.1,8081,127.0.0.1,57808,,L,,0.0,0.0
14,27,1780162557.417555,1780162557.421354,TCP,127.0.0.1,57818,127.0.0.1,8081,,L,,0.0,0.0
,28,1780162557.417590,1780162557.421322,TCP,127.0.0.1,8081,127.0.0.1,57818,,L,,0.0,0.0
15,29,1780162558.427964,1780162558.432596,TCP,127.0.0.1,57824,127.0.0.1,8081,,L,,0.0,0.0
,30,1780162558.428002,1780162558.432564,TCP,127.0.0.1,8081,127.0.0.1,57824,,L,,0.0,0.0
16,31,1780162558.437231,1780162558.443069,TCP,127.0.0.1,57826,127.0.0.1,8081,,L,,0.0,0.0
,32,1780162558.437272,1780162558.443034,TCP,127.0.0.1,8081,127.0.0.1,57826,,L,,0.0,0.0
17,33,1780162559.450297,1780162559.454585,TCP,127.0.0.1,57830,127.0.0.1,8081,,L,,0.0,0.0
,34,1780162559.450333,1780162559.454552,TCP,127.0.0.1,8081,127.0.0.1,57830,,L,,0.0,0.0
18,35,1780162559.459723,1780162559.463156,TCP,127.0.0.1,57838,127.0.0.1,8081,,L,,0.0,0.0
,36,1780162559.459757,1780162559.463123,TCP,127.0.0.1,8081,127.0.0.1,57838,,L,,0.0,0.0
19,37,1780162560.028296,1780162560.033311,TCP,192.168.70.146,60532,192.168.70.129,8081,,P,T0839,1.0,1.0
,38,1780162560.028343,1780162560.032882,TCP,192.168.70.129,8081,192.168.70.146,60532,,L,,0.0,0.0
20,39,1780162560.470239,1780162560.476049,TCP,127.0.0.1,57852,127.0.0.1,8081,,L,,0.0,0.0
,40,1780162560.470380,1780162560.476017,TCP,127.0.0.1,8081,127.0.0.1,57852,,L,,0.0,0.0
21,41,1780162560.482179,1780162560.486253,TCP,127.0.0.1,57868,127.0.0.1,8081,,L,,0.0,0.0
,42,1780162560.482214,1780162560.486222,TCP,127.0.0.1,8081,127.0.0.1,57868,,L,,0.0,0.0
22,43,1780162561.496340,1780162561.500532,TCP,127.0.0.1,57872,127.0.0.1,8081,,L,,0.0,0.0
,44,1780162561.496378,1780162561.500488,TCP,127.0.0.1,8081,127.0.0.1,57872,,L,,0.0,0.0
23,45,1780162561.504778,1780162561.508827,TCP,127.0.0.1,57888,127.0.0.1,8081,,L,,0.0,0.0
,46,1780162561.504813,1780162561.508793,TCP,127.0.0.1,8081,127.0.0.1,57888,,L,,0.0,0.0
24,47,1780162562.515679,1780162562.520456,TCP,127.0.0.1,57900,127.0.0.1,8081,,L,,0.0,0.0
,48,1780162562.515714,1780162562.520423,TCP,127.0.0.1,8081,127.0.0.1,57900,,L,,0.0,0.0
25,49,1780162562.524523,1780162562.528211,TCP,127.0.0.1,57904,127.0.0.1,8081,,L,,0.0,0.0
,50,1780162562.524556,1780162562.528182,TCP,127.0.0.1,8081,127.0.0.1,57904,,L,,0.0,0.0
26,51,1780162563.536370,1780162563.541808,TCP,127.0.0.1,57920,127.0.0.1,8081,,L,,0.0,0.0
,52,1780162563.536405,1780162563.541739,TCP,127.0.0.1,8081,127.0.0.1,57920,,L,,0.0,0.0
27,53,1780162563.547973,1780162563.552108,TCP,127.0.0.1,57926,127.0.0.1,8081,,L,,0.0,0.0
,54,1780162563.548009,1780162563.552077,TCP,127.0.0.1,8081,127.0.0.1,57926,,L,,0.0,0.0
28,55,1780162564.560610,1780162564.564478,TCP,127.0.0.1,57936,127.0.0.1,8081,,L,,0.0,0.0
,56,1780162564.560645,1780162564.564448,TCP,127.0.0.1,8081,127.0.0.1,57936,,L,,0.0,0.0
29,57,1780162564.569628,1780162564.573140,TCP,127.0.0.1,57948,127.0.0.1,8081,,L,,0.0,0.0
,58,1780162564.569659,1780162564.573111,TCP,127.0.0.1,8081,127.0.0.1,57948,,L,,0.0,0.0
30,59,1780162565.583664,1780162565.587798,TCP,127.0.0.1,57960,127.0.0.1,8081,,L,,0.0,0.0
,60,1780162565.583699,1780162565.587768,TCP,127.0.0.1,8081,127.0.0.1,57960,,L,,0.0,0.0
31,61,1780162565.595621,1780162565.599761,TCP,127.0.0.1,57976,127.0.0.1,8081,,L,,0.0,0.0
,62,1780162565.595658,1780162565.599730,TCP,127.0.0.1,8081,127.0.0.1,57976,,L,,0.0,0.0
