Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1719686159.609975,1719686360.078278,TCP,192.168.113.223,59664,192.168.113.175,20000,,P,T0843,1.0,1.0
,2,1719686159.610133,1719686359.086247,TCP,192.168.113.175,20000,192.168.113.223,59664,,L,,0.0,0.0
2,3,1719686161.370864,1719686161.370864,UDP,192.168.113.223,138,192.168.113.255,138,,L,,0.0,0.0
3,4,1719686176.747510,1719686179.751470,UDP,192.168.113.223,59925,239.255.255.250,1900,,L,,0.0,0.0
4,5,1719686179.532906,1719686182.535849,UDP,192.168.113.223,59927,239.255.255.250,1900,,L,,0.0,0.0
5,6,1719686284.256994,1719686285.757677,UDP,192.168.113.223,137,192.168.113.255,137,,L,,0.0,0.0
6,7,1719686291.733544,1719686291.749037,UDP,192.168.113.223,5353,224.0.0.251,5353,,L,,0.0,0.0
7,8,1719686291.737839,1719686291.737839,UDP,192.168.113.223,61247,224.0.0.252,5355,,L,,0.0,0.0
8,9,1719686296.741599,1719686299.744987,UDP,192.168.113.223,52581,239.255.255.250,1900,,L,,0.0,0.0
9,10,1719686299.529263,1719686302.531980,UDP,192.168.113.223,50682,239.255.255.250,1900,,L,,0.0,0.0
