Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1714937690.477782,1714937690.480283,TCP,192.168.1.156,61140,192.168.1.134,2404,,P,T0846,1.0,36.0
,2,1714937690.480255,1714937690.480255,TCP,192.168.1.134,2404,192.168.1.156,61140,,L,,0.0,0.0
2,3,1714937690.693756,1714937701.724516,TCP,192.168.1.156,51786,192.168.1.134,2404,,P,T0846,1.0,36.0
,4,1714937690.697172,1714937701.724497,TCP,192.168.1.134,2404,192.168.1.156,51786,,L,,0.0,0.0
3,5,1714937694.438842,1714937697.406752,UDP,192.168.1.134,60674,239.255.255.250,1900,,P,T0846,1.0,36.0
4,6,1714937696.281440,1714937839.233258,UDP,192.168.1.134,57621,192.168.1.255,57621,,P,T0846,1.0,36.0
5,7,1714937701.720065,1714937706.740203,TCP,192.168.1.156,57922,192.168.1.134,2404,,P,T0846,1.0,36.0
,8,1714937701.722641,1714937706.740179,TCP,192.168.1.134,2404,192.168.1.156,57922,,L,,0.0,0.0
6,9,1714937706.734651,1714937711.753385,TCP,192.168.1.156,57932,192.168.1.134,2404,,P,T0846,1.0,36.0
,10,1714937706.739697,1714937711.753356,TCP,192.168.1.134,2404,192.168.1.156,57932,,L,,0.0,0.0
7,11,1714937711.746390,1714937716.765488,TCP,192.168.1.156,40784,192.168.1.134,2404,,P,T0846,1.0,36.0
,12,1714937711.750328,1714937716.765457,TCP,192.168.1.134,2404,192.168.1.156,40784,,L,,0.0,0.0
8,13,1714937716.758173,1714937721.775787,TCP,192.168.1.156,40790,192.168.1.134,2404,,P,T0846,1.0,36.0
,14,1714937716.763309,1714937721.775761,TCP,192.168.1.134,2404,192.168.1.156,40790,,L,,0.0,0.0
9,15,1714937721.771798,1714937726.795520,TCP,192.168.1.156,49260,192.168.1.134,2404,,P,T0846,1.0,36.0
,16,1714937721.774450,1714937726.795498,TCP,192.168.1.134,2404,192.168.1.156,49260,,L,,0.0,0.0
10,17,1714937724.644994,1714937727.717302,UDP,192.168.1.134,63092,239.255.255.250,1900,,P,T0846,1.0,36.0
11,18,1714937726.785437,1714937731.822314,TCP,192.168.1.156,49274,192.168.1.134,2404,,P,T0846,1.0,36.0
,19,1714937726.788679,1714937731.822305,TCP,192.168.1.134,2404,192.168.1.156,49274,,L,,0.0,0.0
12,20,1714937731.813406,1714937739.331889,TCP,192.168.1.156,47624,192.168.1.134,2404,,P,T0846,1.0,36.0
,21,1714937731.817235,1714937739.331863,TCP,192.168.1.134,2404,192.168.1.156,47624,,L,,0.0,0.0
13,22,1714937739.325054,1714937744.350331,TCP,192.168.1.156,55638,192.168.1.134,2404,,P,T0846,1.0,36.0
,23,1714937739.328094,1714937744.350317,TCP,192.168.1.134,2404,192.168.1.156,55638,,L,,0.0,0.0
14,24,1714937744.345039,1714937744.450234,TCP,192.168.1.156,55640,192.168.1.134,2404,,P,T0846,1.0,36.0
,25,1714937744.348578,1714937744.452215,TCP,192.168.1.134,2404,192.168.1.156,55640,,L,,0.0,0.0
15,26,1714937744.450311,1714937749.469031,TCP,192.168.1.156,55644,192.168.1.134,2404,,P,T0846,1.0,36.0
,27,1714937744.453463,1714937749.469006,TCP,192.168.1.134,2404,192.168.1.156,55644,,L,,0.0,0.0
16,28,1714937749.462537,1714937754.492490,TCP,192.168.1.156,54960,192.168.1.134,2404,,P,T0846,1.0,36.0
