Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1654448655.803861,1654448655.803861,TCP,192.168.100.2,37106,192.168.100.3,80,,P,T0846,1.0,3.0
,2,1654448655.804267,1654448655.804267,TCP,192.168.100.3,80,192.168.100.2,37106,,L,,0.0,0.0
2,3,1654448655.803901,1654448655.803901,TCP,192.168.100.2,59790,192.168.100.3,443,,P,T0846,1.0,3.0
,4,1654448655.804267,1654448655.804267,TCP,192.168.100.3,443,192.168.100.2,59790,,L,,0.0,0.0
3,5,1654448655.814022,1654448655.814486,TCP,192.168.100.2,49808,192.168.100.3,502,,P,T0846,1.0,3.0
,6,1654448655.814403,1654448655.814403,TCP,192.168.100.3,502,192.168.100.2,49808,,L,,0.0,0.0
4,7,1654448655.814711,1654448655.818121,TCP,192.168.100.2,49810,192.168.100.3,502,,P,T0846,1.0,3.0
,8,1654448655.815019,1654448655.818112,TCP,192.168.100.3,502,192.168.100.2,49810,,L,,0.0,0.0
5,9,1654448655.817858,1654448655.824336,TCP,192.168.100.2,49812,192.168.100.3,502,,P,T0846,1.0,3.0
,10,1654448655.818007,1654448655.824326,TCP,192.168.100.3,502,192.168.100.2,49812,,L,,0.0,0.0
