Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1722880127.941800,1722880127.941800,TCP,192.168.1.241,52378,192.168.1.195,2643,,L,,0.0,0.0
2,2,1722880127.941821,1722880128.147425,TCP,192.168.1.241,52378,192.168.1.195,4840,,P,T0846,1.0,40.0
,3,1722880128.147402,1722880128.147402,TCP,192.168.1.195,4840,192.168.1.241,52378,,L,,0.0,0.0
3,4,1722880127.941828,1722880127.941828,TCP,192.168.1.241,52378,192.168.1.195,48050,,L,,0.0,0.0
4,5,1722880127.941835,1722880127.941835,TCP,192.168.1.241,52378,192.168.1.195,49320,,L,,0.0,0.0
5,6,1722880127.941843,1722880127.941843,TCP,192.168.1.241,52378,192.168.1.195,62541,,L,,0.0,0.0
6,7,1722880127.941850,1722880127.941850,TCP,192.168.1.241,52378,192.168.1.195,53530,,L,,0.0,0.0
7,8,1722880127.941858,1722880127.941858,TCP,192.168.1.241,52378,192.168.1.195,4897,,L,,0.0,0.0
8,9,1722880127.941866,1722880127.941866,TCP,192.168.1.241,52378,192.168.1.195,4885,,L,,0.0,0.0
9,10,1722880129.089521,1722880129.089521,TCP,192.168.1.241,52380,192.168.1.195,4885,,L,,0.0,0.0
10,11,1722880129.089565,1722880129.089565,TCP,192.168.1.241,52380,192.168.1.195,4897,,L,,0.0,0.0
11,12,1722880129.089576,1722880129.089576,TCP,192.168.1.241,52380,192.168.1.195,53530,,L,,0.0,0.0
12,13,1722880129.089584,1722880129.089584,TCP,192.168.1.241,52380,192.168.1.195,62541,,L,,0.0,0.0
13,14,1722880129.089592,1722880129.089592,TCP,192.168.1.241,52380,192.168.1.195,49320,,L,,0.0,0.0
14,15,1722880129.089599,1722880129.089599,TCP,192.168.1.241,52380,192.168.1.195,48050,,L,,0.0,0.0
15,16,1722880129.089607,1722880129.089607,TCP,192.168.1.241,52380,192.168.1.195,2643,,L,,0.0,0.0
16,17,1722880129.405833,1722880129.408705,TCP,192.168.1.241,52383,192.168.1.195,4840,,P,T0846,1.0,40.0
,18,1722880129.408671,1722880129.408671,TCP,192.168.1.195,4840,192.168.1.241,52383,,L,,0.0,0.0
17,19,1722880129.601893,1722880140.620275,TCP,192.168.1.241,50416,192.168.1.195,4840,,P,T0846,1.0,40.0
,20,1722880129.605918,1722880140.620268,TCP,192.168.1.195,4840,192.168.1.241,50416,,L,,0.0,0.0
18,21,1722880140.613187,1722880140.648486,TCP,192.168.1.241,37036,192.168.1.195,4840,,P,T0846,1.0,40.0
,22,1722880140.617162,1722880140.651248,TCP,192.168.1.195,4840,192.168.1.241,37036,,L,,0.0,0.0
19,23,1722880140.648555,1722880140.666121,TCP,192.168.1.241,37046,192.168.1.195,4840,,P,T0846,1.0,40.0
,24,1722880140.653581,1722880140.667941,TCP,192.168.1.195,4840,192.168.1.241,37046,,L,,0.0,0.0
20,25,1722880140.666159,1722880140.675959,TCP,192.168.1.241,37056,192.168.1.195,4840,,P,T0846,1.0,40.0
,26,1722880140.668426,1722880140.679992,TCP,192.168.1.195,4840,192.168.1.241,37056,,L,,0.0,0.0
21,27,1722880140.675991,1722880140.685814,TCP,192.168.1.241,37058,192.168.1.195,4840,,L,,0.0,0.0
,28,1722880140.681101,1722880140.687683,TCP,192.168.1.195,4840,192.168.1.241,37058,,L,,0.0,0.0
22,29,1722880140.685847,1722880140.694541,TCP,192.168.1.241,37070,192.168.1.195,4840,,P,T0846,1.0,40.0
,30,1722880140.688260,1722880140.697061,TCP,192.168.1.195,4840,192.168.1.241,37070,,L,,0.0,0.0
23,31,1722880140.694572,1722880145.706709,TCP,192.168.1.241,37072,192.168.1.195,4840,,P,T0846,1.0,40.0
,32,1722880140.697061,1722880145.706699,TCP,192.168.1.195,4840,192.168.1.241,37072,,L,,0.0,0.0
24,33,1722880145.701297,1722880153.214991,TCP,192.168.1.241,52244,192.168.1.195,4840,,P,T0846,1.0,40.0
,34,1722880145.704368,1722880153.214982,TCP,192.168.1.195,4840,192.168.1.241,52244,,L,,0.0,0.0
25,35,1722880153.209596,1722880158.227059,TCP,192.168.1.241,37922,192.168.1.195,4840,,P,T0846,1.0,40.0
,36,1722880153.213027,1722880158.227051,TCP,192.168.1.195,4840,192.168.1.241,37922,,L,,0.0,0.0
26,37,1722880158.217705,1722880158.251225,TCP,192.168.1.241,37934,192.168.1.195,4840,,P,T0846,1.0,40.0
,38,1722880158.222929,1722880158.254695,TCP,192.168.1.195,4840,192.168.1.241,37934,,L,,0.0,0.0
27,39,1722880158.251259,1722880163.418762,TCP,192.168.1.241,37944,192.168.1.195,4840,,P,T0846,1.0,40.0
,40,1722880158.255208,1722880163.418733,TCP,192.168.1.195,4840,192.168.1.241,37944,,L,,0.0,0.0
28,41,1722880163.257661,1722880163.457774,TCP,192.168.1.241,60842,192.168.1.195,4840,,P,T0846,1.0,40.0
,42,1722880163.423467,1722880163.460531,TCP,192.168.1.195,4840,192.168.1.241,60842,,L,,0.0,0.0
29,43,1722880163.457824,1722880163.478539,TCP,192.168.1.241,60846,192.168.1.195,4840,,P,T0846,1.0,40.0
,44,1722880163.461817,1722880163.482225,TCP,192.168.1.195,4840,192.168.1.241,60846,,L,,0.0,0.0
30,45,1722880163.478572,1722880163.498055,TCP,192.168.1.241,60854,192.168.1.195,4840,,P,T0846,1.0,40.0
,46,1722880163.482345,1722880163.500316,TCP,192.168.1.195,4840,192.168.1.241,60854,,L,,0.0,0.0
31,47,1722880163.498093,1722880163.511814,TCP,192.168.1.241,60856,192.168.1.195,4840,,L,,0.0,0.0
,48,1722880163.501012,1722880163.514061,TCP,192.168.1.195,4840,192.168.1.241,60856,,L,,0.0,0.0
32,49,1722880163.511846,1722880163.536744,TCP,192.168.1.241,60870,192.168.1.195,4840,,P,T0846,1.0,40.0
,50,1722880163.514627,1722880163.539974,TCP,192.168.1.195,4840,192.168.1.241,60870,,L,,0.0,0.0
33,51,1722880163.536780,1722880163.552162,TCP,192.168.1.241,60882,192.168.1.195,4840,,P,T0846,1.0,40.0
,52,1722880163.540923,1722880163.555127,TCP,192.168.1.195,4840,192.168.1.241,60882,,L,,0.0,0.0
34,53,1722880163.552194,1722880163.579245,TCP,192.168.1.241,60898,192.168.1.195,4840,,P,T0846,1.0,40.0
,54,1722880163.555898,1722880163.582803,TCP,192.168.1.195,4840,192.168.1.241,60898,,L,,0.0,0.0
35,55,1722880163.579282,1722880163.600018,TCP,192.168.1.241,60906,192.168.1.195,4840,,P,T0846,1.0,40.0
,56,1722880163.583318,1722880163.602386,TCP,192.168.1.195,4840,192.168.1.241,60906,,L,,0.0,0.0
36,57,1722880163.600059,1722880163.615184,TCP,192.168.1.241,60922,192.168.1.195,4840,,P,T0846,1.0,40.0
,58,1722880163.603184,1722880163.617115,TCP,192.168.1.195,4840,192.168.1.241,60922,,L,,0.0,0.0
37,59,1722880163.615224,1722880163.622694,TCP,192.168.1.241,60932,192.168.1.195,4840,,P,T0846,1.0,40.0
,60,1722880163.617574,1722880163.625251,TCP,192.168.1.195,4840,192.168.1.241,60932,,L,,0.0,0.0
38,61,1722880163.622895,1722880163.631825,TCP,192.168.1.241,60944,192.168.1.195,4840,,P,T0846,1.0,40.0
,62,1722880163.625701,1722880163.634473,TCP,192.168.1.195,4840,192.168.1.241,60944,,L,,0.0,0.0
39,63,1722880163.631856,1722880163.641258,TCP,192.168.1.241,60956,192.168.1.195,4840,,P,T0846,1.0,40.0
,64,1722880163.635231,1722880163.643579,TCP,192.168.1.195,4840,192.168.1.241,60956,,L,,0.0,0.0
40,65,1722880163.641300,1722880168.655495,TCP,192.168.1.241,60964,192.168.1.195,4840,,P,T0846,1.0,40.0
,66,1722880163.644451,1722880168.655486,TCP,192.168.1.195,4840,192.168.1.241,60964,,L,,0.0,0.0
41,67,1722880168.649516,1722880168.669430,TCP,192.168.1.241,60976,192.168.1.195,4840,,P,T0846,1.0,40.0
,68,1722880168.653570,1722880168.674891,TCP,192.168.1.195,4840,192.168.1.241,60976,,L,,0.0,0.0
42,69,1722880168.669474,1722880168.690791,TCP,192.168.1.241,60984,192.168.1.195,4840,,P,T0846,1.0,40.0
,70,1722880168.677875,1722880168.697315,TCP,192.168.1.195,4840,192.168.1.241,60984,,L,,0.0,0.0
43,71,1722880168.690829,1722880168.716786,TCP,192.168.1.241,32768,192.168.1.195,4840,,P,T0846,1.0,40.0
,72,1722880168.704427,1722880168.719071,TCP,192.168.1.195,4840,192.168.1.241,32768,,L,,0.0,0.0
