Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1718295395.127108,1718295395.127108,UDP,192.168.1.129,49382,239.255.255.250,1900,,L,,0.0,0.0
2,2,1718295407.927274,1718295528.145282,UDP,192.168.1.129,57559,255.255.255.255,27127,,L,,0.0,0.0
3,3,1718295410.590220,1718295493.854843,TCP,192.168.1.129,60337,192.168.1.130,2404,,P,T0848,1.0,6.0
,4,1718295410.590810,1718295493.855023,TCP,192.168.1.130,2404,192.168.1.129,60337,,L,,0.0,0.0
4,5,1718295420.010556,1718295420.010556,UDP,192.168.1.129,64359,255.255.255.255,475,,L,,0.0,0.0
5,6,1718295493.868482,1718295495.902399,TCP,192.168.1.129,60372,192.168.1.130,2404,,P,T0848,1.0,6.0
,7,1718295493.868877,1718295495.902677,TCP,192.168.1.130,2404,192.168.1.129,60372,,L,,0.0,0.0
6,8,1718295495.918141,1718295497.441923,TCP,192.168.1.129,60374,192.168.1.130,2404,,P,T0848,1.0,6.0
,9,1718295495.918785,1718295497.442071,TCP,192.168.1.130,2404,192.168.1.129,60374,,L,,0.0,0.0
7,10,1718295497.457830,1718295498.468495,TCP,192.168.1.129,60376,192.168.1.130,2404,,P,T0848,1.0,6.0
,11,1718295497.458302,1718295498.468686,TCP,192.168.1.130,2404,192.168.1.129,60376,,L,,0.0,0.0
8,12,1718295498.485146,1718295517.832264,TCP,192.168.1.129,60378,192.168.1.130,2404,,P,T0848,1.0,6.0
,13,1718295498.485487,1718295517.832343,TCP,192.168.1.130,2404,192.168.1.129,60378,,L,,0.0,0.0
9,14,1718295512.068365,1718295515.140668,UDP,192.168.1.129,54808,239.255.255.250,1900,,L,,0.0,0.0
10,15,1718295517.834993,1718295526.624573,TCP,192.168.1.129,60380,192.168.1.130,2404,,P,T0848,1.0,6.0
,16,1718295517.835350,1718295526.665157,TCP,192.168.1.130,2404,192.168.1.129,60380,,L,,0.0,0.0
