Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1093521681.696827,1093522067.391775,TCP,10.0.0.57,2578,10.0.0.3,502,,L,,0.0,0.0
,2,1093521681.696993,1093522067.391716,TCP,10.0.0.3,502,10.0.0.57,2578,,L,,0.0,0.0
2,3,1093521953.490353,1093521976.747072,TCP,10.0.0.57,2579,10.0.0.8,502,,L,,0.0,0.0
,4,1093521953.490559,1093521976.746984,TCP,10.0.0.8,502,10.0.0.57,2579,,L,,0.0,0.0
3,5,1093522326.102435,1093522503.198170,TCP,10.0.0.9,3082,10.0.0.3,502,,P,T0855,1.0,1.0
,6,1093522326.102567,1093522503.197969,TCP,10.0.0.3,502,10.0.0.9,3082,,L,,0.0,0.0
4,7,1093522946.554059,1093523023.115939,TCP,10.0.0.57,2585,10.0.0.8,502,,L,,0.0,0.0
,8,1093522946.554266,1093523023.116262,TCP,10.0.0.8,502,10.0.0.57,2585,,L,,0.0,0.0
5,9,1093523065.562221,1093523220.676663,TCP,10.0.0.8,502,10.0.0.57,4446,,L,,0.0,0.0
,10,1093523065.562291,1093523220.676458,TCP,10.0.0.57,4446,10.0.0.8,502,,L,,0.0,0.0
