Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1779899230.568828,1779899230.572248,TCP,127.0.0.1,60120,127.0.0.1,8081,,L,,0.0,0.0
2,2,1779899231.683079,1779899231.687613,TCP,127.0.0.1,60132,127.0.0.1,8081,,L,,0.0,0.0
3,3,1779899232.689631,1779899232.691863,TCP,127.0.0.1,60136,127.0.0.1,8081,,L,,0.0,0.0
4,4,1779899233.694026,1779899233.696127,TCP,127.0.0.1,60146,127.0.0.1,8081,,L,,0.0,0.0
5,5,1779899234.699551,1779899234.702357,TCP,127.0.0.1,60156,127.0.0.1,8081,,L,,0.0,0.0
6,6,1779899235.708548,1779899235.711161,TCP,127.0.0.1,60158,127.0.0.1,8081,,L,,0.0,0.0
7,7,1779899236.712825,1779899236.715055,TCP,127.0.0.1,60168,127.0.0.1,8081,,L,,0.0,0.0
8,8,1779899237.717441,1779899237.719278,TCP,127.0.0.1,60182,127.0.0.1,8081,,L,,0.0,0.0
9,9,1779899238.722013,1779899238.725023,TCP,127.0.0.1,60196,127.0.0.1,8081,,L,,0.0,0.0
10,10,1779899239.727384,1779899239.729774,TCP,127.0.0.1,60202,127.0.0.1,8081,,L,,0.0,0.0
11,11,1779899240.732537,1779899240.734616,TCP,127.0.0.1,50970,127.0.0.1,8081,,L,,0.0,0.0
12,12,1779899241.736818,1779899241.739371,TCP,127.0.0.1,50978,127.0.0.1,8081,,L,,0.0,0.0
13,13,1779899242.750181,1779899242.753961,TCP,127.0.0.1,50986,127.0.0.1,8081,,L,,0.0,0.0
14,14,1779899243.368161,1779899244.822177,TCP,127.0.0.1,50996,127.0.0.1,8081,,P,T0858,2.0,1.0
15,15,1779899243.757554,1779899243.800091,TCP,127.0.0.1,50998,127.0.0.1,8081,,L,,0.0,0.0
16,16,1779899244.809258,1779899256.607659,TCP,127.0.0.1,51004,127.0.0.1,8081,,L,,0.0,0.0
17,17,1779899244.824158,1779899245.136350,TCP,127.0.0.1,51010,127.0.0.1,8081,,L,,0.0,0.0
18,18,1779899245.150022,1779899245.152477,TCP,127.0.0.1,51022,127.0.0.1,8081,,L,,0.0,0.0
19,19,1779899245.152068,1779899245.167325,TCP,127.0.0.1,51036,127.0.0.1,8081,,L,,0.0,0.0
20,20,1779899245.152408,1779899245.165869,TCP,127.0.0.1,51052,127.0.0.1,8081,,L,,0.0,0.0
21,21,1779899245.154209,1779899245.167441,TCP,127.0.0.1,51066,127.0.0.1,8081,,L,,0.0,0.0
22,22,1779899245.154586,1779899245.167985,TCP,127.0.0.1,51072,127.0.0.1,8081,,L,,0.0,0.0
23,23,1779899245.154634,1779899245.165935,TCP,127.0.0.1,51086,127.0.0.1,8081,,L,,0.0,0.0
24,24,1779899245.155157,1779899245.177191,TCP,127.0.0.1,51088,127.0.0.1,8081,,L,,0.0,0.0
25,25,1779899245.163654,1779899245.177291,TCP,127.0.0.1,51102,127.0.0.1,8081,,L,,0.0,0.0
26,26,1779899245.163790,1779899245.175991,TCP,127.0.0.1,51106,127.0.0.1,8081,,L,,0.0,0.0
27,27,1779899245.163886,1779899245.176471,TCP,127.0.0.1,51110,127.0.0.1,8081,,L,,0.0,0.0
28,28,1779899245.165069,1779899245.178664,TCP,127.0.0.1,51116,127.0.0.1,8081,,L,,0.0,0.0
29,29,1779899245.182658,1779899245.185963,TCP,127.0.0.1,51130,127.0.0.1,8081,,L,,0.0,0.0
30,30,1779899245.183834,1779899245.236126,TCP,127.0.0.1,51138,127.0.0.1,8081,,L,,0.0,0.0
31,31,1779899246.243263,1779899246.337927,TCP,127.0.0.1,51146,127.0.0.1,8081,,L,,0.0,0.0
32,32,1779899247.341591,1779899247.440475,TCP,127.0.0.1,51156,127.0.0.1,8081,,L,,0.0,0.0
33,33,1779899248.538262,1779899248.542485,TCP,127.0.0.1,51166,127.0.0.1,8081,,L,,0.0,0.0
34,34,1779899249.548115,1779899249.646259,TCP,127.0.0.1,51172,127.0.0.1,8081,,L,,0.0,0.0
35,35,1779899250.703284,1779899250.746744,TCP,127.0.0.1,42524,127.0.0.1,8081,,L,,0.0,0.0
36,36,1779899251.751596,1779899251.850726,TCP,127.0.0.1,42540,127.0.0.1,8081,,L,,0.0,0.0
37,37,1779899252.855788,1779899252.951554,TCP,127.0.0.1,42548,127.0.0.1,8081,,L,,0.0,0.0
38,38,1779899253.954492,1779899254.052950,TCP,127.0.0.1,42556,127.0.0.1,8081,,L,,0.0,0.0
39,39,1779899255.055849,1779899255.155421,TCP,127.0.0.1,42568,127.0.0.1,8081,,L,,0.0,0.0
40,40,1779899256.198771,1779899256.606927,TCP,127.0.0.1,42578,127.0.0.1,8081,,L,,0.0,0.0
41,41,1779899256.248166,1779899258.606958,TCP,127.0.0.1,42588,127.0.0.1,8081,,P,T0858,2.0,1.0
42,42,1779899258.608835,1779899258.612369,TCP,127.0.0.1,42602,127.0.0.1,8081,,L,,0.0,0.0
43,43,1779899258.629755,1779899258.633364,TCP,127.0.0.1,42618,127.0.0.1,8081,,L,,0.0,0.0
44,44,1779899258.631481,1779899258.635117,TCP,127.0.0.1,42628,127.0.0.1,8081,,L,,0.0,0.0
45,45,1779899258.631524,1779899258.637954,TCP,127.0.0.1,42638,127.0.0.1,8081,,L,,0.0,0.0
46,46,1779899258.631552,1779899258.638033,TCP,127.0.0.1,42650,127.0.0.1,8081,,L,,0.0,0.0
47,47,1779899258.631758,1779899258.647971,TCP,127.0.0.1,42662,127.0.0.1,8081,,L,,0.0,0.0
48,48,1779899258.632054,1779899258.649116,TCP,127.0.0.1,42666,127.0.0.1,8081,,L,,0.0,0.0
49,49,1779899258.633731,1779899258.644444,TCP,127.0.0.1,42678,127.0.0.1,8081,,L,,0.0,0.0
50,50,1779899258.633945,1779899258.646180,TCP,127.0.0.1,42690,127.0.0.1,8081,,L,,0.0,0.0
51,51,1779899258.638030,1779899258.651886,TCP,127.0.0.1,42704,127.0.0.1,8081,,L,,0.0,0.0
52,52,1779899258.638065,1779899258.654131,TCP,127.0.0.1,42712,127.0.0.1,8081,,L,,0.0,0.0
53,53,1779899258.644682,1779899258.653953,TCP,127.0.0.1,42718,127.0.0.1,8081,,L,,0.0,0.0
54,54,1779899258.662213,1779899258.664764,TCP,127.0.0.1,42724,127.0.0.1,8081,,L,,0.0,0.0
55,55,1779899258.662725,1779899258.666261,TCP,127.0.0.1,42736,127.0.0.1,8081,,L,,0.0,0.0
