Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1780940049.489845,1780940254.287196,TCP,192.168.70.129,45368,84.17.62.8,443,,L,,0.0,0.0
,2,1780940049.489845,1780940254.287197,TCP,84.17.62.8,443,192.168.70.129,45368,,L,,0.0,0.0
2,3,1780940049.805833,1780940257.803113,UDP,192.168.70.129,43288,209.250.254.15,21116,,L,,0.0,0.0
,4,1780940049.897679,1780940257.868121,UDP,209.250.254.15,21116,192.168.70.129,43288,,L,,0.0,0.0
3,5,1780940056.271136,1780940056.271684,TCP,192.168.70.150,64940,192.168.70.129,102,,L,,0.0,0.0
,6,1780940056.271657,1780940056.271657,TCP,192.168.70.129,102,192.168.70.150,64940,,L,,0.0,0.0
4,7,1780940056.271219,1780940056.271701,TCP,192.168.70.150,64940,192.168.70.129,502,,P,T0868,48.0,1.0
,8,1780940056.271657,1780940056.271657,TCP,192.168.70.129,502,192.168.70.150,64940,,L,,0.0,0.0
5,9,1780940056.363425,1780940061.372633,TCP,192.168.70.150,51098,192.168.70.129,102,,L,,0.0,0.0
,10,1780940056.363861,1780940061.373363,TCP,192.168.70.129,102,192.168.70.150,51098,,L,,0.0,0.0
6,11,1780940056.363502,1780940061.371561,TCP,192.168.70.150,37982,192.168.70.129,502,,P,T0868,48.0,1.0
,12,1780940056.363861,1780940061.372698,TCP,192.168.70.129,502,192.168.70.150,37982,,L,,0.0,0.0
7,13,1780940061.371690,1780940061.374671,TCP,192.168.70.150,37988,192.168.70.129,502,,P,T0868,48.0,1.0
,14,1780940061.372698,1780940061.374989,TCP,192.168.70.129,502,192.168.70.150,37988,,L,,0.0,0.0
8,15,1780940061.372709,1780940066.377215,TCP,192.168.70.150,51106,192.168.70.129,102,,L,,0.0,0.0
,16,1780940061.373363,1780940066.377716,TCP,192.168.70.129,102,192.168.70.150,51106,,L,,0.0,0.0
9,17,1780940061.374724,1780940066.377319,TCP,192.168.70.150,38002,192.168.70.129,502,,P,T0868,48.0,1.0
,18,1780940061.374990,1780940066.418244,TCP,192.168.70.129,502,192.168.70.150,38002,,L,,0.0,0.0
10,19,1780940066.377287,1780940071.380371,TCP,192.168.70.150,51102,192.168.70.129,102,,L,,0.0,0.0
,20,1780940066.377716,1780940071.421212,TCP,192.168.70.129,102,192.168.70.150,51102,,L,,0.0,0.0
11,21,1780940066.377339,1780940071.380568,TCP,192.168.70.150,50056,192.168.70.129,502,,P,T0868,48.0,1.0
,22,1780940066.377716,1780940071.421211,TCP,192.168.70.129,502,192.168.70.150,50056,,L,,0.0,0.0
12,23,1780940071.380523,1780940076.386200,TCP,192.168.70.150,51112,192.168.70.129,102,,L,,0.0,0.0
,24,1780940071.380812,1780940076.427225,TCP,192.168.70.129,102,192.168.70.150,51112,,L,,0.0,0.0
13,25,1780940071.380610,1780940076.386423,TCP,192.168.70.150,50062,192.168.70.129,502,,P,T0868,48.0,1.0
,26,1780940071.380813,1780940076.427225,TCP,192.168.70.129,502,192.168.70.150,50062,,L,,0.0,0.0
14,27,1780940076.386368,1780940081.394717,TCP,192.168.70.150,54306,192.168.70.129,102,,L,,0.0,0.0
,28,1780940076.389290,1780940081.437038,TCP,192.168.70.129,102,192.168.70.150,54306,,L,,0.0,0.0
15,29,1780940076.386491,1780940081.394939,TCP,192.168.70.150,36886,192.168.70.129,502,,P,T0868,48.0,1.0
,30,1780940076.389290,1780940081.436919,TCP,192.168.70.129,502,192.168.70.150,36886,,L,,0.0,0.0
16,31,1780940081.394886,1780940086.400684,TCP,192.168.70.150,54310,192.168.70.129,102,,L,,0.0,0.0
,32,1780940081.395395,1780940086.441302,TCP,192.168.70.129,102,192.168.70.150,54310,,L,,0.0,0.0
17,33,1780940081.394981,1780940086.400872,TCP,192.168.70.150,36890,192.168.70.129,502,,P,T0868,48.0,1.0
,34,1780940081.395395,1780940086.442293,TCP,192.168.70.129,502,192.168.70.150,36890,,L,,0.0,0.0
18,35,1780940086.400824,1780940091.406471,TCP,192.168.70.150,47026,192.168.70.129,102,,L,,0.0,0.0
,36,1780940086.401119,1780940091.448364,TCP,192.168.70.129,102,192.168.70.150,47026,,L,,0.0,0.0
19,37,1780940086.400917,1780940091.406731,TCP,192.168.70.150,50866,192.168.70.129,502,,P,T0868,48.0,1.0
,38,1780940086.401119,1780940091.448364,TCP,192.168.70.129,502,192.168.70.150,50866,,L,,0.0,0.0
20,39,1780940091.406677,1780940096.423996,TCP,192.168.70.150,47030,192.168.70.129,102,,L,,0.0,0.0
,40,1780940091.407770,1780940096.466368,TCP,192.168.70.129,102,192.168.70.150,47030,,L,,0.0,0.0
