Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1656782669.728324,1656782684.739827,UDP,192.168.2.86,137,192.168.2.255,137,,L,,0.0,0.0
2,2,1656782670.575869,1656782670.583305,TCP,192.168.2.87,38551,192.168.2.91,8088,,P,T0885,1.0,4.0
,3,1656782670.577374,1656782670.583286,TCP,192.168.2.91,8088,192.168.2.87,38551,,L,,0.0,0.0
3,4,1656782670.584544,1656782670.591484,TCP,192.168.2.87,43749,192.168.2.91,8088,,P,T0885,1.0,4.0
,5,1656782670.585702,1656782670.591462,TCP,192.168.2.91,8088,192.168.2.87,43749,,L,,0.0,0.0
4,6,1656782670.615124,1656782670.637192,TCP,192.168.2.87,41633,192.168.2.91,8088,,P,T0885,1.0,4.0
,7,1656782670.616453,1656782670.637173,TCP,192.168.2.91,8088,192.168.2.87,41633,,L,,0.0,0.0
5,8,1656782674.070795,1656782686.827882,TCP,192.168.2.91,60969,192.168.2.87,502,,P,T0885,1.0,4.0
,9,1656782674.070844,1656782686.826693,TCP,192.168.2.87,502,192.168.2.91,60969,,L,,0.0,0.0
6,10,1656782677.051086,1656782680.052677,UDP,192.168.2.86,55802,239.255.255.250,1900,,L,,0.0,0.0
