Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1654453853.791573,1654453853.801486,TCP,192.168.2.87,40357,192.168.2.92,912,,P,T0885,1.0,2.0
,2,1654453853.794143,1654453853.806774,TCP,192.168.2.92,912,192.168.2.87,40357,,L,,0.0,0.0
2,3,1654453853.813038,1654453904.810777,TCP,192.168.2.92,1049,192.168.2.87,502,,P,T0885,1.0,2.0
,4,1654453853.813069,1654453904.809111,TCP,192.168.2.87,502,192.168.2.92,1049,,L,,0.0,0.0
3,5,1654453854.369335,1654453893.031764,UDP,192.168.2.92,1028,255.255.255.255,1947,,L,,0.0,0.0
4,6,1654453857.341392,1654453908.446392,UDP,192.168.2.86,137,192.168.2.255,137,,L,,0.0,0.0
5,7,1654453858.381204,1654453897.041479,UDP,192.168.2.92,1028,192.168.2.255,1947,,L,,0.0,0.0
6,8,1654453870.348237,1654453877.703099,UDP,192.168.2.86,52991,239.255.255.250,3702,,L,,0.0,0.0
7,9,1654453901.046704,1654453904.052680,UDP,192.168.2.86,49826,239.255.255.250,1900,,L,,0.0,0.0
8,10,1654453901.051639,1654453904.056600,UDP,192.168.2.86,49832,239.255.255.250,1900,,L,,0.0,0.0
