Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1718402736.167107,1718402736.186160,TCP,192.168.1.134,40800,192.168.1.133,1883,,P,T0886,1.0,400.0
,2,1718402736.167131,1718402736.186185,TCP,192.168.1.133,1883,192.168.1.134,40800,,L,,0.0,0.0
2,3,1718402736.186160,1718402736.193122,TCP,192.168.1.134,40804,192.168.1.133,1883,,P,T0886,1.0,400.0
,4,1718402736.186210,1718402736.193135,TCP,192.168.1.133,1883,192.168.1.134,40804,,L,,0.0,0.0
3,5,1718402736.186161,1718402736.193122,TCP,192.168.1.134,40820,192.168.1.133,1883,,P,T0886,1.0,400.0
,6,1718402736.186216,1718402736.193161,TCP,192.168.1.133,1883,192.168.1.134,40820,,L,,0.0,0.0
4,7,1718402736.187371,1718402736.194743,TCP,192.168.1.134,40826,192.168.1.133,1883,,P,T0886,1.0,400.0
,8,1718402736.187397,1718402736.194776,TCP,192.168.1.133,1883,192.168.1.134,40826,,L,,0.0,0.0
5,9,1718402736.187372,1718402736.194743,TCP,192.168.1.134,40838,192.168.1.133,1883,,P,T0886,1.0,400.0
,10,1718402736.187422,1718402736.194816,TCP,192.168.1.133,1883,192.168.1.134,40838,,L,,0.0,0.0
6,11,1718402736.187372,1718402736.194743,TCP,192.168.1.134,40854,192.168.1.133,1883,,P,T0886,1.0,400.0
,12,1718402736.187437,1718402736.194833,TCP,192.168.1.133,1883,192.168.1.134,40854,,L,,0.0,0.0
7,13,1718402736.187372,1718402736.197262,TCP,192.168.1.134,40862,192.168.1.133,1883,,P,T0886,1.0,400.0
,14,1718402736.187452,1718402736.197280,TCP,192.168.1.133,1883,192.168.1.134,40862,,L,,0.0,0.0
8,15,1718402736.187372,1718402736.197312,TCP,192.168.1.134,40878,192.168.1.133,1883,,P,T0886,1.0,400.0
,16,1718402736.187470,1718402736.197302,TCP,192.168.1.133,1883,192.168.1.134,40878,,L,,0.0,0.0
9,17,1718402736.187372,1718402736.197312,TCP,192.168.1.134,40894,192.168.1.133,1883,,P,T0886,1.0,400.0
,18,1718402736.187503,1718402736.197323,TCP,192.168.1.133,1883,192.168.1.134,40894,,L,,0.0,0.0
10,19,1718402736.187372,1718402736.197312,TCP,192.168.1.134,40910,192.168.1.133,1883,,P,T0886,1.0,400.0
,20,1718402736.187512,1718402736.197334,TCP,192.168.1.133,1883,192.168.1.134,40910,,L,,0.0,0.0
11,21,1718402736.187372,1718402736.197355,TCP,192.168.1.134,40916,192.168.1.133,1883,,P,T0886,1.0,400.0
,22,1718402736.187519,1718402736.197343,TCP,192.168.1.133,1883,192.168.1.134,40916,,L,,0.0,0.0
12,23,1718402736.193122,1718402736.203406,TCP,192.168.1.134,40926,192.168.1.133,1883,,P,T0886,1.0,400.0
,24,1718402736.193154,1718402736.203423,TCP,192.168.1.133,1883,192.168.1.134,40926,,L,,0.0,0.0
13,25,1718402736.193122,1718402736.203440,TCP,192.168.1.134,40928,192.168.1.133,1883,,P,T0886,1.0,400.0
,26,1718402736.193166,1718402736.203444,TCP,192.168.1.133,1883,192.168.1.134,40928,,L,,0.0,0.0
14,27,1718402736.194743,1718402736.203440,TCP,192.168.1.134,40942,192.168.1.133,1883,,P,T0886,1.0,400.0
,28,1718402736.194808,1718402736.203454,TCP,192.168.1.133,1883,192.168.1.134,40942,,L,,0.0,0.0
15,29,1718402736.194743,1718402736.203440,TCP,192.168.1.134,40946,192.168.1.133,1883,,P,T0886,1.0,400.0
