Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1718402426.713201,1718402426.713201,TCP,192.168.1.134,57458,192.168.1.133,80,,P,T0888,1.0,4.0
,2,1718402426.715759,1718402426.715759,TCP,192.168.1.133,80,192.168.1.134,57458,,L,,0.0,0.0
2,3,1718402426.713201,1718402426.713201,TCP,192.168.1.134,45592,192.168.1.133,443,,P,T0888,1.0,4.0
,4,1718402426.715779,1718402426.715779,TCP,192.168.1.133,443,192.168.1.134,45592,,L,,0.0,0.0
3,5,1718402426.720549,1718402426.724549,TCP,192.168.1.134,37832,192.168.1.133,1883,,P,T0888,1.0,4.0
,6,1718402426.720581,1718402426.720581,TCP,192.168.1.133,1883,192.168.1.134,37832,,L,,0.0,0.0
4,7,1718402426.724549,1718402426.731467,TCP,192.168.1.134,37846,192.168.1.133,1883,,P,T0888,1.0,4.0
,8,1718402426.724574,1718402426.731497,TCP,192.168.1.133,1883,192.168.1.134,37846,,L,,0.0,0.0
5,9,1718402429.289011,1718402432.294394,UDP,192.168.1.130,52251,239.255.255.250,1900,,L,,0.0,0.0
6,10,1718402431.691828,1718402465.116009,UDP,192.168.1.129,5353,224.0.0.251,5353,,L,,0.0,0.0
7,11,1718402432.108009,1718402432.108009,UDP,192.168.1.129,49442,239.255.255.250,1900,,L,,0.0,0.0
8,12,1718402432.350874,1718402435.354467,UDP,192.168.1.130,55930,239.255.255.250,1900,,L,,0.0,0.0
9,13,1718402442.427837,1718402442.427837,UDP,192.168.1.129,59792,255.255.255.255,27127,,L,,0.0,0.0
10,14,1718402448.059707,1718402466.445616,UDP,192.168.1.132,40958,239.255.255.250,1900,,L,,0.0,0.0
11,15,1718402449.280404,1718402465.902815,UDP,192.168.1.132,5353,224.0.0.251,5353,,L,,0.0,0.0
12,16,1718402463.070183,1718402463.567230,2,192.168.1.129,,224.0.0.22,,,L,,0.0,0.0
13,17,1718402463.088202,1718402463.088202,UDP,192.168.1.129,53394,224.0.0.252,5355,,L,,0.0,0.0
14,18,1718402463.102040,1718402466.102793,UDP,192.168.1.129,57849,239.255.255.250,1900,,L,,0.0,0.0
15,19,1718402464.761861,1718402465.762300,UDP,192.168.1.129,49312,239.255.255.250,1900,,L,,0.0,0.0
16,20,1718402464.774522,1718402465.774956,UDP,192.168.1.129,49314,239.255.255.250,1900,,L,,0.0,0.0
