Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1650736633.335750,1650736633.350500,TCP,192.168.100.2,40299,192.168.100.3,502,,P,T0888,1.0,17.0
,2,1650736633.336676,1650736633.350492,TCP,192.168.100.3,502,192.168.100.2,40299,,L,,0.0,0.0
2,3,1650736634.556128,1650736636.563848,TCP,192.168.100.2,34561,192.168.100.3,502,,P,T0888,1.0,17.0
,4,1650736634.556568,1650736636.563811,TCP,192.168.100.3,502,192.168.100.2,34561,,L,,0.0,0.0
3,5,1650736637.769583,1650736639.777350,TCP,192.168.100.2,45237,192.168.100.3,502,,P,T0888,1.0,17.0
,6,1650736637.770538,1650736639.777258,TCP,192.168.100.3,502,192.168.100.2,45237,,L,,0.0,0.0
4,7,1650736640.981859,1650736642.987663,TCP,192.168.100.2,35075,192.168.100.3,502,,P,T0888,1.0,17.0
,8,1650736640.982843,1650736642.987651,TCP,192.168.100.3,502,192.168.100.2,35075,,L,,0.0,0.0
5,9,1650736644.194739,1650736646.200933,TCP,192.168.100.2,38039,192.168.100.3,502,,P,T0888,1.0,17.0
,10,1650736644.195658,1650736646.200901,TCP,192.168.100.3,502,192.168.100.2,38039,,L,,0.0,0.0
6,11,1650736647.406752,1650736649.412052,TCP,192.168.100.2,41853,192.168.100.3,502,,P,T0888,1.0,17.0
,12,1650736647.407735,1650736649.412026,TCP,192.168.100.3,502,192.168.100.2,41853,,L,,0.0,0.0
7,13,1650736650.616937,1650736652.625160,TCP,192.168.100.2,36237,192.168.100.3,502,,P,T0888,1.0,17.0
,14,1650736650.617797,1650736652.625131,TCP,192.168.100.3,502,192.168.100.2,36237,,L,,0.0,0.0
8,15,1650736653.828974,1650736655.837265,TCP,192.168.100.2,41165,192.168.100.3,502,,P,T0888,1.0,17.0
,16,1650736653.829670,1650736655.837101,TCP,192.168.100.3,502,192.168.100.2,41165,,L,,0.0,0.0
9,17,1650736657.041399,1650736659.046173,TCP,192.168.100.2,43713,192.168.100.3,502,,P,T0888,1.0,17.0
,18,1650736657.042425,1650736659.046160,TCP,192.168.100.3,502,192.168.100.2,43713,,L,,0.0,0.0
10,19,1650736660.249973,1650736662.253948,TCP,192.168.100.2,46767,192.168.100.3,502,,P,T0888,1.0,17.0
,20,1650736660.250887,1650736662.253926,TCP,192.168.100.3,502,192.168.100.2,46767,,L,,0.0,0.0
11,21,1650736663.459420,1650736665.463741,TCP,192.168.100.2,36305,192.168.100.3,502,,P,T0888,1.0,17.0
,22,1650736663.459927,1650736665.463723,TCP,192.168.100.3,502,192.168.100.2,36305,,L,,0.0,0.0
12,23,1650736666.667353,1650736668.671659,TCP,192.168.100.2,37409,192.168.100.3,502,,P,T0888,1.0,17.0
,24,1650736666.667928,1650736668.671642,TCP,192.168.100.3,502,192.168.100.2,37409,,L,,0.0,0.0
13,25,1650736669.875542,1650736671.880162,TCP,192.168.100.2,45881,192.168.100.3,502,,P,T0888,1.0,17.0
,26,1650736669.876092,1650736671.880131,TCP,192.168.100.3,502,192.168.100.2,45881,,L,,0.0,0.0
14,27,1650736673.083300,1650736675.087834,TCP,192.168.100.2,40715,192.168.100.3,502,,P,T0888,1.0,17.0
,28,1650736673.083815,1650736675.087822,TCP,192.168.100.3,502,192.168.100.2,40715,,L,,0.0,0.0
15,29,1650736676.290947,1650736678.296173,TCP,192.168.100.2,35845,192.168.100.3,502,,P,T0888,1.0,17.0
,30,1650736676.291403,1650736678.296149,TCP,192.168.100.3,502,192.168.100.2,35845,,L,,0.0,0.0
16,31,1650736679.499615,1650736681.503580,TCP,192.168.100.2,41185,192.168.100.3,502,,P,T0888,1.0,17.0
,32,1650736679.500033,1650736681.503566,TCP,192.168.100.3,502,192.168.100.2,41185,,L,,0.0,0.0
17,33,1650736682.707241,1650736682.716782,TCP,192.168.100.2,39265,192.168.100.3,502,,P,T0888,1.0,17.0
,34,1650736682.708077,1650736682.716746,TCP,192.168.100.3,502,192.168.100.2,39265,,L,,0.0,0.0
