Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1723900189.965331,1723900189.965331,TCP,192.168.1.241,50114,192.168.1.195,49320,,P,T0888,1.0,12.0
2,2,1723900190.474979,1723900190.474979,TCP,192.168.1.241,38690,192.168.1.195,62541,,P,T0888,1.0,12.0
3,3,1723900190.986590,1723900190.986590,TCP,192.168.1.241,55114,192.168.1.195,4897,,P,T0888,1.0,12.0
4,4,1723900191.491977,1723900191.491977,TCP,192.168.1.241,35522,192.168.1.195,53530,,P,T0888,1.0,12.0
5,5,1723900191.996885,1723900191.996885,TCP,192.168.1.241,41068,192.168.1.195,48050,,P,T0888,1.0,12.0
6,6,1723900192.498272,1723900192.515718,TCP,192.168.1.241,40354,192.168.1.195,4840,,P,T0888,1.0,12.0
,7,1723900192.500976,1723900192.515684,TCP,192.168.1.195,4840,192.168.1.241,40354,,L,,0.0,0.0
7,8,1723900192.512199,1723900192.537891,TCP,192.168.1.241,40362,192.168.1.195,4840,,P,T0888,1.0,12.0
,9,1723900192.516326,1723900192.537873,TCP,192.168.1.195,4840,192.168.1.241,40362,,L,,0.0,0.0
8,10,1723900192.533088,1723900192.533088,TCP,192.168.1.241,59610,192.168.1.195,26543,,P,T0888,1.0,12.0
9,11,1723900197.032815,1723900197.050000,TCP,192.168.1.241,51744,192.168.1.195,4840,,P,T0888,1.0,12.0
,12,1723900197.034542,1723900197.049991,TCP,192.168.1.195,4840,192.168.1.241,51744,,L,,0.0,0.0
10,13,1723900197.045974,1723900197.087790,TCP,192.168.1.241,51754,192.168.1.195,4840,,P,T0888,1.0,12.0
,14,1723900197.048954,1723900197.087773,TCP,192.168.1.195,4840,192.168.1.241,51754,,L,,0.0,0.0
11,15,1723900197.079569,1723900197.183555,TCP,192.168.1.241,51762,192.168.1.195,4840,,P,T0888,1.0,12.0
,16,1723900197.082597,1723900197.183527,TCP,192.168.1.195,4840,192.168.1.241,51762,,L,,0.0,0.0
12,17,1723900197.177523,1723900197.371143,TCP,192.168.1.241,51768,192.168.1.195,4840,,P,T0888,1.0,12.0
,18,1723900197.180645,1723900197.371121,TCP,192.168.1.195,4840,192.168.1.241,51768,,L,,0.0,0.0
