Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1781105591.518282,1781105591.518284,UDP,192.168.70.150,41433,192.168.70.2,53,,L,,0.0,0.0
,2,1781105591.542201,1781105591.548683,UDP,192.168.70.2,53,192.168.70.150,41433,,L,,0.0,0.0
2,3,1781105591.549132,1781105591.797888,TCP,192.168.70.150,56452,34.160.144.191,443,,L,,0.0,0.0
,4,1781105591.567068,1781105591.797757,TCP,34.160.144.191,443,192.168.70.150,56452,,L,,0.0,0.0
3,5,1781105591.549132,1781105709.200139,TCP,192.168.70.150,56468,34.160.144.191,443,,L,,0.0,0.0
,6,1781105591.570718,1781105709.200033,TCP,34.160.144.191,443,192.168.70.150,56468,,L,,0.0,0.0
4,7,1781105591.768994,1781105591.768995,UDP,192.168.70.150,60224,192.168.70.2,53,,L,,0.0,0.0
,8,1781105591.794340,1781105591.794569,UDP,192.168.70.2,53,192.168.70.150,60224,,L,,0.0,0.0
5,9,1781105591.787829,1781105680.785208,TCP,192.168.70.150,37236,192.168.70.129,8081,,L,,0.0,0.0
,10,1781105591.787874,1781105680.784948,TCP,192.168.70.129,8081,192.168.70.150,37236,,L,,0.0,0.0
6,11,1781105591.794892,1781105709.195891,TCP,192.168.70.150,43286,151.101.133.91,443,,L,,0.0,0.0
,12,1781105591.812919,1781105709.195788,TCP,151.101.133.91,443,192.168.70.150,43286,,L,,0.0,0.0
7,13,1781105591.878010,1781105591.878012,UDP,192.168.70.150,42822,192.168.70.2,53,,L,,0.0,0.0
,14,1781105591.914396,1781105591.920703,UDP,192.168.70.2,53,192.168.70.150,42822,,L,,0.0,0.0
8,15,1781105591.921231,1781105709.195891,TCP,192.168.70.150,43302,151.101.133.91,443,,L,,0.0,0.0
,16,1781105591.939039,1781105709.195790,TCP,151.101.133.91,443,192.168.70.150,43302,,L,,0.0,0.0
9,17,1781105591.941382,1781105681.793664,TCP,192.168.70.150,37246,192.168.70.129,8081,,L,,0.0,0.0
,18,1781105591.941429,1781105681.793497,TCP,192.168.70.129,8081,192.168.70.150,37246,,L,,0.0,0.0
10,19,1781105591.977791,1781105591.980948,TCP,192.168.70.150,37262,192.168.70.129,8081,,L,,0.0,0.0
,20,1781105591.977839,1781105591.980673,TCP,192.168.70.129,8081,192.168.70.150,37262,,L,,0.0,0.0
11,21,1781105591.982619,1781105591.990654,TCP,192.168.70.150,37276,192.168.70.129,8081,,L,,0.0,0.0
,22,1781105591.982675,1781105591.990461,TCP,192.168.70.129,8081,192.168.70.150,37276,,L,,0.0,0.0
12,23,1781105592.025973,1781105592.028283,TCP,192.168.70.150,37282,192.168.70.129,8081,,L,,0.0,0.0
,24,1781105592.026015,1781105592.028146,TCP,192.168.70.129,8081,192.168.70.150,37282,,L,,0.0,0.0
13,25,1781105592.068813,1781105592.068815,UDP,192.168.70.150,47239,192.168.70.2,53,,L,,0.0,0.0
,26,1781105592.096914,1781105592.096916,UDP,192.168.70.2,53,192.168.70.150,47239,,L,,0.0,0.0
14,27,1781105592.100724,1781105709.195892,TCP,192.168.70.150,39326,34.107.243.93,443,,L,,0.0,0.0
,28,1781105592.160158,1781105709.195790,TCP,34.107.243.93,443,192.168.70.150,39326,,L,,0.0,0.0
15,29,1781105592.151317,1781105592.302455,TCP,192.168.70.150,43306,151.101.133.91,443,,L,,0.0,0.0
,30,1781105592.178932,1781105592.302218,TCP,151.101.133.91,443,192.168.70.150,43306,,L,,0.0,0.0
16,31,1781105592.264541,1781105592.264541,UDP,192.168.70.150,43657,192.168.70.2,53,,L,,0.0,0.0
,32,1781105592.289764,1781105592.289764,UDP,192.168.70.2,53,192.168.70.150,43657,,L,,0.0,0.0
17,33,1781105592.265962,1781105592.265964,UDP,192.168.70.150,45251,192.168.70.2,53,,L,,0.0,0.0
,34,1781105592.289762,1781105592.291994,UDP,192.168.70.2,53,192.168.70.150,45251,,L,,0.0,0.0
18,35,1781105592.266447,1781105592.266447,UDP,192.168.70.150,39699,192.168.70.2,53,,L,,0.0,0.0
,36,1781105592.291447,1781105592.291447,UDP,192.168.70.2,53,192.168.70.150,39699,,L,,0.0,0.0
19,37,1781105592.280496,1781105592.857117,TCP,192.168.70.150,39336,34.107.243.93,443,,L,,0.0,0.0
,38,1781105592.302217,1781105592.814002,TCP,34.107.243.93,443,192.168.70.150,39336,,L,,0.0,0.0
20,39,1781105592.290247,1781105592.290358,UDP,192.168.70.150,52071,192.168.70.2,53,,L,,0.0,0.0
,40,1781105592.309481,1781105592.314706,UDP,192.168.70.2,53,192.168.70.150,52071,,L,,0.0,0.0
21,41,1781105592.291992,1781105592.291992,UDP,192.168.70.150,52176,192.168.70.2,53,,L,,0.0,0.0
,42,1781105592.309295,1781105592.309295,UDP,192.168.70.2,53,192.168.70.150,52176,,L,,0.0,0.0
22,43,1781105592.292182,1781105592.292183,UDP,192.168.70.150,43859,192.168.70.2,53,,L,,0.0,0.0
,44,1781105592.309296,1781105592.314875,UDP,192.168.70.2,53,192.168.70.150,43859,,L,,0.0,0.0
23,45,1781105592.309586,1781105707.611992,TCP,192.168.70.150,58300,34.107.221.82,80,,L,,0.0,0.0
,46,1781105592.332627,1781105707.611991,TCP,34.107.221.82,80,192.168.70.150,58300,,L,,0.0,0.0
24,47,1781105592.313345,1781105592.313345,UDP,192.168.70.150,47692,82.165.173.235,123,,L,,0.0,0.0
,48,1781105592.337118,1781105592.337118,UDP,82.165.173.235,123,192.168.70.150,47692,,L,,0.0,0.0
25,49,1781105593.337647,1781105593.337647,UDP,192.168.70.150,47888,192.168.70.2,53,,L,,0.0,0.0
,50,1781105593.354257,1781105593.354257,UDP,192.168.70.2,53,192.168.70.150,47888,,L,,0.0,0.0
26,51,1781105593.338526,1781105593.338528,UDP,192.168.70.150,47890,192.168.70.2,53,,L,,0.0,0.0
,52,1781105593.361171,1781105593.361572,UDP,192.168.70.2,53,192.168.70.150,47890,,L,,0.0,0.0
27,53,1781105593.341069,1781105593.341069,UDP,192.168.70.150,56329,192.168.70.2,53,,L,,0.0,0.0
,54,1781105593.389739,1781105593.389739,UDP,192.168.70.2,53,192.168.70.150,56329,,L,,0.0,0.0
28,55,1781105593.355901,1781105593.355979,UDP,192.168.70.150,49859,192.168.70.2,53,,L,,0.0,0.0
,56,1781105593.377458,1781105593.378465,UDP,192.168.70.2,53,192.168.70.150,49859,,L,,0.0,0.0
29,57,1781105593.361973,1781105710.199156,TCP,192.168.70.150,43314,151.101.133.91,443,,L,,0.0,0.0
,58,1781105593.376741,1781105710.198976,TCP,151.101.133.91,443,192.168.70.150,43314,,L,,0.0,0.0
30,59,1781105593.361974,1781105593.434753,TCP,192.168.70.150,43328,151.101.133.91,443,,L,,0.0,0.0
,60,1781105593.379028,1781105593.434674,TCP,151.101.133.91,443,192.168.70.150,43328,,L,,0.0,0.0
31,61,1781105593.362050,1781105593.450020,TCP,192.168.70.150,43342,151.101.133.91,443,,L,,0.0,0.0
,62,1781105593.383119,1781105593.449927,TCP,151.101.133.91,443,192.168.70.150,43342,,L,,0.0,0.0
32,63,1781105593.362101,1781105593.450019,TCP,192.168.70.150,43350,151.101.133.91,443,,L,,0.0,0.0
,64,1781105593.382978,1781105593.449927,TCP,151.101.133.91,443,192.168.70.150,43350,,L,,0.0,0.0
33,65,1781105593.390589,1781105593.464624,TCP,192.168.70.150,50860,151.101.1.91,443,,L,,0.0,0.0
,66,1781105593.407718,1781105593.464534,TCP,151.101.1.91,443,192.168.70.150,50860,,L,,0.0,0.0
34,67,1781105593.390589,1781105710.203033,TCP,192.168.70.150,50868,151.101.1.91,443,,L,,0.0,0.0
,68,1781105593.407719,1781105710.202869,TCP,151.101.1.91,443,192.168.70.150,50868,,L,,0.0,0.0
35,69,1781105593.390589,1781105593.474624,TCP,192.168.70.150,50882,151.101.1.91,443,,L,,0.0,0.0
,70,1781105593.411156,1781105593.474458,TCP,151.101.1.91,443,192.168.70.150,50882,,L,,0.0,0.0
36,71,1781105605.477347,1781105605.480023,TCP,192.168.70.150,39178,192.168.70.129,8081,,L,,0.0,0.0
,72,1781105605.477386,1781105605.479851,TCP,192.168.70.129,8081,192.168.70.150,39178,,L,,0.0,0.0
37,73,1781105605.503949,1781105605.506808,TCP,192.168.70.150,39194,192.168.70.129,8081,,L,,0.0,0.0
,74,1781105605.503989,1781105605.506624,TCP,192.168.70.129,8081,192.168.70.150,39194,,L,,0.0,0.0
38,75,1781105605.538327,1781105605.542157,TCP,192.168.70.150,39208,192.168.70.129,8081,,L,,0.0,0.0
,76,1781105605.538365,1781105605.541812,TCP,192.168.70.129,8081,192.168.70.150,39208,,L,,0.0,0.0
39,77,1781105605.538328,1781105605.549239,TCP,192.168.70.150,39220,192.168.70.129,8081,,L,,0.0,0.0
,78,1781105605.538398,1781105605.549012,TCP,192.168.70.129,8081,192.168.70.150,39220,,L,,0.0,0.0
