Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1779904548.215996,1779904548.218288,TCP,127.0.0.1,44764,127.0.0.1,8081,,P,T0891,146.0,1.0
,2,1779904548.216008,1779904548.218274,TCP,127.0.0.1,8081,127.0.0.1,44764,,L,,0.0,0.0
2,3,1779904548.219983,1779904548.221308,TCP,127.0.0.1,44778,127.0.0.1,8081,,P,T0891,146.0,1.0
,4,1779904548.219990,1779904548.221298,TCP,127.0.0.1,8081,127.0.0.1,44778,,L,,0.0,0.0
3,5,1779904549.224399,1779904549.227034,TCP,127.0.0.1,44792,127.0.0.1,8081,,P,T0891,146.0,1.0
,6,1779904549.224413,1779904549.227022,TCP,127.0.0.1,8081,127.0.0.1,44792,,L,,0.0,0.0
4,7,1779904549.228839,1779904549.230306,TCP,127.0.0.1,44804,127.0.0.1,8081,,P,T0891,146.0,1.0
,8,1779904549.228848,1779904549.230296,TCP,127.0.0.1,8081,127.0.0.1,44804,,L,,0.0,0.0
5,9,1779904550.233912,1779904550.237906,TCP,127.0.0.1,44810,127.0.0.1,8081,,P,T0891,146.0,1.0
,10,1779904550.233925,1779904550.237892,TCP,127.0.0.1,8081,127.0.0.1,44810,,L,,0.0,0.0
6,11,1779904550.238550,1779904550.240470,TCP,127.0.0.1,44822,127.0.0.1,8081,,P,T0891,146.0,1.0
,12,1779904550.238560,1779904550.240460,TCP,127.0.0.1,8081,127.0.0.1,44822,,L,,0.0,0.0
7,13,1779904551.244409,1779904551.246364,TCP,127.0.0.1,44830,127.0.0.1,8081,,P,T0891,146.0,1.0
,14,1779904551.244421,1779904551.246351,TCP,127.0.0.1,8081,127.0.0.1,44830,,L,,0.0,0.0
8,15,1779904551.248415,1779904551.250292,TCP,127.0.0.1,44846,127.0.0.1,8081,,P,T0891,146.0,1.0
,16,1779904551.248424,1779904551.250279,TCP,127.0.0.1,8081,127.0.0.1,44846,,L,,0.0,0.0
9,17,1779904552.252310,1779904552.254614,TCP,127.0.0.1,44858,127.0.0.1,8081,,P,T0891,146.0,1.0
,18,1779904552.252330,1779904552.254603,TCP,127.0.0.1,8081,127.0.0.1,44858,,L,,0.0,0.0
10,19,1779904552.256250,1779904552.257491,TCP,127.0.0.1,44874,127.0.0.1,8081,,P,T0891,146.0,1.0
,20,1779904552.256257,1779904552.257481,TCP,127.0.0.1,8081,127.0.0.1,44874,,L,,0.0,0.0
11,21,1779904553.262497,1779904553.266962,TCP,127.0.0.1,44888,127.0.0.1,8081,,P,T0891,146.0,1.0
,22,1779904553.262515,1779904553.266947,TCP,127.0.0.1,8081,127.0.0.1,44888,,L,,0.0,0.0
12,23,1779904553.269098,1779904553.270507,TCP,127.0.0.1,44898,127.0.0.1,8081,,P,T0891,146.0,1.0
,24,1779904553.269107,1779904553.270496,TCP,127.0.0.1,8081,127.0.0.1,44898,,L,,0.0,0.0
13,25,1779904554.274124,1779904582.556235,TCP,127.0.0.1,60384,127.0.0.1,8081,,P,T0891,146.0,1.0
,26,1779904554.274137,1779904582.556223,TCP,127.0.0.1,8081,127.0.0.1,60384,,L,,0.0,0.0
14,27,1779904554.278771,1779904554.280272,TCP,127.0.0.1,60388,127.0.0.1,8081,,P,T0891,146.0,1.0
,28,1779904554.278780,1779904554.280259,TCP,127.0.0.1,8081,127.0.0.1,60388,,L,,0.0,0.0
15,29,1779904555.282692,1779904555.285334,TCP,127.0.0.1,60400,127.0.0.1,8081,,P,T0891,146.0,1.0
,30,1779904555.282705,1779904555.285312,TCP,127.0.0.1,8081,127.0.0.1,60400,,L,,0.0,0.0
16,31,1779904555.287632,1779904555.289839,TCP,127.0.0.1,60414,127.0.0.1,8081,,P,T0891,146.0,1.0
,32,1779904555.287644,1779904555.289826,TCP,127.0.0.1,8081,127.0.0.1,60414,,L,,0.0,0.0
17,33,1779904556.293454,1779904556.295654,TCP,127.0.0.1,60418,127.0.0.1,8081,,P,T0891,146.0,1.0
,34,1779904556.293466,1779904556.295641,TCP,127.0.0.1,8081,127.0.0.1,60418,,L,,0.0,0.0
18,35,1779904556.296938,1779904556.298409,TCP,127.0.0.1,60430,127.0.0.1,8081,,P,T0891,146.0,1.0
,36,1779904556.296945,1779904556.298399,TCP,127.0.0.1,8081,127.0.0.1,60430,,L,,0.0,0.0
19,37,1779904557.301154,1779904615.869976,TCP,127.0.0.1,60438,127.0.0.1,8081,,P,T0891,146.0,1.0
,38,1779904557.301166,1779904615.869963,TCP,127.0.0.1,8081,127.0.0.1,60438,,L,,0.0,0.0
20,39,1779904557.305862,1779904557.308504,TCP,127.0.0.1,60450,127.0.0.1,8081,,P,T0891,146.0,1.0
,40,1779904557.305870,1779904557.308488,TCP,127.0.0.1,8081,127.0.0.1,60450,,L,,0.0,0.0
21,41,1779904558.040521,1779904617.883960,TCP,127.0.0.1,60456,127.0.0.1,8081,,P,T0891,146.0,1.0
,42,1779904558.040532,1779904617.883942,TCP,127.0.0.1,8081,127.0.0.1,60456,,L,,0.0,0.0
22,43,1779904558.311479,1779904617.886810,TCP,127.0.0.1,60460,127.0.0.1,8081,,P,T0891,146.0,1.0
,44,1779904558.311491,1779904617.886798,TCP,127.0.0.1,8081,127.0.0.1,60460,,L,,0.0,0.0
23,45,1779904558.315703,1779904558.317417,TCP,127.0.0.1,60470,127.0.0.1,8081,,P,T0891,146.0,1.0
,46,1779904558.315712,1779904558.317406,TCP,127.0.0.1,8081,127.0.0.1,60470,,L,,0.0,0.0
24,47,1779904559.321640,1779904559.325863,TCP,127.0.0.1,60476,127.0.0.1,8081,,P,T0891,146.0,1.0
,48,1779904559.321655,1779904559.325847,TCP,127.0.0.1,8081,127.0.0.1,60476,,L,,0.0,0.0
25,49,1779904559.327534,1779904559.329265,TCP,127.0.0.1,60488,127.0.0.1,8081,,P,T0891,146.0,1.0
,50,1779904559.327543,1779904559.329252,TCP,127.0.0.1,8081,127.0.0.1,60488,,L,,0.0,0.0
26,51,1779904560.331545,1779904560.333944,TCP,127.0.0.1,60494,127.0.0.1,8081,,P,T0891,146.0,1.0
