Flow Number,Seq,Start TimeStamp,Finish TimeStamp,Protocol,Src IP,Src Port,Dst IP,Dst Port,ICMP ID,Type,ID Sub/Technique,#Attack Messages,#Attack Instances
1,1,1781549100.805004,1781549100.819991,TCP,192.168.70.150,49138,192.168.70.129,8081,,L,,0.0,0.0
,2,1781549100.805460,1781549100.819973,TCP,192.168.70.129,8081,192.168.70.150,49138,,L,,0.0,0.0
2,3,1781549101.441392,1781549121.921411,TCP,192.168.70.129,49306,84.17.62.6,443,,L,,0.0,0.0
,4,1781549101.441399,1781549121.921419,TCP,84.17.62.6,443,192.168.70.129,49306,,L,,0.0,0.0
3,5,1781549101.825760,1781549101.922706,TCP,192.168.70.150,49146,192.168.70.129,8081,,L,,0.0,0.0
,6,1781549101.826231,1781549101.922678,TCP,192.168.70.129,8081,192.168.70.150,49146,,L,,0.0,0.0
4,7,1781549102.929474,1781549103.027588,TCP,192.168.70.150,49158,192.168.70.129,8081,,L,,0.0,0.0
,8,1781549102.930013,1781549103.027569,TCP,192.168.70.129,8081,192.168.70.150,49158,,L,,0.0,0.0
5,9,1781549104.033231,1781549104.132876,TCP,192.168.70.150,49170,192.168.70.129,8081,,L,,0.0,0.0
,10,1781549104.033625,1781549104.132857,TCP,192.168.70.129,8081,192.168.70.150,49170,,L,,0.0,0.0
6,11,1781549105.138295,1781549105.234518,TCP,192.168.70.150,49186,192.168.70.129,8081,,L,,0.0,0.0
,12,1781549105.138815,1781549105.234499,TCP,192.168.70.129,8081,192.168.70.150,49186,,L,,0.0,0.0
7,13,1781549106.276200,1781549106.339195,TCP,192.168.70.150,49190,192.168.70.129,8081,,L,,0.0,0.0
,14,1781549106.276587,1781549106.339161,TCP,192.168.70.129,8081,192.168.70.150,49190,,L,,0.0,0.0
8,15,1781549107.344554,1781549107.443740,TCP,192.168.70.150,49194,192.168.70.129,8081,,L,,0.0,0.0
,16,1781549107.344923,1781549107.443721,TCP,192.168.70.129,8081,192.168.70.150,49194,,L,,0.0,0.0
9,17,1781549107.882344,1781549123.882573,UDP,192.168.70.129,46421,209.250.254.15,21116,,L,,0.0,0.0
,18,1781549108.031482,1781549124.008242,UDP,209.250.254.15,21116,192.168.70.129,46421,,L,,0.0,0.0
10,19,1781549108.449203,1781549108.555647,TCP,192.168.70.150,52398,192.168.70.129,8081,,L,,0.0,0.0
,20,1781549108.449534,1781549108.555629,TCP,192.168.70.129,8081,192.168.70.150,52398,,L,,0.0,0.0
11,21,1781549109.560657,1781549109.657535,TCP,192.168.70.150,52408,192.168.70.129,8081,,L,,0.0,0.0
,22,1781549109.561098,1781549109.657516,TCP,192.168.70.129,8081,192.168.70.150,52408,,L,,0.0,0.0
12,23,1781549110.663239,1781549110.759363,TCP,192.168.70.150,52410,192.168.70.129,8081,,L,,0.0,0.0
,24,1781549110.663614,1781549110.759343,TCP,192.168.70.129,8081,192.168.70.150,52410,,L,,0.0,0.0
13,25,1781549111.765572,1781549111.863690,TCP,192.168.70.150,52422,192.168.70.129,8081,,L,,0.0,0.0
,26,1781549111.766903,1781549111.863671,TCP,192.168.70.129,8081,192.168.70.150,52422,,L,,0.0,0.0
14,27,1781549112.869400,1781549112.967865,TCP,192.168.70.150,52430,192.168.70.129,8081,,L,,0.0,0.0
