frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.150,192.168.70.129,49416,,8081,,6,1
2,192.168.70.129,192.168.70.150,8081,,49416,,6,1
3,192.168.70.150,192.168.70.129,49416,,8081,,6,1
4,192.168.70.150,192.168.70.129,49416,,8081,,6,1
5,192.168.70.129,192.168.70.150,8081,,49416,,6,1
6,192.168.70.129,192.168.70.150,8081,,49416,,6,1
7,192.168.70.150,192.168.70.129,49416,,8081,,6,1
8,192.168.70.129,192.168.70.150,8081,,49416,,6,1
9,192.168.70.150,192.168.70.129,49416,,8081,,6,1
10,192.168.70.150,192.168.70.129,49416,,8081,,6,1
11,192.168.70.129,192.168.70.150,8081,,49416,,6,1
12,192.168.70.150,192.168.70.129,49416,,8081,,6,1
13,192.168.70.150,192.168.70.129,49418,,8081,,6,2
14,192.168.70.129,192.168.70.150,8081,,49418,,6,2
15,192.168.70.150,192.168.70.129,49418,,8081,,6,2
16,192.168.70.150,192.168.70.129,49418,,8081,,6,2
17,192.168.70.129,192.168.70.150,8081,,49418,,6,2
18,192.168.70.129,192.168.70.150,8081,,49418,,6,2
19,192.168.70.150,192.168.70.129,49418,,8081,,6,2
20,192.168.70.129,192.168.70.150,8081,,49418,,6,2
21,192.168.70.150,192.168.70.129,49418,,8081,,6,2
22,192.168.70.150,192.168.70.129,49418,,8081,,6,2
23,192.168.70.129,192.168.70.150,8081,,49418,,6,2
24,192.168.70.150,192.168.70.129,49418,,8081,,6,2
25,192.168.70.150,192.168.70.129,35912,,502,,6,3
26,192.168.70.129,192.168.70.150,502,,35912,,6,3
27,192.168.70.150,192.168.70.129,35912,,502,,6,3
28,192.168.70.150,192.168.70.129,35912,,502,,6,3
29,192.168.70.129,192.168.70.150,502,,35912,,6,3
30,192.168.70.129,192.168.70.150,502,,35912,,6,3
31,192.168.70.150,192.168.70.129,35912,,502,,6,3
32,192.168.70.150,192.168.70.129,33816,,8081,,6,4
