frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.150,192.168.70.129,57802,,8081,,6,1
2,192.168.70.129,192.168.70.150,8081,,57802,,6,1
3,192.168.70.150,192.168.70.129,57802,,8081,,6,1
4,192.168.70.150,192.168.70.129,57802,,8081,,6,1
5,192.168.70.129,192.168.70.150,8081,,57802,,6,1
6,192.168.70.129,192.168.70.150,8081,,57802,,6,1
7,192.168.70.150,192.168.70.129,57802,,8081,,6,1
8,192.168.70.129,192.168.70.150,8081,,57802,,6,1
9,192.168.70.150,192.168.70.129,57802,,8081,,6,1
10,192.168.70.129,192.168.70.150,8081,,57802,,6,1
11,192.168.70.150,192.168.70.129,57802,,8081,,6,1
12,192.168.70.150,192.168.70.129,57802,,8081,,6,1
13,192.168.70.129,192.168.70.150,8081,,57802,,6,1
14,192.168.70.150,192.168.70.129,57802,,8081,,6,1
15,192.168.70.150,192.168.70.129,57808,,8081,,6,2
16,192.168.70.129,192.168.70.150,8081,,57808,,6,2
17,192.168.70.150,192.168.70.129,57808,,8081,,6,2
18,192.168.70.150,192.168.70.129,57808,,8081,,6,2
19,192.168.70.129,192.168.70.150,8081,,57808,,6,2
20,192.168.70.129,192.168.70.150,8081,,57808,,6,2
21,192.168.70.150,192.168.70.129,57808,,8081,,6,2
22,192.168.70.129,192.168.70.150,8081,,57808,,6,2
23,192.168.70.150,192.168.70.129,57808,,8081,,6,2
24,192.168.70.129,192.168.70.150,8081,,57808,,6,2
25,192.168.70.150,192.168.70.129,57808,,8081,,6,2
26,192.168.70.150,192.168.70.129,57808,,8081,,6,2
27,192.168.70.129,192.168.70.150,8081,,57808,,6,2
28,192.168.70.150,192.168.70.129,57808,,8081,,6,2
29,192.168.70.150,192.168.70.129,57812,,8081,,6,3
30,192.168.70.129,192.168.70.150,8081,,57812,,6,3
31,192.168.70.150,192.168.70.129,57812,,8081,,6,3
32,192.168.70.150,192.168.70.129,57812,,8081,,6,3
33,192.168.70.129,192.168.70.150,8081,,57812,,6,3
34,192.168.70.129,192.168.70.150,8081,,57812,,6,3
35,192.168.70.129,192.168.70.150,8081,,57812,,6,3
36,192.168.70.150,192.168.70.129,57812,,8081,,6,3
37,192.168.70.150,192.168.70.129,57812,,8081,,6,3
38,192.168.70.129,192.168.70.150,8081,,57812,,6,3
39,192.168.70.150,192.168.70.129,57812,,8081,,6,3
40,192.168.70.150,192.168.70.129,57812,,8081,,6,3
41,192.168.70.129,192.168.70.150,8081,,57812,,6,3
42,192.168.70.150,192.168.70.129,57812,,8081,,6,3
43,192.168.70.150,192.168.70.129,57822,,8081,,6,4
44,192.168.70.129,192.168.70.150,8081,,57822,,6,4
45,192.168.70.150,192.168.70.129,57822,,8081,,6,4
46,192.168.70.150,192.168.70.129,57822,,8081,,6,4
47,192.168.70.129,192.168.70.150,8081,,57822,,6,4
48,192.168.70.129,192.168.70.150,8081,,57822,,6,4
49,192.168.70.129,192.168.70.150,8081,,57822,,6,4
50,192.168.70.150,192.168.70.129,57822,,8081,,6,4
51,192.168.70.150,192.168.70.129,57822,,8081,,6,4
52,192.168.70.129,192.168.70.150,8081,,57822,,6,4
53,192.168.70.150,192.168.70.129,57822,,8081,,6,4
54,192.168.70.150,192.168.70.129,57822,,8081,,6,4
55,192.168.70.129,192.168.70.150,8081,,57822,,6,4
56,192.168.70.150,192.168.70.129,57822,,8081,,6,4
57,192.168.70.150,192.168.70.129,57828,,8081,,6,5
58,192.168.70.129,192.168.70.150,8081,,57828,,6,5
59,192.168.70.150,192.168.70.129,57828,,8081,,6,5
60,192.168.70.150,192.168.70.129,57828,,8081,,6,5
61,192.168.70.129,192.168.70.150,8081,,57828,,6,5
62,192.168.70.129,192.168.70.150,8081,,57828,,6,5
63,192.168.70.129,192.168.70.150,8081,,57828,,6,5
64,192.168.70.150,192.168.70.129,57828,,8081,,6,5
65,192.168.70.150,192.168.70.129,57828,,8081,,6,5
66,192.168.70.129,192.168.70.150,8081,,57828,,6,5
67,192.168.70.150,192.168.70.129,57828,,8081,,6,5
68,192.168.70.150,192.168.70.129,57828,,8081,,6,5
69,192.168.70.129,192.168.70.150,8081,,57828,,6,5
70,192.168.70.150,192.168.70.129,57828,,8081,,6,5
71,192.168.70.150,192.168.70.129,57844,,8081,,6,6
72,192.168.70.129,192.168.70.150,8081,,57844,,6,6
73,192.168.70.150,192.168.70.129,57844,,8081,,6,6
74,192.168.70.150,192.168.70.129,57844,,8081,,6,6
75,192.168.70.129,192.168.70.150,8081,,57844,,6,6
76,192.168.70.129,84.17.62.6,49306,,443,,6,7
77,84.17.62.6,192.168.70.129,443,,49306,,6,7
78,192.168.70.129,192.168.70.150,8081,,57844,,6,6
79,192.168.70.150,192.168.70.129,57844,,8081,,6,6
80,192.168.70.129,192.168.70.150,8081,,57844,,6,6
81,192.168.70.150,192.168.70.129,57844,,8081,,6,6
82,192.168.70.129,192.168.70.150,8081,,57844,,6,6
83,192.168.70.150,192.168.70.129,57844,,8081,,6,6
84,192.168.70.150,192.168.70.129,57844,,8081,,6,6
85,192.168.70.129,192.168.70.150,8081,,57844,,6,6
86,192.168.70.150,192.168.70.129,57844,,8081,,6,6
87,192.168.70.150,192.168.70.129,57856,,8081,,6,8
88,192.168.70.129,192.168.70.150,8081,,57856,,6,8
89,192.168.70.150,192.168.70.129,57856,,8081,,6,8
90,192.168.70.150,192.168.70.129,57856,,8081,,6,8
91,192.168.70.129,192.168.70.150,8081,,57856,,6,8
92,192.168.70.129,192.168.70.150,8081,,57856,,6,8
93,192.168.70.129,192.168.70.150,8081,,57856,,6,8
94,192.168.70.150,192.168.70.129,57856,,8081,,6,8
95,192.168.70.150,192.168.70.129,57856,,8081,,6,8
96,192.168.70.129,192.168.70.150,8081,,57856,,6,8
97,192.168.70.150,192.168.70.129,57856,,8081,,6,8
98,192.168.70.150,192.168.70.129,57856,,8081,,6,8
99,192.168.70.129,192.168.70.150,8081,,57856,,6,8
100,192.168.70.150,192.168.70.129,57856,,8081,,6,8
101,192.168.70.150,192.168.70.129,57868,,8081,,6,9
102,192.168.70.129,192.168.70.150,8081,,57868,,6,9
103,192.168.70.150,192.168.70.129,57868,,8081,,6,9
104,192.168.70.150,192.168.70.129,57868,,8081,,6,9
105,192.168.70.129,192.168.70.150,8081,,57868,,6,9
106,192.168.70.129,192.168.70.150,8081,,57868,,6,9
107,192.168.70.129,192.168.70.150,8081,,57868,,6,9
108,192.168.70.150,192.168.70.129,57868,,8081,,6,9
109,192.168.70.150,192.168.70.129,57868,,8081,,6,9
110,192.168.70.129,192.168.70.150,8081,,57868,,6,9
111,192.168.70.150,192.168.70.129,57868,,8081,,6,9
112,192.168.70.150,192.168.70.129,57868,,8081,,6,9
113,192.168.70.129,192.168.70.150,8081,,57868,,6,9
114,192.168.70.150,192.168.70.129,57868,,8081,,6,9
115,192.168.70.150,192.168.70.129,44068,,8081,,6,10
116,192.168.70.129,192.168.70.150,8081,,44068,,6,10
117,192.168.70.150,192.168.70.129,44068,,8081,,6,10
118,192.168.70.150,192.168.70.129,44068,,8081,,6,10
119,192.168.70.129,192.168.70.150,8081,,44068,,6,10
120,192.168.70.129,192.168.70.150,8081,,44068,,6,10
121,192.168.70.150,192.168.70.129,44068,,8081,,6,10
122,192.168.70.129,192.168.70.150,8081,,44068,,6,10
123,192.168.70.150,192.168.70.129,44068,,8081,,6,10
124,192.168.70.150,192.168.70.129,44068,,8081,,6,10
125,192.168.70.129,192.168.70.150,8081,,44068,,6,10
126,192.168.70.150,192.168.70.129,44068,,8081,,6,10
127,192.168.70.150,192.168.70.129,44070,,8081,,6,11
128,192.168.70.129,192.168.70.150,8081,,44070,,6,11
129,192.168.70.150,192.168.70.129,44070,,8081,,6,11
130,192.168.70.150,192.168.70.129,44070,,8081,,6,11
131,192.168.70.129,192.168.70.150,8081,,44070,,6,11
132,192.168.70.129,192.168.70.150,8081,,44070,,6,11
133,192.168.70.129,192.168.70.150,8081,,44070,,6,11
134,192.168.70.150,192.168.70.129,44070,,8081,,6,11
135,192.168.70.150,192.168.70.129,44070,,8081,,6,11
136,192.168.70.129,192.168.70.150,8081,,44070,,6,11
137,192.168.70.150,192.168.70.129,44070,,8081,,6,11
138,192.168.70.150,192.168.70.129,44070,,8081,,6,11
139,192.168.70.129,192.168.70.150,8081,,44070,,6,11
140,192.168.70.150,192.168.70.129,44070,,8081,,6,11
141,192.168.70.150,192.168.70.129,44084,,8081,,6,12
142,192.168.70.129,192.168.70.150,8081,,44084,,6,12
143,192.168.70.150,192.168.70.129,44084,,8081,,6,12
144,192.168.70.150,192.168.70.129,44084,,8081,,6,12
145,192.168.70.129,192.168.70.150,8081,,44084,,6,12
