frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.150,192.168.70.129,46950,,502,,6,1
2,192.168.70.129,192.168.70.150,502,,46950,,6,1
3,192.168.70.150,192.168.70.129,46950,,502,,6,1
4,,,,,,,,N/A
5,192.168.70.150,192.168.70.129,32890,,8081,,6,2
6,192.168.70.129,192.168.70.150,8081,,32890,,6,2
7,192.168.70.150,192.168.70.129,32890,,8081,,6,2
8,192.168.70.150,192.168.70.129,32890,,8081,,6,2
9,192.168.70.129,192.168.70.150,8081,,32890,,6,2
10,192.168.70.129,192.168.70.150,8081,,32890,,6,2
11,192.168.70.129,192.168.70.150,8081,,32890,,6,2
12,192.168.70.150,192.168.70.129,32890,,8081,,6,2
13,192.168.70.150,192.168.70.129,32890,,8081,,6,2
14,192.168.70.129,192.168.70.150,8081,,32890,,6,2
15,192.168.70.150,192.168.70.129,32890,,8081,,6,2
16,192.168.70.150,192.168.70.129,32890,,8081,,6,2
17,192.168.70.129,192.168.70.150,8081,,32890,,6,2
18,192.168.70.150,192.168.70.129,32890,,8081,,6,2
19,192.168.70.150,192.168.70.129,46950,,502,,6,1
20,192.168.70.129,192.168.70.150,502,,46950,,6,1
21,192.168.70.150,192.168.70.129,46950,,502,,6,1
22,192.168.70.150,192.168.70.129,32902,,8081,,6,3
23,192.168.70.129,192.168.70.150,8081,,32902,,6,3
24,192.168.70.150,192.168.70.129,32902,,8081,,6,3
25,192.168.70.150,192.168.70.129,32902,,8081,,6,3
26,192.168.70.129,192.168.70.150,8081,,32902,,6,3
27,192.168.70.129,192.168.70.150,8081,,32902,,6,3
28,192.168.70.129,192.168.70.150,8081,,32902,,6,3
29,192.168.70.150,192.168.70.129,32902,,8081,,6,3
30,192.168.70.150,192.168.70.129,32902,,8081,,6,3
31,192.168.70.129,192.168.70.150,8081,,32902,,6,3
32,192.168.70.150,192.168.70.129,32902,,8081,,6,3
33,192.168.70.150,192.168.70.129,32902,,8081,,6,3
34,192.168.70.129,192.168.70.150,8081,,32902,,6,3
35,192.168.70.150,192.168.70.129,32902,,8081,,6,3
36,192.168.70.150,192.168.70.129,46950,,502,,6,1
37,192.168.70.129,192.168.70.150,502,,46950,,6,1
