frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.150,192.168.70.129,51000,,502,,6,1
2,192.168.70.129,192.168.70.150,502,,51000,,6,1
3,192.168.70.150,192.168.70.129,51000,,502,,6,1
4,192.168.70.150,192.168.70.129,51000,,502,,6,1
5,192.168.70.129,192.168.70.150,502,,51000,,6,1
6,192.168.70.150,192.168.70.129,51000,,502,,6,1
7,192.168.70.129,192.168.70.150,502,,51000,,6,1
8,192.168.70.150,192.168.70.129,51000,,502,,6,1
9,192.168.70.129,192.168.70.150,502,,51000,,6,1
10,192.168.70.150,192.168.70.129,51000,,502,,6,1
11,192.168.70.129,192.168.70.150,502,,51000,,6,1
12,192.168.70.150,192.168.70.129,51000,,502,,6,1
13,192.168.70.129,192.168.70.150,502,,51000,,6,1
14,192.168.70.150,192.168.70.129,51000,,502,,6,1
15,192.168.70.129,192.168.70.150,502,,51000,,6,1
16,192.168.70.150,192.168.70.129,51000,,502,,6,1
17,192.168.70.129,192.168.70.150,502,,51000,,6,1
18,192.168.70.150,192.168.70.129,51000,,502,,6,1
19,192.168.70.129,192.168.70.150,502,,51000,,6,1
20,192.168.70.150,192.168.70.129,51000,,502,,6,1
21,192.168.70.129,192.168.70.150,502,,51000,,6,1
22,192.168.70.150,192.168.70.129,51000,,502,,6,1
