frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,10.7.10.103,0.0.0.0,49158,,80,,6,1
2,10.7.10.103,0.0.0.0,49158,,80,,6,1
3,0.0.0.0,10.7.10.103,80,,49158,,6,1
4,0.0.0.0,10.7.10.103,80,,49158,,6,1
5,10.7.10.103,0.0.0.0,49158,,80,,6,1
6,10.7.10.103,80.77.82.41,49187,,80,,6,2
7,80.77.82.41,10.7.10.103,80,,49187,,6,2
8,10.7.10.103,80.77.82.41,49187,,80,,6,2
9,10.7.10.103,80.77.82.41,49187,,80,,6,2
10,80.77.82.41,10.7.10.103,80,,49187,,6,2
11,80.77.82.41,10.7.10.103,80,,49187,,6,2
12,80.77.82.41,10.7.10.103,80,,49187,,6,2
13,10.7.10.103,80.77.82.41,49187,,80,,6,2
14,80.77.82.41,10.7.10.103,80,,49187,,6,2
15,80.77.82.41,10.7.10.103,80,,49187,,6,2
16,10.7.10.103,80.77.82.41,49187,,80,,6,2
17,10.7.10.103,188.225.36.208,49193,,80,,6,3
18,188.225.36.208,10.7.10.103,80,,49193,,6,3
19,10.7.10.103,188.225.36.208,49193,,80,,6,3
20,10.7.10.103,188.225.36.208,49193,,80,,6,3
21,188.225.36.208,10.7.10.103,80,,49193,,6,3
22,188.225.36.208,10.7.10.103,80,,49193,,6,3
23,188.225.36.208,10.7.10.103,80,,49193,,6,3
24,188.225.36.208,10.7.10.103,80,,49193,,6,3
25,188.225.36.208,10.7.10.103,80,,49193,,6,3
26,188.225.36.208,10.7.10.103,80,,49193,,6,3
27,10.7.10.103,188.225.36.208,49193,,80,,6,3
28,10.7.10.103,188.225.36.208,49193,,80,,6,3
29,188.225.36.208,10.7.10.103,80,,49193,,6,3
30,188.225.36.208,10.7.10.103,80,,49193,,6,3
31,188.225.36.208,10.7.10.103,80,,49193,,6,3
32,188.225.36.208,10.7.10.103,80,,49193,,6,3
33,10.7.10.103,188.225.36.208,49193,,80,,6,3
34,188.225.36.208,10.7.10.103,80,,49193,,6,3
35,10.7.10.103,188.225.36.208,49193,,80,,6,3
36,10.7.10.103,188.225.36.208,49193,,80,,6,3
37,188.225.36.208,10.7.10.103,80,,49193,,6,3
38,188.225.36.208,10.7.10.103,80,,49193,,6,3
39,10.7.10.103,188.225.36.208,49193,,80,,6,3
40,188.225.36.208,10.7.10.103,80,,49193,,6,3
41,188.225.36.208,10.7.10.103,80,,49193,,6,3
42,188.225.36.208,10.7.10.103,80,,49193,,6,3
43,188.225.36.208,10.7.10.103,80,,49193,,6,3
44,188.225.36.208,10.7.10.103,80,,49193,,6,3
45,10.7.10.103,188.225.36.208,49193,,80,,6,3
46,188.225.36.208,10.7.10.103,80,,49193,,6,3
47,188.225.36.208,10.7.10.103,80,,49193,,6,3
48,188.225.36.208,10.7.10.103,80,,49193,,6,3
49,188.225.36.208,10.7.10.103,80,,49193,,6,3
50,188.225.36.208,10.7.10.103,80,,49193,,6,3
51,10.7.10.103,188.225.36.208,49193,,80,,6,3
52,188.225.36.208,10.7.10.103,80,,49193,,6,3
53,188.225.36.208,10.7.10.103,80,,49193,,6,3
54,188.225.36.208,10.7.10.103,80,,49193,,6,3
55,10.7.10.103,188.225.36.208,49193,,80,,6,3
56,188.225.36.208,10.7.10.103,80,,49193,,6,3
57,188.225.36.208,10.7.10.103,80,,49193,,6,3
58,188.225.36.208,10.7.10.103,80,,49193,,6,3
59,10.7.10.103,188.225.36.208,49193,,80,,6,3
60,188.225.36.208,10.7.10.103,80,,49193,,6,3
61,188.225.36.208,10.7.10.103,80,,49193,,6,3
62,10.7.10.103,188.225.36.208,49193,,80,,6,3
63,10.7.10.103,188.225.36.208,49193,,80,,6,3
64,188.225.36.208,10.7.10.103,80,,49193,,6,3
65,188.225.36.208,10.7.10.103,80,,49193,,6,3
66,188.225.36.208,10.7.10.103,80,,49193,,6,3
67,10.7.10.103,188.225.36.208,49193,,80,,6,3
68,188.225.36.208,10.7.10.103,80,,49193,,6,3
69,188.225.36.208,10.7.10.103,80,,49193,,6,3
70,10.7.10.103,188.225.36.208,49193,,80,,6,3
71,188.225.36.208,10.7.10.103,80,,49193,,6,3
72,188.225.36.208,10.7.10.103,80,,49193,,6,3
73,10.7.10.103,188.225.36.208,49193,,80,,6,3
74,188.225.36.208,10.7.10.103,80,,49193,,6,3
75,188.225.36.208,10.7.10.103,80,,49193,,6,3
76,188.225.36.208,10.7.10.103,80,,49193,,6,3
77,10.7.10.103,188.225.36.208,49193,,80,,6,3
78,188.225.36.208,10.7.10.103,80,,49193,,6,3
79,188.225.36.208,10.7.10.103,80,,49193,,6,3
80,188.225.36.208,10.7.10.103,80,,49193,,6,3
81,188.225.36.208,10.7.10.103,80,,49193,,6,3
82,10.7.10.103,188.225.36.208,49193,,80,,6,3
83,188.225.36.208,10.7.10.103,80,,49193,,6,3
84,188.225.36.208,10.7.10.103,80,,49193,,6,3
85,188.225.36.208,10.7.10.103,80,,49193,,6,3
86,188.225.36.208,10.7.10.103,80,,49193,,6,3
87,188.225.36.208,10.7.10.103,80,,49193,,6,3
88,188.225.36.208,10.7.10.103,80,,49193,,6,3
89,10.7.10.103,188.225.36.208,49193,,80,,6,3
90,188.225.36.208,10.7.10.103,80,,49193,,6,3
91,188.225.36.208,10.7.10.103,80,,49193,,6,3
92,10.7.10.103,188.225.36.208,49193,,80,,6,3
93,10.7.10.103,188.225.36.208,49195,,80,,6,4
94,188.225.36.208,10.7.10.103,80,,49195,,6,4
95,10.7.10.103,188.225.36.208,49195,,80,,6,4
96,10.7.10.103,188.225.36.208,49195,,80,,6,4
97,188.225.36.208,10.7.10.103,80,,49195,,6,4
98,188.225.36.208,10.7.10.103,80,,49195,,6,4
99,188.225.36.208,10.7.10.103,80,,49195,,6,4
100,188.225.36.208,10.7.10.103,80,,49195,,6,4
101,188.225.36.208,10.7.10.103,80,,49195,,6,4
102,188.225.36.208,10.7.10.103,80,,49195,,6,4
103,188.225.36.208,10.7.10.103,80,,49195,,6,4
104,188.225.36.208,10.7.10.103,80,,49195,,6,4
105,10.7.10.103,188.225.36.208,49195,,80,,6,4
106,188.225.36.208,10.7.10.103,80,,49195,,6,4
107,188.225.36.208,10.7.10.103,80,,49195,,6,4
108,10.7.10.103,188.225.36.208,49195,,80,,6,4
109,188.225.36.208,10.7.10.103,80,,49195,,6,4
110,188.225.36.208,10.7.10.103,80,,49195,,6,4
111,188.225.36.208,10.7.10.103,80,,49195,,6,4
112,10.7.10.103,188.225.36.208,49195,,80,,6,4
113,188.225.36.208,10.7.10.103,80,,49195,,6,4
114,188.225.36.208,10.7.10.103,80,,49195,,6,4
115,188.225.36.208,10.7.10.103,80,,49195,,6,4
116,188.225.36.208,10.7.10.103,80,,49195,,6,4
117,188.225.36.208,10.7.10.103,80,,49195,,6,4
118,10.7.10.103,188.225.36.208,49195,,80,,6,4
119,188.225.36.208,10.7.10.103,80,,49195,,6,4
120,188.225.36.208,10.7.10.103,80,,49195,,6,4
121,10.7.10.103,188.225.36.208,49195,,80,,6,4
122,188.225.36.208,10.7.10.103,80,,49195,,6,4
123,188.225.36.208,10.7.10.103,80,,49195,,6,4
124,10.7.10.103,188.225.36.208,49195,,80,,6,4
125,188.225.36.208,10.7.10.103,80,,49195,,6,4
126,188.225.36.208,10.7.10.103,80,,49195,,6,4
127,188.225.36.208,10.7.10.103,80,,49195,,6,4
128,10.7.10.103,188.225.36.208,49195,,80,,6,4
129,188.225.36.208,10.7.10.103,80,,49195,,6,4
130,188.225.36.208,10.7.10.103,80,,49195,,6,4
131,188.225.36.208,10.7.10.103,80,,49195,,6,4
132,10.7.10.103,188.225.36.208,49195,,80,,6,4
133,188.225.36.208,10.7.10.103,80,,49195,,6,4
134,188.225.36.208,10.7.10.103,80,,49195,,6,4
135,188.225.36.208,10.7.10.103,80,,49195,,6,4
136,10.7.10.103,188.225.36.208,49195,,80,,6,4
137,188.225.36.208,10.7.10.103,80,,49195,,6,4
138,188.225.36.208,10.7.10.103,80,,49195,,6,4
139,10.7.10.103,188.225.36.208,49195,,80,,6,4
140,188.225.36.208,10.7.10.103,80,,49195,,6,4
141,188.225.36.208,10.7.10.103,80,,49195,,6,4
142,10.7.10.103,188.225.36.208,49195,,80,,6,4
143,188.225.36.208,10.7.10.103,80,,49195,,6,4
144,188.225.36.208,10.7.10.103,80,,49195,,6,4
145,188.225.36.208,10.7.10.103,80,,49195,,6,4
146,10.7.10.103,188.225.36.208,49195,,80,,6,4
147,188.225.36.208,10.7.10.103,80,,49195,,6,4
148,188.225.36.208,10.7.10.103,80,,49195,,6,4
149,188.225.36.208,10.7.10.103,80,,49195,,6,4
150,10.7.10.103,188.225.36.208,49195,,80,,6,4
151,188.225.36.208,10.7.10.103,80,,49195,,6,4
152,188.225.36.208,10.7.10.103,80,,49195,,6,4
153,188.225.36.208,10.7.10.103,80,,49195,,6,4
154,10.7.10.103,188.225.36.208,49195,,80,,6,4
155,188.225.36.208,10.7.10.103,80,,49195,,6,4
