frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.150,192.168.70.200,50000,,502,,6,1
2,192.168.70.200,192.168.70.150,502,,50000,,6,1
3,192.168.70.150,192.168.70.200,50000,,502,,6,1
4,192.168.70.150,192.168.70.200,50000,,502,,6,1
5,192.168.70.200,192.168.70.129,50001,,502,,6,2
6,192.168.70.129,192.168.70.200,502,,50001,,6,2
7,192.168.70.200,192.168.70.129,50001,,502,,6,2
8,192.168.70.200,192.168.70.129,50001,,502,,6,2
9,192.168.70.129,192.168.70.200,502,,50001,,6,2
10,192.168.70.200,192.168.70.150,502,,50000,,6,1
11,192.168.70.150,192.168.70.200,50000,,502,,6,1
12,192.168.70.200,192.168.70.150,502,,50000,,6,1
13,192.168.70.150,192.168.70.200,50000,,502,,6,1
14,192.168.70.200,192.168.70.129,50001,,502,,6,2
15,192.168.70.129,192.168.70.200,502,,50001,,6,2
16,192.168.70.200,192.168.70.129,50001,,502,,6,2
