frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,127.0.0.1,127.0.0.1,38598,,8081,,6,1
2,127.0.0.1,127.0.0.1,8081,,38598,,6,1
3,127.0.0.1,127.0.0.1,38598,,8081,,6,1
4,127.0.0.1,127.0.0.1,38598,,8081,,6,1
5,127.0.0.1,127.0.0.1,8081,,38598,,6,1
6,127.0.0.1,127.0.0.1,8081,,38598,,6,1
7,127.0.0.1,127.0.0.1,38598,,8081,,6,1
8,127.0.0.1,127.0.0.1,8081,,38598,,6,1
9,127.0.0.1,127.0.0.1,38598,,8081,,6,1
10,127.0.0.1,127.0.0.1,38598,,8081,,6,1
11,127.0.0.1,127.0.0.1,8081,,38598,,6,1
12,127.0.0.1,127.0.0.1,38598,,8081,,6,1
13,127.0.0.1,127.0.0.1,38602,,8081,,6,2
14,127.0.0.1,127.0.0.1,8081,,38602,,6,2
15,127.0.0.1,127.0.0.1,38602,,8081,,6,2
16,127.0.0.1,127.0.0.1,38602,,8081,,6,2
17,127.0.0.1,127.0.0.1,8081,,38602,,6,2
18,127.0.0.1,127.0.0.1,8081,,38602,,6,2
19,127.0.0.1,127.0.0.1,38602,,8081,,6,2
20,127.0.0.1,127.0.0.1,8081,,38602,,6,2
21,127.0.0.1,127.0.0.1,38602,,8081,,6,2
22,127.0.0.1,127.0.0.1,38602,,8081,,6,2
23,127.0.0.1,127.0.0.1,8081,,38602,,6,2
24,127.0.0.1,127.0.0.1,38602,,8081,,6,2
25,127.0.0.1,127.0.0.1,38618,,8081,,6,3
26,127.0.0.1,127.0.0.1,8081,,38618,,6,3
27,127.0.0.1,127.0.0.1,38618,,8081,,6,3
28,127.0.0.1,127.0.0.1,38618,,8081,,6,3
29,127.0.0.1,127.0.0.1,8081,,38618,,6,3
30,127.0.0.1,127.0.0.1,8081,,38618,,6,3
31,127.0.0.1,127.0.0.1,38618,,8081,,6,3
32,127.0.0.1,127.0.0.1,8081,,38618,,6,3
33,127.0.0.1,127.0.0.1,38618,,8081,,6,3
34,127.0.0.1,127.0.0.1,38618,,8081,,6,3
