frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,185.175.0.3,185.175.0.5,58960,,502,,6,1
2,185.175.0.7,185.175.0.4,55036,,502,,6,2
3,185.175.0.4,185.175.0.7,502,,55036,,6,2
4,185.175.0.7,185.175.0.4,55036,,502,,6,2
5,185.175.0.4,185.175.0.7,502,,55036,,6,2
6,185.175.0.7,185.175.0.4,55036,,502,,6,2
7,185.175.0.4,185.175.0.7,502,,55036,,6,2
8,185.175.0.7,185.175.0.4,55038,,502,,6,3
9,185.175.0.4,185.175.0.7,502,,55038,,6,3
10,185.175.0.7,185.175.0.4,55038,,502,,6,3
11,185.175.0.7,185.175.0.4,55038,,502,,6,3
12,185.175.0.4,185.175.0.7,502,,55038,,6,3
13,185.175.0.7,185.175.0.4,55038,,502,,6,3
14,185.175.0.4,185.175.0.7,502,,55038,,6,3
15,185.175.0.7,185.175.0.4,55038,,502,,6,3
16,185.175.0.7,185.175.0.4,55040,,502,,6,4
17,185.175.0.4,185.175.0.7,502,,55040,,6,4
18,185.175.0.7,185.175.0.4,55040,,502,,6,4
19,185.175.0.7,185.175.0.4,55040,,502,,6,4
20,185.175.0.4,185.175.0.7,502,,55040,,6,4
21,185.175.0.7,185.175.0.4,55040,,502,,6,4
22,185.175.0.4,185.175.0.7,502,,55040,,6,4
23,185.175.0.7,185.175.0.4,55040,,502,,6,4
