frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,10.0.0.57,10.0.0.3,2578,,502,,6,1
2,10.0.0.3,10.0.0.57,502,,2578,,6,1
3,10.0.0.57,10.0.0.3,2578,,502,,6,1
4,10.0.0.57,10.0.0.3,2578,,502,,6,1
5,10.0.0.3,10.0.0.57,502,,2578,,6,1
6,10.0.0.57,10.0.0.3,2578,,502,,6,1
7,10.0.0.3,10.0.0.57,502,,2578,,6,1
8,10.0.0.57,10.0.0.3,2578,,502,,6,1
9,10.0.0.3,10.0.0.57,502,,2578,,6,1
10,10.0.0.57,10.0.0.3,2578,,502,,6,1
11,10.0.0.57,10.0.0.3,2578,,502,,6,1
12,10.0.0.3,10.0.0.57,502,,2578,,6,1
13,10.0.0.57,10.0.0.3,2578,,502,,6,1
14,10.0.0.3,10.0.0.57,502,,2578,,6,1
15,10.0.0.57,10.0.0.3,2578,,502,,6,1
16,10.0.0.57,10.0.0.3,2578,,502,,6,1
17,10.0.0.3,10.0.0.57,502,,2578,,6,1
18,10.0.0.57,10.0.0.3,2578,,502,,6,1
19,10.0.0.57,10.0.0.3,2578,,502,,6,1
20,10.0.0.3,10.0.0.57,502,,2578,,6,1
21,10.0.0.57,10.0.0.3,2578,,502,,6,1
22,10.0.0.57,10.0.0.3,2578,,502,,6,1
23,10.0.0.3,10.0.0.57,502,,2578,,6,1
24,10.0.0.57,10.0.0.3,2578,,502,,6,1
25,10.0.0.57,10.0.0.8,2579,,502,,6,2
26,10.0.0.8,10.0.0.57,502,,2579,,6,2
27,10.0.0.57,10.0.0.8,2579,,502,,6,2
28,10.0.0.57,10.0.0.8,2579,,502,,6,2
29,10.0.0.8,10.0.0.57,502,,2579,,6,2
30,10.0.0.57,10.0.0.8,2579,,502,,6,2
31,10.0.0.8,10.0.0.57,502,,2579,,6,2
32,10.0.0.57,10.0.0.8,2579,,502,,6,2
33,10.0.0.8,10.0.0.57,502,,2579,,6,2
34,10.0.0.8,10.0.0.57,502,,2579,,6,2
35,10.0.0.57,10.0.0.8,2579,,502,,6,2
36,10.0.0.57,10.0.0.3,2578,,502,,6,1
37,10.0.0.3,10.0.0.57,502,,2578,,6,1
38,10.0.0.57,10.0.0.3,2578,,502,,6,1
39,10.0.0.57,10.0.0.3,2578,,502,,6,1
40,10.0.0.3,10.0.0.57,502,,2578,,6,1
41,10.0.0.57,10.0.0.3,2578,,502,,6,1
42,10.0.0.3,10.0.0.57,502,,2578,,6,1
43,10.0.0.57,10.0.0.3,2578,,502,,6,1
44,10.0.0.9,10.0.0.3,3082,,502,,6,3
45,10.0.0.3,10.0.0.9,502,,3082,,6,3
46,10.0.0.9,10.0.0.3,3082,,502,,6,3
47,10.0.0.9,10.0.0.3,3082,,502,,6,3
48,10.0.0.3,10.0.0.9,502,,3082,,6,3
49,10.0.0.9,10.0.0.3,3082,,502,,6,3
50,10.0.0.9,10.0.0.3,3082,,502,,6,3
51,10.0.0.3,10.0.0.9,502,,3082,,6,3
52,10.0.0.9,10.0.0.3,3082,,502,,6,3
53,10.0.0.9,10.0.0.3,3082,,502,,6,3
54,10.0.0.3,10.0.0.9,502,,3082,,6,3
55,10.0.0.9,10.0.0.3,3082,,502,,6,3
56,10.0.0.9,10.0.0.3,3082,,502,,6,3
57,10.0.0.3,10.0.0.9,502,,3082,,6,3
58,10.0.0.9,10.0.0.3,3082,,502,,6,3
59,10.0.0.9,10.0.0.3,3082,,502,,6,3
60,10.0.0.3,10.0.0.9,502,,3082,,6,3
61,10.0.0.9,10.0.0.3,3082,,502,,6,3
62,10.0.0.9,10.0.0.3,3082,,502,,6,3
63,10.0.0.3,10.0.0.9,502,,3082,,6,3
64,10.0.0.9,10.0.0.3,3082,,502,,6,3
65,10.0.0.9,10.0.0.3,3082,,502,,6,3
66,10.0.0.3,10.0.0.9,502,,3082,,6,3
67,10.0.0.3,10.0.0.9,502,,3082,,6,3
68,10.0.0.9,10.0.0.3,3082,,502,,6,3
69,10.0.0.57,10.0.0.8,2585,,502,,6,4
70,10.0.0.8,10.0.0.57,502,,2585,,6,4
71,10.0.0.57,10.0.0.8,2585,,502,,6,4
72,10.0.0.57,10.0.0.8,2585,,502,,6,4
73,10.0.0.8,10.0.0.57,502,,2585,,6,4
74,10.0.0.57,10.0.0.8,2585,,502,,6,4
75,10.0.0.8,10.0.0.57,502,,2585,,6,4
76,10.0.0.57,10.0.0.8,2585,,502,,6,4
77,10.0.0.8,10.0.0.57,502,,2585,,6,4
78,10.0.0.57,10.0.0.8,2585,,502,,6,4
79,10.0.0.8,10.0.0.57,502,,2585,,6,4
80,10.0.0.8,10.0.0.57,502,,2585,,6,4
81,10.0.0.57,10.0.0.8,2585,,502,,6,4
82,10.0.0.57,10.0.0.8,2585,,502,,6,4
83,10.0.0.8,10.0.0.57,502,,2585,,6,4
84,10.0.0.8,10.0.0.57,502,,4446,,6,5
85,10.0.0.57,10.0.0.8,4446,,502,,6,5
86,10.0.0.8,10.0.0.57,502,,4446,,6,5
87,10.0.0.8,10.0.0.57,502,,4446,,6,5
88,10.0.0.57,10.0.0.8,4446,,502,,6,5
89,10.0.0.8,10.0.0.57,502,,4446,,6,5
90,10.0.0.57,10.0.0.8,4446,,502,,6,5
91,10.0.0.8,10.0.0.57,502,,4446,,6,5
92,10.0.0.57,10.0.0.8,4446,,502,,6,5
93,10.0.0.8,10.0.0.57,502,,4446,,6,5
94,10.0.0.57,10.0.0.8,4446,,502,,6,5
95,10.0.0.8,10.0.0.57,502,,4446,,6,5
96,10.0.0.57,10.0.0.8,4446,,502,,6,5
97,10.0.0.8,10.0.0.57,502,,4446,,6,5
98,10.0.0.57,10.0.0.8,4446,,502,,6,5
99,10.0.0.8,10.0.0.57,502,,4446,,6,5
100,10.0.0.57,10.0.0.8,4446,,502,,6,5
101,10.0.0.8,10.0.0.57,502,,4446,,6,5
102,10.0.0.57,10.0.0.8,4446,,502,,6,5
103,10.0.0.8,10.0.0.57,502,,4446,,6,5
104,10.0.0.57,10.0.0.8,4446,,502,,6,5
105,10.0.0.8,10.0.0.57,502,,4446,,6,5
106,10.0.0.57,10.0.0.8,4446,,502,,6,5
107,10.0.0.8,10.0.0.57,502,,4446,,6,5
108,10.0.0.57,10.0.0.8,4446,,502,,6,5
109,10.0.0.8,10.0.0.57,502,,4446,,6,5
110,10.0.0.57,10.0.0.8,4446,,502,,6,5
111,10.0.0.8,10.0.0.57,502,,4446,,6,5
112,10.0.0.57,10.0.0.8,4446,,502,,6,5
113,10.0.0.57,10.0.0.8,4446,,502,,6,5
114,10.0.0.8,10.0.0.57,502,,4446,,6,5
