frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.146,192.168.70.129,44276,,502,,6,1
2,192.168.70.129,192.168.70.146,502,,44276,,6,1
3,192.168.70.146,192.168.70.129,44276,,502,,6,1
4,192.168.70.146,192.168.70.129,44276,,502,,6,1
5,192.168.70.129,192.168.70.146,502,,44276,,6,1
6,192.168.70.129,192.168.70.146,502,,44276,,6,1
7,192.168.70.146,192.168.70.129,44276,,502,,6,1
8,192.168.70.146,192.168.70.129,44276,,502,,6,1
9,192.168.70.129,192.168.70.146,502,,44276,,6,1
10,192.168.70.146,192.168.70.129,44276,,502,,6,1
11,192.168.70.146,192.168.70.129,44276,,502,,6,1
12,192.168.70.129,192.168.70.146,502,,44276,,6,1
13,192.168.70.146,192.168.70.129,44276,,502,,6,1
14,192.168.70.146,192.168.70.129,44276,,502,,6,1
15,192.168.70.129,192.168.70.146,502,,44276,,6,1
16,192.168.70.146,192.168.70.129,44276,,502,,6,1
17,192.168.70.146,192.168.70.129,44276,,502,,6,1
18,192.168.70.129,192.168.70.146,502,,44276,,6,1
19,192.168.70.146,192.168.70.129,44276,,502,,6,1
20,192.168.70.146,192.168.70.129,44276,,502,,6,1
21,192.168.70.129,192.168.70.146,502,,44276,,6,1
22,192.168.70.146,192.168.70.129,44276,,502,,6,1
23,192.168.70.146,192.168.70.129,44276,,502,,6,1
24,192.168.70.129,192.168.70.146,502,,44276,,6,1
25,192.168.70.146,192.168.70.129,44276,,502,,6,1
26,192.168.70.146,192.168.70.129,44276,,502,,6,1
27,192.168.70.129,192.168.70.146,502,,44276,,6,1
28,192.168.70.146,192.168.70.129,44276,,502,,6,1
29,192.168.70.146,192.168.70.129,44276,,502,,6,1
30,192.168.70.129,192.168.70.146,502,,44276,,6,1
31,192.168.70.146,192.168.70.129,44276,,502,,6,1
32,192.168.70.146,192.168.70.129,44276,,502,,6,1
33,192.168.70.129,192.168.70.146,502,,44276,,6,1
34,192.168.70.146,192.168.70.129,44276,,502,,6,1
35,192.168.70.146,192.168.70.129,44276,,502,,6,1
