frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,127.0.0.1,127.0.0.1,60120,,8081,,6,1
2,127.0.0.1,127.0.0.1,60120,,8081,,6,1
3,127.0.0.1,127.0.0.1,60120,,8081,,6,1
4,127.0.0.1,127.0.0.1,60120,,8081,,6,1
5,127.0.0.1,127.0.0.1,60120,,8081,,6,1
6,127.0.0.1,127.0.0.1,60120,,8081,,6,1
7,127.0.0.1,127.0.0.1,60132,,8081,,6,2
8,127.0.0.1,127.0.0.1,60132,,8081,,6,2
9,127.0.0.1,127.0.0.1,60132,,8081,,6,2
10,127.0.0.1,127.0.0.1,60132,,8081,,6,2
11,127.0.0.1,127.0.0.1,60132,,8081,,6,2
12,127.0.0.1,127.0.0.1,60132,,8081,,6,2
13,127.0.0.1,127.0.0.1,60136,,8081,,6,3
14,127.0.0.1,127.0.0.1,60136,,8081,,6,3
15,127.0.0.1,127.0.0.1,60136,,8081,,6,3
16,127.0.0.1,127.0.0.1,60136,,8081,,6,3
17,127.0.0.1,127.0.0.1,60136,,8081,,6,3
18,127.0.0.1,127.0.0.1,60136,,8081,,6,3
19,127.0.0.1,127.0.0.1,60146,,8081,,6,4
20,127.0.0.1,127.0.0.1,60146,,8081,,6,4
21,127.0.0.1,127.0.0.1,60146,,8081,,6,4
22,127.0.0.1,127.0.0.1,60146,,8081,,6,4
23,127.0.0.1,127.0.0.1,60146,,8081,,6,4
24,127.0.0.1,127.0.0.1,60146,,8081,,6,4
25,127.0.0.1,127.0.0.1,60156,,8081,,6,5
26,127.0.0.1,127.0.0.1,60156,,8081,,6,5
27,127.0.0.1,127.0.0.1,60156,,8081,,6,5
28,127.0.0.1,127.0.0.1,60156,,8081,,6,5
29,127.0.0.1,127.0.0.1,60156,,8081,,6,5
30,127.0.0.1,127.0.0.1,60156,,8081,,6,5
31,127.0.0.1,127.0.0.1,60158,,8081,,6,6
32,127.0.0.1,127.0.0.1,60158,,8081,,6,6
33,127.0.0.1,127.0.0.1,60158,,8081,,6,6
34,127.0.0.1,127.0.0.1,60158,,8081,,6,6
35,127.0.0.1,127.0.0.1,60158,,8081,,6,6
36,127.0.0.1,127.0.0.1,60158,,8081,,6,6
37,127.0.0.1,127.0.0.1,60168,,8081,,6,7
38,127.0.0.1,127.0.0.1,60168,,8081,,6,7
39,127.0.0.1,127.0.0.1,60168,,8081,,6,7
40,127.0.0.1,127.0.0.1,60168,,8081,,6,7
41,127.0.0.1,127.0.0.1,60168,,8081,,6,7
42,127.0.0.1,127.0.0.1,60168,,8081,,6,7
43,127.0.0.1,127.0.0.1,60182,,8081,,6,8
44,127.0.0.1,127.0.0.1,60182,,8081,,6,8
45,127.0.0.1,127.0.0.1,60182,,8081,,6,8
46,127.0.0.1,127.0.0.1,60182,,8081,,6,8
47,127.0.0.1,127.0.0.1,60182,,8081,,6,8
48,127.0.0.1,127.0.0.1,60182,,8081,,6,8
49,127.0.0.1,127.0.0.1,60196,,8081,,6,9
50,127.0.0.1,127.0.0.1,60196,,8081,,6,9
51,127.0.0.1,127.0.0.1,60196,,8081,,6,9
52,127.0.0.1,127.0.0.1,60196,,8081,,6,9
53,127.0.0.1,127.0.0.1,60196,,8081,,6,9
54,127.0.0.1,127.0.0.1,60196,,8081,,6,9
55,127.0.0.1,127.0.0.1,60202,,8081,,6,10
56,127.0.0.1,127.0.0.1,60202,,8081,,6,10
57,127.0.0.1,127.0.0.1,60202,,8081,,6,10
58,127.0.0.1,127.0.0.1,60202,,8081,,6,10
59,127.0.0.1,127.0.0.1,60202,,8081,,6,10
60,127.0.0.1,127.0.0.1,60202,,8081,,6,10
61,127.0.0.1,127.0.0.1,50970,,8081,,6,11
62,127.0.0.1,127.0.0.1,50970,,8081,,6,11
63,127.0.0.1,127.0.0.1,50970,,8081,,6,11
64,127.0.0.1,127.0.0.1,50970,,8081,,6,11
65,127.0.0.1,127.0.0.1,50970,,8081,,6,11
66,127.0.0.1,127.0.0.1,50970,,8081,,6,11
67,127.0.0.1,127.0.0.1,50978,,8081,,6,12
68,127.0.0.1,127.0.0.1,50978,,8081,,6,12
69,127.0.0.1,127.0.0.1,50978,,8081,,6,12
70,127.0.0.1,127.0.0.1,50978,,8081,,6,12
71,127.0.0.1,127.0.0.1,50978,,8081,,6,12
72,127.0.0.1,127.0.0.1,50978,,8081,,6,12
73,127.0.0.1,127.0.0.1,50986,,8081,,6,13
74,127.0.0.1,127.0.0.1,50986,,8081,,6,13
75,127.0.0.1,127.0.0.1,50986,,8081,,6,13
76,127.0.0.1,127.0.0.1,50986,,8081,,6,13
77,127.0.0.1,127.0.0.1,50986,,8081,,6,13
78,127.0.0.1,127.0.0.1,50986,,8081,,6,13
79,127.0.0.1,127.0.0.1,50996,,8081,,6,14
80,127.0.0.1,127.0.0.1,50996,,8081,,6,14
81,127.0.0.1,127.0.0.1,50996,,8081,,6,14
82,127.0.0.1,127.0.0.1,50998,,8081,,6,15
83,127.0.0.1,127.0.0.1,50998,,8081,,6,15
84,127.0.0.1,127.0.0.1,50998,,8081,,6,15
85,127.0.0.1,127.0.0.1,50998,,8081,,6,15
86,127.0.0.1,127.0.0.1,50998,,8081,,6,15
87,127.0.0.1,127.0.0.1,50998,,8081,,6,15
88,127.0.0.1,127.0.0.1,50998,,8081,,6,15
89,127.0.0.1,127.0.0.1,51004,,8081,,6,16
90,127.0.0.1,127.0.0.1,51004,,8081,,6,16
91,127.0.0.1,127.0.0.1,51004,,8081,,6,16
92,127.0.0.1,127.0.0.1,50996,,8081,,6,14
93,127.0.0.1,127.0.0.1,50996,,8081,,6,14
94,127.0.0.1,127.0.0.1,50996,,8081,,6,14
95,127.0.0.1,127.0.0.1,50996,,8081,,6,14
96,127.0.0.1,127.0.0.1,51010,,8081,,6,17
97,127.0.0.1,127.0.0.1,51010,,8081,,6,17
98,127.0.0.1,127.0.0.1,51010,,8081,,6,17
99,127.0.0.1,127.0.0.1,51010,,8081,,6,17
100,127.0.0.1,127.0.0.1,51010,,8081,,6,17
101,127.0.0.1,127.0.0.1,51010,,8081,,6,17
102,127.0.0.1,127.0.0.1,51010,,8081,,6,17
103,127.0.0.1,127.0.0.1,51010,,8081,,6,17
104,127.0.0.1,127.0.0.1,51004,,8081,,6,16
105,127.0.0.1,127.0.0.1,51022,,8081,,6,18
106,127.0.0.1,127.0.0.1,51022,,8081,,6,18
107,127.0.0.1,127.0.0.1,51022,,8081,,6,18
108,127.0.0.1,127.0.0.1,51022,,8081,,6,18
109,127.0.0.1,127.0.0.1,51022,,8081,,6,18
110,127.0.0.1,127.0.0.1,51036,,8081,,6,19
111,127.0.0.1,127.0.0.1,51036,,8081,,6,19
112,127.0.0.1,127.0.0.1,51036,,8081,,6,19
113,127.0.0.1,127.0.0.1,51052,,8081,,6,20
114,127.0.0.1,127.0.0.1,51052,,8081,,6,20
115,127.0.0.1,127.0.0.1,51022,,8081,,6,18
116,127.0.0.1,127.0.0.1,51052,,8081,,6,20
117,127.0.0.1,127.0.0.1,51066,,8081,,6,21
118,127.0.0.1,127.0.0.1,51066,,8081,,6,21
119,127.0.0.1,127.0.0.1,51072,,8081,,6,22
120,127.0.0.1,127.0.0.1,51072,,8081,,6,22
121,127.0.0.1,127.0.0.1,51086,,8081,,6,23
122,127.0.0.1,127.0.0.1,51086,,8081,,6,23
123,127.0.0.1,127.0.0.1,51088,,8081,,6,24
124,127.0.0.1,127.0.0.1,51088,,8081,,6,24
125,127.0.0.1,127.0.0.1,51066,,8081,,6,21
126,127.0.0.1,127.0.0.1,51088,,8081,,6,24
127,127.0.0.1,127.0.0.1,51086,,8081,,6,23
128,127.0.0.1,127.0.0.1,51072,,8081,,6,22
129,127.0.0.1,127.0.0.1,51036,,8081,,6,19
130,127.0.0.1,127.0.0.1,51036,,8081,,6,19
131,127.0.0.1,127.0.0.1,51052,,8081,,6,20
132,127.0.0.1,127.0.0.1,51066,,8081,,6,21
133,127.0.0.1,127.0.0.1,51066,,8081,,6,21
134,127.0.0.1,127.0.0.1,51052,,8081,,6,20
135,127.0.0.1,127.0.0.1,51102,,8081,,6,25
136,127.0.0.1,127.0.0.1,51102,,8081,,6,25
137,127.0.0.1,127.0.0.1,51106,,8081,,6,26
138,127.0.0.1,127.0.0.1,51106,,8081,,6,26
139,127.0.0.1,127.0.0.1,51102,,8081,,6,25
140,127.0.0.1,127.0.0.1,51110,,8081,,6,27
141,127.0.0.1,127.0.0.1,51110,,8081,,6,27
142,127.0.0.1,127.0.0.1,51106,,8081,,6,26
143,127.0.0.1,127.0.0.1,51110,,8081,,6,27
144,127.0.0.1,127.0.0.1,51086,,8081,,6,23
145,127.0.0.1,127.0.0.1,51086,,8081,,6,23
146,127.0.0.1,127.0.0.1,51116,,8081,,6,28
147,127.0.0.1,127.0.0.1,51116,,8081,,6,28
148,127.0.0.1,127.0.0.1,51116,,8081,,6,28
149,127.0.0.1,127.0.0.1,51052,,8081,,6,20
150,127.0.0.1,127.0.0.1,51086,,8081,,6,23
151,127.0.0.1,127.0.0.1,51072,,8081,,6,22
152,127.0.0.1,127.0.0.1,51072,,8081,,6,22
153,127.0.0.1,127.0.0.1,51036,,8081,,6,19
154,127.0.0.1,127.0.0.1,51066,,8081,,6,21
155,127.0.0.1,127.0.0.1,51072,,8081,,6,22
156,127.0.0.1,127.0.0.1,51106,,8081,,6,26
157,127.0.0.1,127.0.0.1,51088,,8081,,6,24
158,127.0.0.1,127.0.0.1,51102,,8081,,6,25
159,127.0.0.1,127.0.0.1,51106,,8081,,6,26
160,127.0.0.1,127.0.0.1,51110,,8081,,6,27
161,127.0.0.1,127.0.0.1,51102,,8081,,6,25
162,127.0.0.1,127.0.0.1,51088,,8081,,6,24
163,127.0.0.1,127.0.0.1,51110,,8081,,6,27
164,127.0.0.1,127.0.0.1,51106,,8081,,6,26
165,127.0.0.1,127.0.0.1,51110,,8081,,6,27
166,127.0.0.1,127.0.0.1,51088,,8081,,6,24
167,127.0.0.1,127.0.0.1,51102,,8081,,6,25
168,127.0.0.1,127.0.0.1,51116,,8081,,6,28
169,127.0.0.1,127.0.0.1,51116,,8081,,6,28
170,127.0.0.1,127.0.0.1,51116,,8081,,6,28
171,127.0.0.1,127.0.0.1,51130,,8081,,6,29
172,127.0.0.1,127.0.0.1,51130,,8081,,6,29
173,127.0.0.1,127.0.0.1,51130,,8081,,6,29
174,127.0.0.1,127.0.0.1,51138,,8081,,6,30
175,127.0.0.1,127.0.0.1,51138,,8081,,6,30
176,127.0.0.1,127.0.0.1,51138,,8081,,6,30
177,127.0.0.1,127.0.0.1,51130,,8081,,6,29
178,127.0.0.1,127.0.0.1,51130,,8081,,6,29
179,127.0.0.1,127.0.0.1,51130,,8081,,6,29
180,127.0.0.1,127.0.0.1,51130,,8081,,6,29
181,127.0.0.1,127.0.0.1,51138,,8081,,6,30
182,127.0.0.1,127.0.0.1,51138,,8081,,6,30
183,127.0.0.1,127.0.0.1,51138,,8081,,6,30
184,127.0.0.1,127.0.0.1,51138,,8081,,6,30
185,127.0.0.1,127.0.0.1,51146,,8081,,6,31
186,127.0.0.1,127.0.0.1,51146,,8081,,6,31
187,127.0.0.1,127.0.0.1,51146,,8081,,6,31
188,127.0.0.1,127.0.0.1,51146,,8081,,6,31
189,127.0.0.1,127.0.0.1,51146,,8081,,6,31
190,127.0.0.1,127.0.0.1,51146,,8081,,6,31
191,127.0.0.1,127.0.0.1,51146,,8081,,6,31
192,127.0.0.1,127.0.0.1,51156,,8081,,6,32
193,127.0.0.1,127.0.0.1,51156,,8081,,6,32
194,127.0.0.1,127.0.0.1,51156,,8081,,6,32
195,127.0.0.1,127.0.0.1,51156,,8081,,6,32
196,127.0.0.1,127.0.0.1,51156,,8081,,6,32
197,127.0.0.1,127.0.0.1,51156,,8081,,6,32
