frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.129,84.17.62.8,45368,,443,,6,1
2,84.17.62.8,192.168.70.129,443,,45368,,6,1
3,192.168.70.129,209.250.254.15,,43288,,21116,17,2
4,209.250.254.15,192.168.70.129,,21116,,43288,17,2
5,,,,,,,,N/A
6,,,,,,,,N/A
7,,,,,,,,N/A
8,,,,,,,,N/A
9,192.168.70.150,192.168.70.129,64940,,102,,6,3
10,192.168.70.150,192.168.70.129,64940,,502,,6,4
11,192.168.70.129,192.168.70.150,102,,64940,,6,3
12,192.168.70.129,192.168.70.150,502,,64940,,6,4
13,192.168.70.150,192.168.70.129,64940,,102,,6,3
14,192.168.70.150,192.168.70.129,64940,,502,,6,4
15,192.168.70.150,192.168.70.129,51098,,102,,6,5
16,192.168.70.150,192.168.70.129,37982,,502,,6,6
17,192.168.70.129,192.168.70.150,102,,51098,,6,5
18,192.168.70.129,192.168.70.150,502,,37982,,6,6
19,192.168.70.150,192.168.70.129,51098,,102,,6,5
20,192.168.70.150,192.168.70.129,37982,,502,,6,6
21,192.168.70.129,84.17.62.8,45368,,443,,6,1
22,84.17.62.8,192.168.70.129,443,,45368,,6,1
23,192.168.70.129,192.168.70.150,502,,37982,,6,6
24,192.168.70.150,192.168.70.129,37982,,502,,6,6
25,192.168.70.150,192.168.70.129,37982,,502,,6,6
26,192.168.70.150,192.168.70.129,37988,,502,,6,7
27,192.168.70.129,192.168.70.150,102,,51098,,6,5
28,192.168.70.150,192.168.70.129,51098,,102,,6,5
29,192.168.70.129,192.168.70.150,502,,37982,,6,6
30,192.168.70.129,192.168.70.150,502,,37988,,6,7
31,192.168.70.150,192.168.70.129,51106,,102,,6,8
32,192.168.70.150,192.168.70.129,37988,,502,,6,7
33,192.168.70.150,192.168.70.129,37988,,502,,6,7
34,192.168.70.129,192.168.70.150,102,,51098,,6,5
35,192.168.70.129,192.168.70.150,102,,51106,,6,8
36,192.168.70.129,192.168.70.150,502,,37988,,6,7
37,192.168.70.150,192.168.70.129,51106,,102,,6,8
38,192.168.70.150,192.168.70.129,51106,,102,,6,8
39,192.168.70.129,192.168.70.150,102,,51106,,6,8
40,192.168.70.129,192.168.70.150,502,,37988,,6,7
41,192.168.70.150,192.168.70.129,37988,,502,,6,7
42,192.168.70.150,192.168.70.129,38002,,502,,6,9
43,192.168.70.129,192.168.70.150,502,,37988,,6,7
44,192.168.70.129,192.168.70.150,502,,38002,,6,9
45,192.168.70.150,192.168.70.129,38002,,502,,6,9
46,192.168.70.150,192.168.70.129,38002,,502,,6,9
47,192.168.70.129,192.168.70.150,502,,38002,,6,9
48,192.168.70.129,209.250.254.15,,43288,,21116,17,2
49,,,,,,,,N/A
50,,,,,,,,N/A
51,209.250.254.15,192.168.70.129,,21116,,43288,17,2
52,192.168.70.129,192.168.70.150,102,,51106,,6,8
53,192.168.70.150,192.168.70.129,51106,,102,,6,8
54,192.168.70.150,192.168.70.129,51102,,102,,6,10
55,192.168.70.150,192.168.70.129,38002,,502,,6,9
56,192.168.70.150,192.168.70.129,50056,,502,,6,11
57,192.168.70.129,192.168.70.150,102,,51106,,6,8
58,192.168.70.129,192.168.70.150,102,,51102,,6,10
59,192.168.70.129,192.168.70.150,502,,50056,,6,11
60,192.168.70.150,192.168.70.129,51102,,102,,6,10
61,192.168.70.150,192.168.70.129,50056,,502,,6,11
62,192.168.70.150,192.168.70.129,51102,,102,,6,10
63,192.168.70.150,192.168.70.129,50056,,502,,6,11
64,192.168.70.129,192.168.70.150,102,,51102,,6,10
65,192.168.70.129,192.168.70.150,502,,50056,,6,11
66,192.168.70.129,192.168.70.150,502,,38002,,6,9
67,192.168.70.129,84.17.62.8,45368,,443,,6,1
68,84.17.62.8,192.168.70.129,443,,45368,,6,1
69,192.168.70.150,192.168.70.129,51102,,102,,6,10
70,192.168.70.150,192.168.70.129,51112,,102,,6,12
71,192.168.70.150,192.168.70.129,50056,,502,,6,11
72,192.168.70.150,192.168.70.129,50062,,502,,6,13
73,192.168.70.129,192.168.70.150,102,,51112,,6,12
74,192.168.70.129,192.168.70.150,502,,50062,,6,13
75,192.168.70.150,192.168.70.129,51112,,102,,6,12
76,192.168.70.150,192.168.70.129,50062,,502,,6,13
77,192.168.70.150,192.168.70.129,51112,,102,,6,12
78,192.168.70.150,192.168.70.129,50062,,502,,6,13
79,192.168.70.129,192.168.70.150,102,,51112,,6,12
80,192.168.70.129,192.168.70.150,502,,50062,,6,13
81,192.168.70.129,192.168.70.150,502,,50056,,6,11
82,192.168.70.129,192.168.70.150,102,,51102,,6,10
83,192.168.70.150,192.168.70.129,51112,,102,,6,12
84,192.168.70.150,192.168.70.129,54306,,102,,6,14
85,192.168.70.150,192.168.70.129,50062,,502,,6,13
86,192.168.70.150,192.168.70.129,36886,,502,,6,15
87,192.168.70.129,192.168.70.150,102,,54306,,6,14
88,192.168.70.129,192.168.70.150,502,,36886,,6,15
89,192.168.70.150,192.168.70.129,54306,,102,,6,14
90,192.168.70.150,192.168.70.129,36886,,502,,6,15
91,192.168.70.150,192.168.70.129,54306,,102,,6,14
92,192.168.70.150,192.168.70.129,36886,,502,,6,15
93,192.168.70.129,192.168.70.150,102,,54306,,6,14
94,192.168.70.129,192.168.70.150,502,,36886,,6,15
95,192.168.70.129,192.168.70.150,502,,50062,,6,13
96,192.168.70.129,192.168.70.150,102,,51112,,6,12
97,192.168.70.129,84.17.62.8,45368,,443,,6,1
98,84.17.62.8,192.168.70.129,443,,45368,,6,1
99,192.168.70.150,192.168.70.129,54306,,102,,6,14
100,192.168.70.150,192.168.70.129,54310,,102,,6,16
101,192.168.70.150,192.168.70.129,36886,,502,,6,15
102,192.168.70.150,192.168.70.129,36890,,502,,6,17
103,192.168.70.129,192.168.70.150,102,,54310,,6,16
104,192.168.70.129,192.168.70.150,502,,36890,,6,17
105,192.168.70.150,192.168.70.129,54310,,102,,6,16
106,192.168.70.150,192.168.70.129,36890,,502,,6,17
107,192.168.70.150,192.168.70.129,54310,,102,,6,16
