frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.150,192.168.70.129,60108,,502,,6,1
2,192.168.70.129,192.168.70.150,502,,60108,,6,1
3,192.168.70.150,192.168.70.129,60108,,502,,6,1
4,192.168.70.150,192.168.70.129,60108,,502,,6,1
5,192.168.70.129,192.168.70.150,502,,60108,,6,1
6,192.168.70.129,192.168.70.150,502,,60108,,6,1
7,192.168.70.150,192.168.70.129,60108,,502,,6,1
8,192.168.70.150,192.168.70.129,60108,,502,,6,1
9,192.168.70.129,192.168.70.150,502,,60108,,6,1
10,192.168.70.150,192.168.70.129,60108,,502,,6,1
