frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,,,,,,,,N/A
2,,,,,,,,N/A
3,10.0.0.1,10.0.0.2,47640,,8096,,6,1
4,10.0.0.2,10.0.0.1,8096,,47640,,6,1
5,10.0.0.1,10.0.0.2,47640,,8096,,6,1
6,10.0.0.1,10.0.0.2,47640,,8096,,6,1
7,10.0.0.2,10.0.0.1,8096,,47640,,6,1
8,10.0.0.2,10.0.0.1,8096,,47640,,6,1
9,10.0.0.2,10.0.0.1,8096,,47640,,6,1
10,10.0.0.1,10.0.0.2,47640,,8096,,6,1
11,10.0.0.1,10.0.0.2,47640,,8096,,6,1
12,10.0.0.2,10.0.0.1,8096,,47640,,6,1
13,10.0.0.1,10.0.0.2,47640,,8096,,6,1
14,10.0.0.1,10.0.0.2,47640,,8096,,6,1
15,10.0.0.2,10.0.0.1,8096,,47640,,6,1
16,10.0.0.2,10.0.0.1,8096,,47640,,6,1
17,10.0.0.2,10.0.0.1,8096,,47640,,6,1
18,10.0.0.2,10.0.0.1,8096,,47640,,6,1
19,10.0.0.1,10.0.0.2,47640,,8096,,6,1
20,10.0.0.1,10.0.0.2,47640,,8096,,6,1
21,10.0.0.2,10.0.0.1,8096,,47640,,6,1
22,10.0.0.2,10.0.0.1,8096,,47640,,6,1
23,10.0.0.1,10.0.0.2,47640,,8096,,6,1
24,10.0.0.2,10.0.0.1,8096,,47640,,6,1
25,10.0.0.1,10.0.0.2,47640,,8096,,6,1
26,10.0.0.2,10.0.0.1,8096,,47640,,6,1
27,10.0.0.1,10.0.0.2,47640,,8096,,6,1
28,10.0.0.2,10.0.0.1,8096,,47640,,6,1
29,10.0.0.1,10.0.0.2,47640,,8096,,6,1
30,,,,,,,,N/A
31,,,,,,,,N/A
32,10.0.0.1,10.0.0.2,47640,,8096,,6,1
33,10.0.0.2,10.0.0.1,8096,,47640,,6,1
34,10.0.0.1,10.0.0.2,47640,,8096,,6,1
35,,,,,,,,N/A
36,10.0.0.1,10.0.0.2,47640,,8096,,6,1
37,,,,,,,,N/A
38,10.0.0.2,10.0.0.3,53850,,22,,6,2
39,10.0.0.3,10.0.0.2,22,,53850,,6,2
40,10.0.0.2,10.0.0.3,53850,,22,,6,2
41,10.0.0.2,10.0.0.1,8096,,47640,,6,1
42,10.0.0.2,10.0.0.3,53850,,22,,6,2
43,10.0.0.3,10.0.0.2,22,,53850,,6,2
44,10.0.0.3,10.0.0.2,22,,53850,,6,2
45,10.0.0.2,10.0.0.3,53850,,22,,6,2
46,10.0.0.2,10.0.0.1,8096,,47640,,6,1
47,10.0.0.1,10.0.0.2,47640,,8096,,6,1
48,10.0.0.1,10.0.0.2,47640,,8096,,6,1
49,10.0.0.1,10.0.0.2,47640,,8096,,6,1
50,10.0.0.2,10.0.0.1,8096,,47640,,6,1
51,10.0.0.2,10.0.0.1,8096,,47640,,6,1
52,10.0.0.2,10.0.0.3,53850,,22,,6,2
53,10.0.0.3,10.0.0.2,22,,53850,,6,2
54,10.0.0.2,10.0.0.1,8096,,47640,,6,1
55,10.0.0.1,10.0.0.2,47640,,8096,,6,1
56,10.0.0.1,10.0.0.2,47640,,8096,,6,1
57,10.0.0.1,10.0.0.2,47640,,8096,,6,1
58,10.0.0.2,10.0.0.1,8096,,47640,,6,1
59,10.0.0.2,10.0.0.1,8096,,47640,,6,1
60,10.0.0.2,10.0.0.3,53850,,22,,6,2
61,10.0.0.3,10.0.0.2,22,,53850,,6,2
62,10.0.0.2,10.0.0.1,8096,,47640,,6,1
63,10.0.0.1,10.0.0.2,47640,,8096,,6,1
64,10.0.0.1,10.0.0.2,47640,,8096,,6,1
65,10.0.0.1,10.0.0.2,47640,,8096,,6,1
66,10.0.0.2,10.0.0.1,8096,,47640,,6,1
67,10.0.0.2,10.0.0.1,8096,,47640,,6,1
68,10.0.0.2,10.0.0.3,53850,,22,,6,2
69,10.0.0.3,10.0.0.2,22,,53850,,6,2
70,10.0.0.1,10.0.0.2,47640,,8096,,6,1
71,10.0.0.1,10.0.0.2,47640,,8096,,6,1
72,10.0.0.2,10.0.0.1,8096,,47640,,6,1
73,10.0.0.1,10.0.0.2,47640,,8096,,6,1
74,10.0.0.2,10.0.0.3,53850,,22,,6,2
75,10.0.0.3,10.0.0.2,22,,53850,,6,2
76,10.0.0.3,10.0.0.2,22,,53850,,6,2
77,10.0.0.2,10.0.0.1,8096,,47640,,6,1
78,10.0.0.1,10.0.0.2,47640,,8096,,6,1
79,10.0.0.1,10.0.0.2,47640,,8096,,6,1
80,10.0.0.1,10.0.0.2,47640,,8096,,6,1
81,10.0.0.2,10.0.0.1,8096,,47640,,6,1
82,10.0.0.2,10.0.0.1,8096,,47640,,6,1
83,10.0.0.2,10.0.0.3,53850,,22,,6,2
84,10.0.0.3,10.0.0.2,22,,53850,,6,2
85,10.0.0.2,10.0.0.1,8096,,47640,,6,1
86,10.0.0.1,10.0.0.2,47640,,8096,,6,1
87,10.0.0.1,10.0.0.2,47640,,8096,,6,1
88,10.0.0.2,10.0.0.3,53850,,22,,6,2
89,10.0.0.2,10.0.0.1,8096,,47640,,6,1
90,,,,,,,,N/A
91,,,,,,,,N/A
92,10.0.0.1,10.0.0.2,47640,,8096,,6,1
93,10.0.0.2,10.0.0.1,8096,,47640,,6,1
94,10.0.0.2,10.0.0.1,8096,,47640,,6,1
95,10.0.0.2,10.0.0.3,53850,,22,,6,2
96,10.0.0.3,10.0.0.2,22,,53850,,6,2
97,10.0.0.1,10.0.0.2,47640,,8096,,6,1
98,10.0.0.3,10.0.0.2,22,,53850,,6,2
99,10.0.0.2,10.0.0.3,53850,,22,,6,2
100,10.0.0.2,10.0.0.1,8096,,47640,,6,1
101,10.0.0.1,10.0.0.2,47640,,8096,,6,1
102,10.0.0.1,10.0.0.2,47640,,8096,,6,1
103,10.0.0.1,10.0.0.2,47640,,8096,,6,1
104,10.0.0.2,10.0.0.1,8096,,47640,,6,1
105,10.0.0.2,10.0.0.1,8096,,47640,,6,1
106,10.0.0.2,10.0.0.3,53850,,22,,6,2
107,10.0.0.3,10.0.0.2,22,,53850,,6,2
108,10.0.0.1,10.0.0.2,47640,,8096,,6,1
109,10.0.0.3,10.0.0.2,22,,53850,,6,2
110,10.0.0.2,10.0.0.1,8096,,47640,,6,1
111,10.0.0.1,10.0.0.2,47640,,8096,,6,1
112,10.0.0.1,10.0.0.2,47640,,8096,,6,1
113,10.0.0.2,10.0.0.3,53850,,22,,6,2
114,10.0.0.3,10.0.0.2,22,,53850,,6,2
115,10.0.0.2,10.0.0.3,53850,,22,,6,2
116,10.0.0.2,10.0.0.1,8096,,47640,,6,1
117,10.0.0.1,10.0.0.2,47640,,8096,,6,1
118,10.0.0.1,10.0.0.2,47640,,8096,,6,1
119,10.0.0.2,10.0.0.1,8096,,47640,,6,1
120,10.0.0.2,10.0.0.1,8096,,47640,,6,1
121,10.0.0.2,10.0.0.3,53850,,22,,6,2
122,10.0.0.3,10.0.0.2,22,,53850,,6,2
123,10.0.0.3,10.0.0.2,22,,53850,,6,2
124,10.0.0.2,10.0.0.1,8096,,47640,,6,1
125,10.0.0.1,10.0.0.2,47640,,8096,,6,1
126,10.0.0.1,10.0.0.2,47640,,8096,,6,1
127,10.0.0.3,10.0.0.2,22,,53850,,6,2
128,10.0.0.2,10.0.0.3,53850,,22,,6,2
129,10.0.0.2,10.0.0.1,8096,,47640,,6,1
130,10.0.0.1,10.0.0.2,47640,,8096,,6,1
131,10.0.0.1,10.0.0.2,47640,,8096,,6,1
132,10.0.0.2,10.0.0.1,8096,,47640,,6,1
133,10.0.0.3,10.0.0.2,22,,53850,,6,2
134,10.0.0.2,10.0.0.1,8096,,47640,,6,1
135,10.0.0.1,10.0.0.2,47640,,8096,,6,1
136,10.0.0.2,10.0.0.1,8096,,47640,,6,1
137,10.0.0.2,10.0.0.3,53850,,22,,6,2
138,10.0.0.1,10.0.0.2,47640,,8096,,6,1
139,10.0.0.2,10.0.0.1,8096,,47640,,6,1
140,10.0.0.2,10.0.0.1,8096,,47640,,6,1
141,10.0.0.2,10.0.0.3,53850,,22,,6,2
142,10.0.0.3,10.0.0.2,22,,53850,,6,2
143,10.0.0.2,10.0.0.3,53850,,22,,6,2
144,10.0.0.2,10.0.0.1,8096,,47640,,6,1
145,10.0.0.1,10.0.0.2,47640,,8096,,6,1
146,10.0.0.3,10.0.0.2,22,,53850,,6,2
147,10.0.0.2,10.0.0.3,53850,,22,,6,2
148,10.0.0.1,10.0.0.2,47640,,8096,,6,1
149,10.0.0.2,10.0.0.1,8096,,47640,,6,1
150,10.0.0.1,10.0.0.2,47640,,8096,,6,1
151,10.0.0.2,10.0.0.1,8096,,47640,,6,1
152,10.0.0.1,10.0.0.2,47640,,8096,,6,1
153,10.0.0.2,10.0.0.1,8096,,47640,,6,1
154,10.0.0.2,10.0.0.1,8096,,47640,,6,1
155,10.0.0.2,10.0.0.3,53850,,22,,6,2
156,10.0.0.3,10.0.0.2,22,,53850,,6,2
157,10.0.0.2,10.0.0.3,53850,,22,,6,2
158,10.0.0.2,10.0.0.1,8096,,47640,,6,1
159,10.0.0.3,10.0.0.2,22,,53850,,6,2
160,10.0.0.2,10.0.0.3,53850,,22,,6,2
161,10.0.0.1,10.0.0.2,47640,,8096,,6,1
162,10.0.0.2,10.0.0.1,8096,,47640,,6,1
163,10.0.0.3,10.0.0.2,22,,53850,,6,2
164,10.0.0.2,10.0.0.3,53850,,22,,6,2
165,10.0.0.2,10.0.0.1,8096,,47640,,6,1
166,10.0.0.1,10.0.0.2,47640,,8096,,6,1
167,10.0.0.1,10.0.0.2,47640,,8096,,6,1
168,10.0.0.2,10.0.0.1,8096,,47640,,6,1
