frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.150,192.168.70.2,,41433,,53,17,1
2,192.168.70.150,192.168.70.2,,41433,,53,17,1
3,192.168.70.2,192.168.70.150,,53,,41433,17,1
4,192.168.70.2,192.168.70.150,,53,,41433,17,1
5,192.168.70.150,34.160.144.191,56452,,443,,6,2
6,192.168.70.150,34.160.144.191,56468,,443,,6,3
7,34.160.144.191,192.168.70.150,443,,56452,,6,2
8,192.168.70.150,34.160.144.191,56452,,443,,6,2
9,192.168.70.150,34.160.144.191,56452,,443,,6,2
10,34.160.144.191,192.168.70.150,443,,56452,,6,2
11,34.160.144.191,192.168.70.150,443,,56468,,6,3
12,192.168.70.150,34.160.144.191,56468,,443,,6,3
13,192.168.70.150,34.160.144.191,56468,,443,,6,3
14,34.160.144.191,192.168.70.150,443,,56468,,6,3
15,34.160.144.191,192.168.70.150,443,,56452,,6,2
16,34.160.144.191,192.168.70.150,443,,56468,,6,3
17,192.168.70.150,34.160.144.191,56452,,443,,6,2
18,192.168.70.150,34.160.144.191,56468,,443,,6,3
19,192.168.70.150,34.160.144.191,56468,,443,,6,3
20,34.160.144.191,192.168.70.150,443,,56468,,6,3
21,192.168.70.150,34.160.144.191,56452,,443,,6,2
22,34.160.144.191,192.168.70.150,443,,56452,,6,2
23,192.168.70.150,192.168.70.2,,60224,,53,17,4
24,192.168.70.150,192.168.70.2,,60224,,53,17,4
25,34.160.144.191,192.168.70.150,443,,56452,,6,2
26,34.160.144.191,192.168.70.150,443,,56468,,6,3
27,192.168.70.150,34.160.144.191,56468,,443,,6,3
28,192.168.70.150,34.160.144.191,56452,,443,,6,2
29,192.168.70.150,34.160.144.191,56468,,443,,6,3
30,34.160.144.191,192.168.70.150,443,,56468,,6,3
31,34.160.144.191,192.168.70.150,443,,56452,,6,2
32,34.160.144.191,192.168.70.150,443,,56468,,6,3
33,192.168.70.150,34.160.144.191,56452,,443,,6,2
34,34.160.144.191,192.168.70.150,443,,56452,,6,2
35,192.168.70.150,34.160.144.191,56452,,443,,6,2
36,34.160.144.191,192.168.70.150,443,,56452,,6,2
37,192.168.70.150,192.168.70.129,37236,,8081,,6,5
38,192.168.70.129,192.168.70.150,8081,,37236,,6,5
39,192.168.70.150,192.168.70.129,37236,,8081,,6,5
40,192.168.70.150,192.168.70.129,37236,,8081,,6,5
41,192.168.70.129,192.168.70.150,8081,,37236,,6,5
42,192.168.70.129,192.168.70.150,8081,,37236,,6,5
43,192.168.70.150,192.168.70.129,37236,,8081,,6,5
44,192.168.70.129,192.168.70.150,8081,,37236,,6,5
45,192.168.70.150,192.168.70.129,37236,,8081,,6,5
46,192.168.70.150,192.168.70.129,37236,,8081,,6,5
47,192.168.70.129,192.168.70.150,8081,,37236,,6,5
