frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,127.0.0.1,127.0.0.1,44764,,8081,,6,1
2,127.0.0.1,127.0.0.1,8081,,44764,,6,1
3,127.0.0.1,127.0.0.1,44764,,8081,,6,1
4,127.0.0.1,127.0.0.1,44764,,8081,,6,1
5,127.0.0.1,127.0.0.1,8081,,44764,,6,1
6,127.0.0.1,127.0.0.1,8081,,44764,,6,1
7,127.0.0.1,127.0.0.1,44764,,8081,,6,1
8,127.0.0.1,127.0.0.1,8081,,44764,,6,1
9,127.0.0.1,127.0.0.1,44764,,8081,,6,1
10,127.0.0.1,127.0.0.1,44764,,8081,,6,1
11,127.0.0.1,127.0.0.1,8081,,44764,,6,1
12,127.0.0.1,127.0.0.1,44764,,8081,,6,1
13,127.0.0.1,127.0.0.1,44778,,8081,,6,2
14,127.0.0.1,127.0.0.1,8081,,44778,,6,2
15,127.0.0.1,127.0.0.1,44778,,8081,,6,2
16,127.0.0.1,127.0.0.1,44778,,8081,,6,2
17,127.0.0.1,127.0.0.1,8081,,44778,,6,2
18,127.0.0.1,127.0.0.1,8081,,44778,,6,2
19,127.0.0.1,127.0.0.1,44778,,8081,,6,2
20,127.0.0.1,127.0.0.1,8081,,44778,,6,2
21,127.0.0.1,127.0.0.1,44778,,8081,,6,2
22,127.0.0.1,127.0.0.1,44778,,8081,,6,2
23,127.0.0.1,127.0.0.1,8081,,44778,,6,2
24,127.0.0.1,127.0.0.1,44778,,8081,,6,2
25,127.0.0.1,127.0.0.1,44792,,8081,,6,3
26,127.0.0.1,127.0.0.1,8081,,44792,,6,3
27,127.0.0.1,127.0.0.1,44792,,8081,,6,3
28,127.0.0.1,127.0.0.1,44792,,8081,,6,3
29,127.0.0.1,127.0.0.1,8081,,44792,,6,3
30,127.0.0.1,127.0.0.1,8081,,44792,,6,3
31,127.0.0.1,127.0.0.1,44792,,8081,,6,3
32,127.0.0.1,127.0.0.1,8081,,44792,,6,3
33,127.0.0.1,127.0.0.1,44792,,8081,,6,3
34,127.0.0.1,127.0.0.1,44792,,8081,,6,3
35,127.0.0.1,127.0.0.1,8081,,44792,,6,3
36,127.0.0.1,127.0.0.1,44792,,8081,,6,3
37,127.0.0.1,127.0.0.1,44804,,8081,,6,4
38,127.0.0.1,127.0.0.1,8081,,44804,,6,4
39,127.0.0.1,127.0.0.1,44804,,8081,,6,4
40,127.0.0.1,127.0.0.1,44804,,8081,,6,4
41,127.0.0.1,127.0.0.1,8081,,44804,,6,4
42,127.0.0.1,127.0.0.1,8081,,44804,,6,4
43,127.0.0.1,127.0.0.1,44804,,8081,,6,4
44,127.0.0.1,127.0.0.1,8081,,44804,,6,4
45,127.0.0.1,127.0.0.1,44804,,8081,,6,4
46,127.0.0.1,127.0.0.1,44804,,8081,,6,4
47,127.0.0.1,127.0.0.1,8081,,44804,,6,4
48,127.0.0.1,127.0.0.1,44804,,8081,,6,4
49,127.0.0.1,127.0.0.1,44810,,8081,,6,5
50,127.0.0.1,127.0.0.1,8081,,44810,,6,5
51,127.0.0.1,127.0.0.1,44810,,8081,,6,5
52,127.0.0.1,127.0.0.1,44810,,8081,,6,5
53,127.0.0.1,127.0.0.1,8081,,44810,,6,5
54,127.0.0.1,127.0.0.1,8081,,44810,,6,5
55,127.0.0.1,127.0.0.1,44810,,8081,,6,5
56,127.0.0.1,127.0.0.1,8081,,44810,,6,5
57,127.0.0.1,127.0.0.1,44810,,8081,,6,5
58,127.0.0.1,127.0.0.1,44810,,8081,,6,5
59,127.0.0.1,127.0.0.1,8081,,44810,,6,5
60,127.0.0.1,127.0.0.1,44810,,8081,,6,5
61,127.0.0.1,127.0.0.1,44822,,8081,,6,6
62,127.0.0.1,127.0.0.1,8081,,44822,,6,6
63,127.0.0.1,127.0.0.1,44822,,8081,,6,6
64,127.0.0.1,127.0.0.1,44822,,8081,,6,6
