frame.number,ip.src,ip.dst,tcp.srcport,udp.srcport,tcp.dstport,udp.dstport,ip.proto,Flow_ID
1,192.168.70.150,192.168.70.129,49138,,8081,,6,1
2,192.168.70.129,192.168.70.150,8081,,49138,,6,1
3,192.168.70.150,192.168.70.129,49138,,8081,,6,1
4,192.168.70.150,192.168.70.129,49138,,8081,,6,1
5,192.168.70.129,192.168.70.150,8081,,49138,,6,1
6,192.168.70.129,192.168.70.150,8081,,49138,,6,1
7,192.168.70.129,192.168.70.150,8081,,49138,,6,1
8,192.168.70.150,192.168.70.129,49138,,8081,,6,1
9,192.168.70.150,192.168.70.129,49138,,8081,,6,1
10,192.168.70.129,192.168.70.150,8081,,49138,,6,1
11,192.168.70.150,192.168.70.129,49138,,8081,,6,1
12,192.168.70.150,192.168.70.129,49138,,8081,,6,1
13,192.168.70.129,192.168.70.150,8081,,49138,,6,1
14,192.168.70.150,192.168.70.129,49138,,8081,,6,1
15,192.168.70.129,84.17.62.6,49306,,443,,6,2
16,84.17.62.6,192.168.70.129,443,,49306,,6,2
17,192.168.70.150,192.168.70.129,49146,,8081,,6,3
18,192.168.70.129,192.168.70.150,8081,,49146,,6,3
19,192.168.70.150,192.168.70.129,49146,,8081,,6,3
20,192.168.70.150,192.168.70.129,49146,,8081,,6,3
21,192.168.70.129,192.168.70.150,8081,,49146,,6,3
22,192.168.70.129,192.168.70.150,8081,,49146,,6,3
23,192.168.70.129,192.168.70.150,8081,,49146,,6,3
24,192.168.70.150,192.168.70.129,49146,,8081,,6,3
25,192.168.70.150,192.168.70.129,49146,,8081,,6,3
26,192.168.70.129,192.168.70.150,8081,,49146,,6,3
27,192.168.70.150,192.168.70.129,49146,,8081,,6,3
28,192.168.70.150,192.168.70.129,49146,,8081,,6,3
29,192.168.70.129,192.168.70.150,8081,,49146,,6,3
30,192.168.70.150,192.168.70.129,49146,,8081,,6,3
31,192.168.70.150,192.168.70.129,49158,,8081,,6,4
32,192.168.70.129,192.168.70.150,8081,,49158,,6,4
33,192.168.70.150,192.168.70.129,49158,,8081,,6,4
34,192.168.70.150,192.168.70.129,49158,,8081,,6,4
35,192.168.70.129,192.168.70.150,8081,,49158,,6,4
36,192.168.70.129,192.168.70.150,8081,,49158,,6,4
37,192.168.70.150,192.168.70.129,49158,,8081,,6,4
38,192.168.70.129,192.168.70.150,8081,,49158,,6,4
39,192.168.70.150,192.168.70.129,49158,,8081,,6,4
40,192.168.70.129,192.168.70.150,8081,,49158,,6,4
41,192.168.70.150,192.168.70.129,49158,,8081,,6,4
42,192.168.70.150,192.168.70.129,49158,,8081,,6,4
43,192.168.70.129,192.168.70.150,8081,,49158,,6,4
44,192.168.70.150,192.168.70.129,49158,,8081,,6,4
45,192.168.70.150,192.168.70.129,49170,,8081,,6,5
46,192.168.70.129,192.168.70.150,8081,,49170,,6,5
47,192.168.70.150,192.168.70.129,49170,,8081,,6,5
48,192.168.70.150,192.168.70.129,49170,,8081,,6,5
49,192.168.70.129,192.168.70.150,8081,,49170,,6,5
50,192.168.70.129,192.168.70.150,8081,,49170,,6,5
51,192.168.70.129,192.168.70.150,8081,,49170,,6,5
52,192.168.70.150,192.168.70.129,49170,,8081,,6,5
53,192.168.70.150,192.168.70.129,49170,,8081,,6,5
54,192.168.70.129,192.168.70.150,8081,,49170,,6,5
55,192.168.70.150,192.168.70.129,49170,,8081,,6,5
56,192.168.70.150,192.168.70.129,49170,,8081,,6,5
57,192.168.70.129,192.168.70.150,8081,,49170,,6,5
58,192.168.70.150,192.168.70.129,49170,,8081,,6,5
59,192.168.70.150,192.168.70.129,49186,,8081,,6,6
60,192.168.70.129,192.168.70.150,8081,,49186,,6,6
61,192.168.70.150,192.168.70.129,49186,,8081,,6,6
62,192.168.70.150,192.168.70.129,49186,,8081,,6,6
63,192.168.70.129,192.168.70.150,8081,,49186,,6,6
64,192.168.70.129,192.168.70.150,8081,,49186,,6,6
65,192.168.70.129,192.168.70.150,8081,,49186,,6,6
66,192.168.70.150,192.168.70.129,49186,,8081,,6,6
67,192.168.70.150,192.168.70.129,49186,,8081,,6,6
68,192.168.70.129,192.168.70.150,8081,,49186,,6,6
69,192.168.70.150,192.168.70.129,49186,,8081,,6,6
70,192.168.70.150,192.168.70.129,49186,,8081,,6,6
71,192.168.70.129,192.168.70.150,8081,,49186,,6,6
72,192.168.70.150,192.168.70.129,49186,,8081,,6,6
73,192.168.70.150,192.168.70.129,49190,,8081,,6,7
74,192.168.70.129,192.168.70.150,8081,,49190,,6,7
75,192.168.70.150,192.168.70.129,49190,,8081,,6,7
76,192.168.70.150,192.168.70.129,49190,,8081,,6,7
77,192.168.70.129,192.168.70.150,8081,,49190,,6,7
78,192.168.70.129,192.168.70.150,8081,,49190,,6,7
79,192.168.70.129,192.168.70.150,8081,,49190,,6,7
80,192.168.70.150,192.168.70.129,49190,,8081,,6,7
81,192.168.70.150,192.168.70.129,49190,,8081,,6,7
82,192.168.70.129,192.168.70.150,8081,,49190,,6,7
83,192.168.70.150,192.168.70.129,49190,,8081,,6,7
84,192.168.70.150,192.168.70.129,49190,,8081,,6,7
85,192.168.70.129,192.168.70.150,8081,,49190,,6,7
86,192.168.70.150,192.168.70.129,49190,,8081,,6,7
87,192.168.70.150,192.168.70.129,49194,,8081,,6,8
88,192.168.70.129,192.168.70.150,8081,,49194,,6,8
89,192.168.70.150,192.168.70.129,49194,,8081,,6,8
90,192.168.70.150,192.168.70.129,49194,,8081,,6,8
91,192.168.70.129,192.168.70.150,8081,,49194,,6,8
92,192.168.70.129,192.168.70.150,8081,,49194,,6,8
93,192.168.70.129,192.168.70.150,8081,,49194,,6,8
94,192.168.70.150,192.168.70.129,49194,,8081,,6,8
95,192.168.70.150,192.168.70.129,49194,,8081,,6,8
96,192.168.70.129,192.168.70.150,8081,,49194,,6,8
97,192.168.70.150,192.168.70.129,49194,,8081,,6,8
98,192.168.70.150,192.168.70.129,49194,,8081,,6,8
99,192.168.70.129,192.168.70.150,8081,,49194,,6,8
100,192.168.70.150,192.168.70.129,49194,,8081,,6,8
101,192.168.70.129,209.250.254.15,,46421,,21116,17,9
102,209.250.254.15,192.168.70.129,,21116,,46421,17,9
103,192.168.70.150,192.168.70.129,52398,,8081,,6,10
104,192.168.70.129,192.168.70.150,8081,,52398,,6,10
105,192.168.70.150,192.168.70.129,52398,,8081,,6,10
106,192.168.70.150,192.168.70.129,52398,,8081,,6,10
107,192.168.70.129,192.168.70.150,8081,,52398,,6,10
108,192.168.70.129,192.168.70.150,8081,,52398,,6,10
109,192.168.70.150,192.168.70.129,52398,,8081,,6,10
110,192.168.70.129,192.168.70.150,8081,,52398,,6,10
111,192.168.70.150,192.168.70.129,52398,,8081,,6,10
112,192.168.70.150,192.168.70.129,52398,,8081,,6,10
113,192.168.70.129,192.168.70.150,8081,,52398,,6,10
114,192.168.70.150,192.168.70.129,52398,,8081,,6,10
115,192.168.70.150,192.168.70.129,52408,,8081,,6,11
116,192.168.70.129,192.168.70.150,8081,,52408,,6,11
117,192.168.70.150,192.168.70.129,52408,,8081,,6,11
118,192.168.70.150,192.168.70.129,52408,,8081,,6,11
119,192.168.70.129,192.168.70.150,8081,,52408,,6,11
120,192.168.70.129,192.168.70.150,8081,,52408,,6,11
121,192.168.70.129,192.168.70.150,8081,,52408,,6,11
122,192.168.70.150,192.168.70.129,52408,,8081,,6,11
123,192.168.70.150,192.168.70.129,52408,,8081,,6,11
124,192.168.70.129,192.168.70.150,8081,,52408,,6,11
125,192.168.70.150,192.168.70.129,52408,,8081,,6,11
126,192.168.70.150,192.168.70.129,52408,,8081,,6,11
127,192.168.70.129,192.168.70.150,8081,,52408,,6,11
128,192.168.70.150,192.168.70.129,52408,,8081,,6,11
129,192.168.70.150,192.168.70.129,52410,,8081,,6,12
130,192.168.70.129,192.168.70.150,8081,,52410,,6,12
131,192.168.70.150,192.168.70.129,52410,,8081,,6,12
132,192.168.70.150,192.168.70.129,52410,,8081,,6,12
133,192.168.70.129,192.168.70.150,8081,,52410,,6,12
134,192.168.70.129,192.168.70.150,8081,,52410,,6,12
135,192.168.70.129,192.168.70.150,8081,,52410,,6,12
136,192.168.70.150,192.168.70.129,52410,,8081,,6,12
137,192.168.70.150,192.168.70.129,52410,,8081,,6,12
138,192.168.70.129,192.168.70.150,8081,,52410,,6,12
139,192.168.70.150,192.168.70.129,52410,,8081,,6,12
140,192.168.70.150,192.168.70.129,52410,,8081,,6,12
141,192.168.70.129,192.168.70.150,8081,,52410,,6,12
142,192.168.70.150,192.168.70.129,52410,,8081,,6,12
143,192.168.70.129,84.17.62.6,49306,,443,,6,2
144,84.17.62.6,192.168.70.129,443,,49306,,6,2
145,192.168.70.150,192.168.70.129,52422,,8081,,6,13
146,192.168.70.129,192.168.70.150,8081,,52422,,6,13
147,192.168.70.150,192.168.70.129,52422,,8081,,6,13
